ID,NAME,PAGE_START,PAGE_END,NAME_1
1,Alif Lam Meem,3,28,
2,Sayaqool,29,56,
3,Tilkal Rusull,57,84,
4,Lan Tana Loo,85,112,
5,Wal Mohsanat,113,140,
6,La Yuhibbullah,141,168,
7,Wa Iza Samiu,169,196,
8,Wa Lau Annana,197,224,
9,Qalal Malao,225,252,
10,Wa A'lamu,253,280,
11,Yatazeroon,281,308,
12,Wa Mamin Da'abat,309,336,
13,Wa Ma Ubrioo,337,364,
14,Rubama,365,392,
15,Subhanallazi,393,420,
16,Qal Alam,421,448,
17,Aqtarabo,449,476,
18,Qadd Aflaha,477,504,
19,Wa Qalallazina,505,532,
20,A'man Khalaq,533,558,
21,Utlu Ma Oohi,559,586,
22,Wa Manyaqnut,587,612,
23,Wa Mali,613,640,
24,Faman Azlam,641,666,
25,Elahe Yuruddo,667,696,
26,Ha'a Meem,697,726,
27,Qala Fama Khatbukum,727,756,
28,Qadd Sami Allah,757,786,
29,Tabarakallazi,787,818,
30,Amma Yatasa'aloon,819,850,
