index,sura,aya,text
1,1,2,सारी तारीफ़ अल्लाह के लिए है जो आलमीन का पालने वाला है।
2,1,3,वह अज़ीम और दायमी रहमतांे वाला है।
3,1,4,रोज़े क़यामत का मालिक व मुख़्तार है।
4,1,5,परवरदिगार! हम तेरी ही इबादत करते हैं और तुझ ही से मदद चाहते हैं।
5,1,6,हमें सीधे रास्ते की हिदायत फ़रमा।
6,1,7,जो उन लोगों का रास्ता है जिन पर तूने नेअमतें नाज़िल की हैं उनका रास्ता नहीं जिन पर ग़ज़ब नाज़िल हुआ है या जो बहके हुए हैं।
7,2,1,अलिफ़ लाम मीम
8,2,2,ये वह किताब है जिसमें किसी तरह के शक व शुबहे की गुंजाईश नहीं है। ये साहेबाने तक़वा और परहेज़गार लोगों के लिए मुजस्सम हिदायत है
9,2,3,जो ग़ैब पर ईमान रखते हैं पाबन्दी से पूरे एहतेमाम के साथ नमाज़ अदा करते हैं और जो कुछ हमने रिज़्क़ दिया है उसमें से हमारी राह में खर्च भी करते हैं
10,2,4,वह उन तमाम बातों पर भी ईमान रखते हैं जिन्हें (ऐ रसूल) हमने आप पर नाज़िल किया है और जो आपसे पहले नाज़िल की गई हैं और आख़ेरत पर भी यक़ीन रखते हैं
11,2,5,यही वह लोग हैं जो अपने परवरदिगार की तरफ़ से हिदायत के हामिल हैं और यही लोग (फ़लाह याफ़्ता) कामयाब हैं
12,2,6,ऐ रसूल! जिन लोगों ने कुफ्ऱ इख़्तियार कर लिया है उनके लिए सब बराबर है। आप उन्हें डरायें या न डरायें ये ईमान लाने वाले नहीं हैं
13,2,7,ख़ुदा ने इनके दिलों और कानों पर गोया मोहर लगा दी है कि न कुछ सुनते हैं और न समझते हैं और आँखों पर भी पर्दे पड़ गये हैं। इनके वास्ते आख़ेरत में अज़ाबे अज़ीम है
14,2,8,कुछ लोग ऐसे भी हैं जो ये कहते हैं कि हम ख़ु़दा और आखे़रत पर ईमान लाये हैं हालांकि वह साहेबे ईमान नहीं हैं
15,2,9,ये ख़ु़दा और साहेबाने ईमान को धोका देना चाहते हैं हालांकि अपने को ही धोका दे रहे हैं और समझते भी नहीं हैं 
16,2,10,इनके दिलों में बीमारी है और ख़ुदा ने निफ़ाक़ की बिना पर इसे और भी बढ़ा दिया है। अब इस झूठ के नतीजे में इन्हें दर्दनाक अज़ाब मिलेगा 
17,2,11,जब इनसे कहा जाता है कि ज़मीन में फ़साद न बरपा करो (फैलाओ) तो कहते हैं कि हम तो सिर्फ़ इसलाह करने वाले हैं
18,2,12,हालांकि ये सब फ़सादी हैं और अपने फ़साद को समझते भी नहीं हैं
19,2,13,जब इनसे कहा जाता है कि दूसरे मोमिनीन की तरह ईमान ले आओ तो कहते हैं कि हम बेवक़ूफ़ों की तरह ईमान इख़्तियार कर लें हालांकि असल में यही बेवक़़़ूफ़ हैं और इन्हें इसकी वाक़फ़ियत भी नहीं है
20,2,14,जब ये साहेबाने ईमान से मिलते हैं तो कहते हैं कि हम ईमान ले आये और जब अपने शयातीन की ख़लवतों (अकेले) में जाते हैं तो कहते हैं कि हम तुम्हारी पार्टी में (तुम्हारे साथ) हैं हम तो सिर्फ़ साहेबाने ईमान का मज़ाक़ उड़ाते हैं
21,2,15,हालांकि ख़ु़दा ख़़ुद उनको मज़ाक़ बनाये हुए है और उन्हें सरकशी में ढील दिये हुए है जो उन्हें नज़र नहीं आ रही है
22,2,16,यही वह लोग हैं जिन्होंने हिदायत को देकर गुमराही ख़रीद ली है जिस तिजारत से न कोई फ़ायदा है और न इसमें किसी तरह की हिदायत है
