id,juz_number,surah_number,surah_ayat,juz_ayat,ayat_number,quran_transliteration
1,1,1,0,0,1,Bismillaahir Rahmaanir Raheem
2,1,1,1,1,2,Alhamdu lillaahi Rabbil `aalameen
3,1,1,2,2,3,Ar-Rahmaanir-Raheem
4,1,1,3,3,4,Maaliki Yawmid-Deen
5,1,1,4,4,5,Iyyaaka na`budu wa iyyaaka nasta`een
6,1,1,5,5,6,Ihdinas-Siraatal-Mustaqeem
7,1,1,6,6,7,Siraatal-lazeena an`amta `alaihim ghayril-maghdoobi `alaihim wa lad-daaalleen
8,1,2,0,7,0,Bismillaahir Rahmaanir Raheem Alif-Laaam-Meeem
10,1,2,2,9,9,Zaalikal Kitaabu laa raiba feeh; hudal lilmuttaqeen
11,1,2,3,10,10,Allazeena yu`minoona bilghaibi wa yuqeemoonas salaata wa mimmaa razaqnaahum yunfiqoon
12,1,2,4,11,11,Wallazeena yu`minoona bimaa unzila ilaika wa maaa unzila min qablika wa bil Aakhirati hum yooqinoon
13,1,2,5,12,12,Ulaaa`ika `alaa hudam mir rabbihim wa ulaaa`ika humul muflihoon
14,1,2,6,13,13,Innal lazeena kafaroo sawaaa`un `alaihim `a-anzar tahum am lam tunzirhum laa yu`minoon
15,1,2,7,14,14,Khatamal laahu `alaa quloobihim wa `alaa sam`i-him wa `alaaa absaarihim ghishaa watunw wa lahum `azaabun `azeem (section 1)
16,1,2,8,15,15,Wa minan naasi mainy yaqoolu aamannaa billaahi wa bil yawmil aakhiri wa maa hum bimu`mineen
17,1,2,9,16,16,Yukhaadi`oonal laaha wallazeena aamanoo wa maa yakhda`oona illaaa anfusahum wa maa yash`uroon
18,1,2,10,17,17,Fee quloobihim mara dun fazaadahumul laahu maradun wa lahum `azaabun aleemum bimaa kaanoo yakziboon
19,1,2,11,18,18,Wa izaa qeela lahum laa tufsidoo fil ardi qaalooo innamaa nahnu muslihoon
20,1,2,12,19,19,Alaaa innahum humul mufsidoona wa laakil laa yash`uroon
21,1,2,13,20,20,Wa izaa qeela lahum aaminoo kamaaa aamanan naasu qaalooo anu`minu kamaaa aamanas sufahaaa`; alaaa innahum humus sufahaaa`u wa laakil laa ya`lamoon
22,1,2,14,21,21,Wa izaa laqul lazeena aamanoo qaalooo aamannaa wa izaa khalaw ilaa shayaateenihim qaalooo innaa ma`akum innamaa nahnu mustahzi`oon
23,1,2,15,22,22,Allahu yastahzi`u bihim wa yamudduhum fee tughyaanihim ya`mahoon
24,1,2,16,23,23,Ulaaa`ikal lazeenash tara wud dalaalata bilhudaa famaa rabihat tijaaratuhum wa maa kaanoo muhtadeen
25,1,2,17,24,24,Masaluhum kamasalillazis tawqada naaran falammaaa adaaa`at maa hawlahoo zahabal laahu binoorihim wa tarakahum fee zulumaatil laa yubsiroon
26,1,2,18,25,25,Summum bukmun `umyun fahum laa yarji`oon
27,1,2,19,26,26,"Aw kasaiyibim minas samaaa`i feehi zulumaatunw wa ra`dunw wa barq, yaj`aloona asaabi`ahum feee aazaanihim minas sawaa`iqi hazaral mawt` wallaahu muheetum bilkaafireen"
28,1,2,20,27,27,Yakaadul barqu yakhtafu absaarahum kullamaaa adaaa`a lahum mashaw feehi wa izaaa azlama `alaihim qaamoo; wa law shaaa`al laahu lazahaba bisam`ihim wa absaarihim; innal laaha `alaa kulli shai`in Qadeer (section 2)
29,1,2,21,28,28,Yaaa aiyuhan naasu`budoo Rabbakumul lazee khalaqakum wallazeena min qablikum la`allakum tattaqoon
30,1,2,22,29,29,Allazee ja`ala lakumul arda firaashanw wassamaaa`a binaaa `anw wa anzala minassamaaa`i maaa`an fa akhraja bihee minas samaraati rizqal lakum falaa taj`aloo lillaahi andaadanw wa antum ta`lamoon
31,1,2,23,30,30,Wa in kuntum fee raibim mimmaa nazzalnaa `alaa `abdinaa fatoo bi Sooratim mim mislihee wad`oo shuhadaaa`akum min doonil laahi in kuntum saadiqeen
32,1,2,24,31,31,Fail lam taf`aloo wa lan taf`aloo fattaqun Naaral latee waqooduhan naasu walhijaaratu u`iddat lilkaafireen
33,1,2,25,32,32,"Wa bashshiril lazeena aamanoo wa `amilus saalihaati anna lahum jannaatin tajree min tahtihal anhaaru kullamaa ruziqoo minhaa min samaratir rizqan qaaloo haazal lazee ruziqnaa min qablu wa utoo bihee mutashaabihaa, wa lahum feehaaa azwaajum mutahhara tunw wa hum feehaa khaalidoon"
