Category,SubCat,VerseBy,VerseByID,Verse,VerseRef
Akhlaq,84,Other Narrators,16,"The Almighty Allah told Prophet Isa (a.s.), ""O Isa! Your heart and tongue should be united. I would like to make you aware that there can be no two tongues in one mouth much in the same way as two swords cannot be kept in a single sheath. Similarly two hearts cannot be present in one chest. Same is the case with mind and memory.""","Iqbal al-A`amal, page 339"
Akhlaq,80,Imam Jafar ibn Muhammad [a],9,"""Whenever a person curses, this curse travels till it gets a person who is worthy of it. If it does not get such a person, it returns to its source.""","Iqbal al-A`amal, page 339"
Akhlaq,118,Imam Muhammad ibn Ali [a],8,"""One who testifies the disbelief of someone, there can be only two cases viz. either the person is testifying about a disbeliever or this disbelief returns to him. Hence keep away from ridiculing a believer.""","Iqbal al-A`amal, page 339"
Akhlaq,498,Imam Jafar ibn Muhammad [a],9,"Imam Ja'far Sadiq (a.s.) narrates from his ancestors that the Holy Prophet (s.a.w.s.) said, ""A person who cheats Muslims is not from us.""","Iqbal al-A`amal, page 340"
Akhlaq,498,Imam Ali ibn Abu Talib [a],3,"""If cheaters would not have been hellish, I would have been the greatest fraudster of the Arabs.""","Iqbal al-A`amal, page 340"
Akhlaq,498,Imam Ali ibn Abu Talib [a],3,"""If I hadn't heard the words of the Holy Prophet: 'Indeed, cheating, deception and fraud lead to Hell', I would have been the greatest fraudster of the Arabs.""","Iqbal al-A`amal, page 340"
Akhlaq,266,Imam Muhammad ibn Ali [a],8,"""Injustice (Zulm) of this world is darkness (Zulumaat) of the hereafter.""","Iqbal al-A`amal, page 340"
Akhlaq,266,Imam Jafar ibn Muhammad [a],9,"Imam Ja'far Sadiq (a.s.) explained the words of Allah: Surely your Lord is waiting in ambush, saying, ""His ambush is a bridge over the Sirat Bridge which is inaccessible to those who do injustice.""","Iqbal al-A`amal, page 340"
Akhlaq,266,Imam Jafar ibn Muhammad [a],9,"It is narrated that Imam Ja'far Sadiq (a.s.) said that the Almighty Allah says: ""I swear by My honor that I will not accept the prayer of an oppressed for an injustice which he has also done to others.""","Iqbal al-A`amal, page 340"
Akhlaq,266,Imam Jafar ibn Muhammad [a],9,"Imam Ja'far Sadiq (a.s.) relates that The ruler of the time of a prophet was unjust. The Almighty Allah revealed on His prophet, ""Go and tell your ruler that he is not being made the ruler to oppress people. He is made the ruler to stop injustice to the people. Surely I am not going to forgive the injustice done to the subjects even if they are disbelievers.""","Iqbal al-A`amal, page 340"
Akhlaq,266,Imam Ali ibn Husayn [a],7,"""An oppressed person benefits from the faith of an oppressor much more than the oppressor benefits from the world of the oppressed person.""","Iqbal al-A`amal, page 341"
Akhlaq,266,Imam Muhammad ibn Ali [a],8,"""One who does injustice to another the Almighty Allah takes accounts for the loss of wealth and life caused. However, He forgives the injustice between him and Allah if he repents.""","Iqbal al-A`amal, page 341"
