id,lang_id,arabic_name,english_name,translation,description,wazeefa
1,1,أَللّٰه,Allah,The name ‘Allah’ solely belongs to the One and Only God,"""Allah"" is the personal name of god. Who is one, the owner of entire universes without any partnership. Neither He has born someone nor He is born by anyone. He is unique in His personality and characteristics and no-one other then His is able to worship.","""""""Recite it as many times as possible for fulfilment of hajat.""""
"""
2,1,الرَّحمٰنُ,Ar-Rahman,The Merciful,He who gives blessings and prosperity to all beings without showing disparity.,"Repeat Ya Rahman 100x after wajib salaa to develop a good memory, keen awareness and be freed of a heavy heart."
3,1,الرَّحِيمُ,Ar-Rahim,The Compassionate,"He who gives blessings and prosparity, particularly to those who use these gifts as Allah has said, and is merciful to the believers in the hereafter.",Repeat Ya Rahim 100x after Salatul Fajr for friendship. Recite 100x after every salaa for safety from calamities.
4,1,المَلِكُ,Al-Malik,The King / Sovereign,"Who is original owner and the real king of the universe, and everything is in His Hand","""Recite Ya Malik frequently and you may be treated with respect by others. Read after noon for abundant wealth. Prophet
Khidr taught dua “Allahumma atal Malikul
Haqq. Allazhiy laa ilaaha illaa anta. Ya Allahu, Ya Salaamu, Ya Shaafiy” followed by Ya Shaafiyal Quloob” 3x"""
5,1,القُدُّوسُ,Al-Quddus,The Holy,"He who is free from all errors, absentmindedness, is free from incapability and from any kind of defect.","Recite Ya Quddoos at sunset for expansion of the heart. Also recite to free heart from thoughts that cause trouble, worry and pain."
6,1,السَّلَامُ,As-Salam,The Flawless,He who free his servant from all danger and obstructions. He who gives His greeting to those fortunate people in haven .,Recite Ya Salaam 100x to regain health. Recite 115x and blow on sick person for shifa.
7,1,المُؤمِنُ,Al-M’umin,The Giver of Faith,"He who places faith in the heart of His servants, protects those who seek refuge in him, and gives tranquillity.",Recite Ya Mu’min to be freed from the harm of the ego. Recite 36x when faced with danger and hostility. Write on paper and keep for safety.
8,1,المُهَيمِنُ,Al-Muhaymin,The Guardian,He who watches over and protects all things.,Recite Ya Muhaymin after wudhoo 115x for inner illumination. Recite 5000x for 7 days for  success.
9,1,العَزِيزُ,Al-A’ziz,The Incomparable,the all mighty the unconquerable.,"Recite ya ‘Azeez for forty days between wajib salaa, for independence. Recite 41x fajar salaa for acquaintance with the unseen."
10,1,الجَبَّارُ,Al-Jabbar,The Compeller,"He who repairs all broken things, Who completes that which is incomplete, and Who has the ability, with force, to make people do whatever He wants.","""Recite Ya Jabbar 262x every day each
time and you should not be compelled to do anything. Recite for safety against
tyrant. If engraved on a ring it will enhance presence in front of others."""
11,1,المُتَكَبِّرُ,Al-Mutakabbir,The Proud,He who shows His greatness in all things and in all ways.,Begin every act with Ya Mutakkabir for successful completion. Recite 10x before intimacy for a righteous child.
12,1,الخَالِقُ,Al-Khaliq,The Creator,He who creates every thing from nothing and creates all things with the knowledge of what will happen to them.,"""Recite ya Khaliq 100x at seven nights to
act for His sake. If recited at night angels will pray till the end of the night."""
13,1,البَارِئُ,Al-Bari,The Maker of Perfect Harmony,He who creates all things in proportion.,"Recite ya Baari’ frequently and hard work should become easy. For conceiving fast for 7 days and break fast with ‘Ya Khaaliq, Ya Baari’, Ya Musawwiru’ 21 times"
14,1,المُصَوِّرُ,Al-Musawwir,The Shaper of Unique Beauty,He who designs and fashion all things.,Recite Ya Musawwir frequently and hard work should become easy.
15,1,الغَفَّارُ,Al-Ghaffar,The Forgiver,He who is all-forgiving and forgive all sins.,Recite to subdue anger. Recite 100x after Salatul Asr’ for forgiveness of previous week’s faults.
16,1,القَهَّارُ,Al-Qahhar,The Subduer,He who is victorious and dominate in a way that He can do anything He wills.,"""Recite Ya Qahhar 100x after fajr salaa to overcome your enemy. Repeat Ya Qahhar
frequently, to gain inner peace and be freed from being wronged by another."""
17,1,الوَهَّابُ,Al-Wahhab,The Bestower,He who donates all blessings to His creatures.,"Repeat Ya Wahhab 7x at midnight for dua to be answered. If you have a desire, or cannot earn enough, repeat Ya Wahhab for three or seven nights 100x after a two rakat midnight salaa. For hajat, do 3 sajdas in the courtyard of a masjid or your home and repeat Ya Wahhab 100x."
18,1,الرَزَّاقُ,Ar-Razzaq,The Provider,He who provides all things beneficial to creatures.,"""Repeat Ya Razzaq 10x facing qiblah and then 10x in other 3 directions to remove
poverty. Repeat 545x for increased
sustenance. Write and hang in workplace
to be successful. Recite 100x after Salatul Jumua’ if stressed and depressed."""
19,1,الفَتَّاحُ,Al-Fattah,The Opener,"He who open the solution of all problems, and eliminates obstacles.","With hands on your chest, repeat ya Fattah 70x after Salatul Fajr for the heart to be free of rust and be opened, given victory over the ego and be purified."
20,1,العَلِيمُ,Al-A’lim,The Knower,He who is all-knowing.,"Recite ya ‘Aleem 100 times after every wajib salaa for intuition. For hidden knowledge, do sijda on Friday night and say ya ‘Aleem 100 times. Recite ya ‘Aleem for the heart to be illuminated. For haajat, go outside, pray 2 rakat salaa and then recite ya ‘Aleem 1000 times."
21,1,القَابِضُ,Al-Qabid,The Constrictor,He who constricts and who has power over all things.,"""Write Ya Qabidh on a piece of bread with
your finger and eat it for 40 days to be safe from hunger, thirst, pain and the punishment of the grave. Recite 903x for safety from tyranny."""
22,1,البَاسِطُ,Al-Basit,The Expander,He who is the expander,"""Recite frequently for peace of mind, freedom from stress, and to gain love and
respect. Recite ya Basitu 10x after Salatul Fajr with open hands, and pass over face for self sufficency."""
23,1,الخَافِضُ,Al-Khafid,The Abaser,He who diminishes or decreases,"Fast for three days and on the fourth day, recite Ya Khafidh 70, times and you should be free from harm. Recite 10x every day for honour."
24,1,الرَّافِعُ,Ar-Rafi,The Exalter,He who the uplifts and the exalter,"""Recite Ya Rafi’ 100x on Thursday and Sunday night to attain a higher sense of
honour, richness and merit."""
25,1,المُعِزُّ,Al-Mu’izz,The Honourer,"He who makes one glorious, gives dignity, and treats one with respect","""Repeat Ya Mu’izz 140 x after Maghrib salaa on Monday and Friday to develop
dignity in eyes of others and fear no one but God."""
26,1,المُذِلُّ,Al-Muzil,The Dishonourer,He who lowers and puts one in the abasement and disgradation,"Recite Ya Muzhill 75 times when you sense harm from a jealous person. If you go to sijda and say, “Oh God save me from the oppression of so and so…” and you should be safe."
27,1,السَّمِيعُ,As-Sami,The All Hearing,He who hears everything,Recite Ya Sami’ 500x after Zhuhr salaa for hajat in Thersday. Recite so that one’s words have a greater effect.
28,1,البَصِيرُ,Al-Basir,The All Seeing,He who sees everything,"""Recite 100x Ya Allahu, Ya Baseer before Salatul Jumua’ for success in any task.
Recite Ya Baseer 100x after Salatul Jumua’ to raise esteem, strength in eyesight and illumination of heart."""
29,1,الحَكَمُ,Al-Hakam,The Arbiter,He who judges and provides what is due,Recite Ya Hakam on Thursday night in the middle of the night frequently to know the hidden meanings in things.
30,1,العَدلُ,Al-Adl,The Just,The just one,Write ya ‘Adl on a piece of bread on Thursday night for obedience.
31,1,اللَّطِيفُ,Al-Latif,The Subtle,"He who knows the delicate meanings of everything, He who creates things most subtle, which can not be understood by people, and He who gives blessings to people in the most subtle ways","""Recite Ya Lateef 129x when stressed or depressed. Recite “Allahu Lateefun bi ‘ibaadihi yarzuku manyashaau wa huwal
Qawiyyul ‘Azeez” (12:100) 9x daily for ease. Recite 133x for abundance in sustenance. After 2 rakaats salaa recite it
11x for deliverance from poverty, illness, sickness, loneliness and misery."""
32,1,الخَبِيرُ,Al-Khabir,The Aware,"He who has knowledge of the most secret parts of everything, and knows their inner meanings",Recite Ya Khabir frequently to be freed of bad habits. Recite it for 7 days to perceive hidden secrets.
33,1,الحَلِيمُ,Al-Halim,The Forbearer,One He who is element and the Forbearing,"""Recite 88x for subsidence of anger.
Write ya Haleem on a piece of paper and place where you plant something to preserve it from harm. Recite on an apple and give to spouse who has fallen out of love to restore affection. Recite on water for plants for better growth."""
