ID,AMAAL_ID,ARABIC,NAME
1,1,"يامَنْ أَرْجُوهُ لِكُلِّ خَيْرٍ وَآمَنُ سَخَطَهُ عِنْدَ كُلِّ شَرٍّ، يامَنْ يُعْطِي الكَثيرَ بِالقَلِيلِ، يامَنْ يُعْطِي مَنْ سَأَلَهُيامَنْ يُعْطِي مَنْ لَمْ يَسأَلْهُ وَمَنْ لَمْ يَعْرِفْهُ تَحَنُّنا مِنْهُ وَرَحْمَةً ؛ أَعْطِنِي بِمَسأَلَتِي إِيّاكَ جَمِيعَ خَيْرِ الدُّنْيا وَجَمِيعَ خَيْرِ الآخرةِ، واصْرِفْ عَنِّي بِمَسْأَلَتِي إِيَّاكَ جَمِيعَ شَرِّ الدُّنْيا وَشَرِّ الآخرةِ فَإِنَّهُ غَيْرُ مَنْقُوصٍ ماأَعْطَيْتَ وَزِدْنِي مِنْ فَضْلِكَ ياكَرِيمُ
ياذا الجَلالِ وَالاِكْرامِ ياذَا النَّعَماءِ وَالجُودِ ياذَا المَنِّ وَالطَّوْلِ حَرِّمْ شَيْبَتِي عَلى النَّار",يامَنْ أَرْجُوهُ 
2,2,اللّهُمَّ إِنِّي أَسْأَلُكَ بِمَعانِي جَمِيعِ مايَدْعُوكَ بِهِ وُلاةَ أَمْرِكَ المَأْمُونُونَ عَلى سِرِّكَ المُسْتَبْشِرُونَ بِأَمْرِكَ الواصِفُونَ لِقُدْرَتِكَ المُعْلِنُونَ لِعَظَمَتِكَ، أَسْأَلُكَ بِما نَطَقَ فِيهِمْ مِنْ مَشِيَّتِكَ فَجَعَلْتَهُمْ مَعادِنَ لِكَلِماتِكَ وَأَرْكانا لِتَوْحِيدِكَ وَآياتِكَ وَمَقاماتِكَ الَّتِي لاتَعْطِيلَ لَها فِي كُلِّ مَكانٍ يَعْرِفُكَ بِها مَنْ عَرَفَكَ، لافَرْقَ بَيْنَكَ وَبَيْنَها إِلاّ أَنَّهُمْ عِبادُكَ وَخَلْقُكَ فَتْقُها وَرَتْقُها بِيَدِكَ بَدْؤُها مِنْكَ وَعَوْدُها إِلَيْكَ، أَعْضادٌ وَأَشْهادٌ وَمُناةٌ وَأَذْوادٌ وَحَفَظَةٌ وَرُوَّادٌ فَبِهِمْ مَلأتَ سَمائَكَ وَأَرْضَكَ حَتّى ظَهَرَ أَنْ لا إِلهَ إِلاّ أَنْتَ؛ فَبِذلِكَ أَسْأَلُكَ وَبِمَواقِعِ العِزِّ مِنْ رَحْمَتِكَ وَبِمَقاماتِكَ وَعَلاماتِكَ أَنْ تُصَلِّيَ عَلى مُحَمَّدٍ وَآلِهِ وَأَنْ تَزِيدَنِي إِيْماناً وَتَثْبِيتاً، ياباطِناً فِي ظُهُورِهِ وَظاهِراً فِي بُطُونِهِ وَمَكْنُونِهِ يامُفَرِّقاً بَيْنَ النُّورِ وَالدَّيْجُورِ يامَوْصُوفاً بِغَيْرِ كُنْهٍ وَمَعْرُوفاً بِغَيْرِ شِبْهٍ، حادَّ كُلِّ مَحْدُودٍ وَشاهِدَ كُلِّ مَشْهُودٍ وَمُوجِدَ كُلِّ مَوْجُودٍ وَمُحْصِيَ كُلِّ مَعْدُودٍ وَفاقِدَ كُلِّ مَفْقُودٍ لَيْسَ دُونَكَ مِنْ مَعْبُودٍ أَهْلَ الكِبْرِياءِ وَالجُودِ، يامَنْ لايُكَيَّفُ بِكَيْفٍ وَلايُؤَيَّنُ بِأَيْنٍ يامُحْتَجِباً عَنْ كُلِّ عَيْنٍ يادَيْمُومُ ياقَيُّومُ وَعالِمَ كُلِّ مَعْلُومٍ، صَلِّ عَلى مُحَمَّدٍ وَآلِهِ وَعَلى عِبادِكَ المُنْتَجَبِينَ وَبَشَرِكَ المُحْتَجِبِينَ وَمَلائِكَتِكَ المُقَرَّبِينَ وَالبُهْمِ الصَّافِّينَ الحافِّينَ، وَبارِكْ لَنا فِي شَهْرِنا هذا المُرَجَّبِ المُكَرَّمِ وَما بَعْدَهُ مِنَ الاَشْهُرِ الحُرُمِ وَأَسْبِغْ عَلَيْنا فِيهِ النِّعَمَ وَأَجْزِلْ لَنا فِيهِ القِسَمَ، وَأَبْرِزْ لَنا فِيهِ القَسَمَ بِإسْمِكَ الأعْظَمِ الأعْظَمِ الأَجَلِّ الأَكْرَمِ الَّذِي وَضَعْتَهُ عَلى النَّهارِ فَأَضاءَ وَعَلى اللَّيْلِ فَأَظْلَمَ، وَاغْفِرْ لَنا ماتَعْلَمُ مِنَّا وَما لا نَعْلَمُ وَاعْصِمْنا مِنَ الذُّنُوِب خَيْرَ العِصَمِ واكْفِنا كَوافِيَ قَدَرِكَ وَامْنُنْ عَلَيْنا بِحُسْنِ نَظَرِكَ وَلا تَكِلْنا إِلى غَيْرِكَ وَلا تَمْنَعْنا مِنْ خَيْرِكَ وَبارِكْ لَنا فِيما كَتَبْتَهُ لَنا مِنْ أَعْمارِنا وَأَصْلِحْ لَنا خَبِيئَةَ أَسْرارِنا وَأَعْطِنا مِنْكَ الاَمانَ وَاسْتَعْمِلْنا بِحُسْنِ الاِيمانِ وَبَلِّغْنا شَهْرَ الصِّيامِ وَما بَعْدَهُ مِنَ الاَيَّامِ وَالاَعْوامِ ياذا الجَلالِ وَالاِكْرامِ,1-أيام رجب
3,3,"اللّهُمَّ إِنِّي أَسْأَلُكَ بِالمَولُودِينَ فِي رَجَبٍ مُحَمَّدِ بْنِ عَلِيٍّ الثَّانِي وَابْنِهِ عَلِيٍّ بْنِ مُحَمَّدٍ المُنْتَجَبِ، وَأّتَقَرَّبُ بِهما إِلَيْكَ خَيْرَ القُرَبِ يامَنْ إِلَيْهِ المَعْرُوفُ طُلِبَ وَفِيما لَدَيْهِ رُغِبَ، أَسْأَلُكَ سُؤالَ مُقْتَرِفٍ مُذْنِبٍ قَدْ أَوْبَقَتْهُ ذُنُوبُهُ وَأَوْثَقَتْهُ عُيُوبُهُ فَطَالَ عَلى الخَطايا دُؤُوبُهُ وَمِنَ الرَّزَايا خُطُوبُهُ ؛ يَسْأَلُكَ التَّوْبَةَ وَحُسْنَ الاَوْبَةِ وَالنُّزُوعَ عَنْ الحَوْبَةِ وَمِنَ النَّارِ فَكاكَ رَقَبَتِهِ وَالعَفْوَ عَمَّا فِي رِبْقَتِهِ، فَأَنْتَ مَوْلايَ أَعْظَمُ أَمَلِهِ وَثِقَتِهِ.
اللّهُمَّ وَأَسْأَلُكَ بِمَسائِلِكَ الشَّرِيفَةِ وَوَسائِلكَ المُنِيفَةِ أَنْ تَتَغَمَّدَنِي فِي هذا الشَّهْرِ بِرَحْمَةٍ مِنْكَ وَاسِعَةٍ وَنِعْمَةٍ وَازِعَهٍ وَنَفْسٍ بِما رَزَقْتَها قانِعَةٍ إِلى نُزُولِ الحافِرَةِ وَمَحَلِّ الآخرةِ وَما هِيَ إِلَيْهِ صائِرَةٌ",2-أيام رجب
4,4,اللّهُمَّ ياذا المِنَنِ السَّابِغَةِ وَالآلاءِ الوازِعَةِ وَالرَّحْمَةِ الواسِعَةِ وَالقُدْرَةِ الجامِعَةِ وَالنِّعَمِ الجَسِيمَةِ وَالمَواهِبِ العَظِيمَةِ وَالاَيادِي الجَمِيلَةِ وَالعَطايا الجَزِيلَةِ، يا مَنْ لا يُنْعَتُ بِتَمْثِيلٍ وَلا يُمَثَّلُ بِنَظِيرٍ وَلا يُغْلَبُ بِظَهِيرٍ، يا مَنْ خَلَقَ فَرَزَقَ وَأَلْهَمَ فَأَنْطَقَ وَابْتَدَعَ فَشَرَعَ وَعَلا فَارْتَفَعَ وَقَدَّرَ فَأَحْسَنَ وَصَوَّرَ فَأَتْقَنَ وَاحْتَجَّ فَأَبْلَغَ وَأَنْعَمَ فَأَسْبَغَ وَأَعْطى فَأَجْزَلَ وَمَنَح فَأَفْضَلَ، يا مَنْ سَما فِي العِزِّ فَفاتَ نَواظِرَ الاَبْصارِ وَدَنا فِي اللُّطْفِ فَجازَ هَواجِسَ الاَفْكارِ يا مَنْ تَوَحَّدَ بِالمُلْكِ فَلا نِدَّ لَهُ فِي مَلَكُوتِ سُلْطانِهِ وَتَفَرَّدَ بِالآلاِء وَالكِبْرِياءِ فَلا ضِدَّ لَهُ فِي جَبَرُوتِ شَأْنِهِ، يا مَنْ حارَتْ فِي كِبْرياءِ هَيْبَتِهِ دقائِقُ لَطائِفِ الاَوْهامِ وَانْحَسَرَتْ دُونَ إدْراكِ عَظَمَتِهِ خَطائِفُ أَبْصارِ الاَنامِ، يا مَنْ عَنَتِ الوُجُوهُ لِهَيْبَتِهِ وَخَضَعَتِ الرِّقابُ لِعَظَمَتِهِ وَوَجِلَتِ القُلُوبُ مِنْ خِيفَتِهِ ؛ أَسْأَلُكَ بِهذِهِ المِدْحَةِ الَّتِي لا تَنْبَغِي‌ إِلاّ لَكَ وَبِما وَأَيْتَ بِهِ عَلى نَفْسِكَ لِداعِيكَ مِنَ المُؤْمِنِينَ وَبِما ضَمِنْتَ الاِجابَةَ فِيهِ عَلى نَفْسِكَ لِلدَّاعِينَ، ياأَسْمَعَ السَّامِعِينَ وَأَبْصَرَ النَّاِظرِينَ وَأَسْرَعَ الحاسِبِينَ، ياذا القُوَّةِ المَتِين صَلِّ عَلى مُحَمَّدٍ خاتَمِ النَّبِيِّينَ وَعَلى أَهْلِ بَيْتِهِ، وَاقْسِمْ لِي فِي شَهْرِنا هذا خَيْرَ ما قَسَمْتَ وَاحْتِمْ لِي فِي قَضائِكَ خَيْرَ ما حَتَمْتَ وَاخْتِمْ لِي بِالسَّعادَةِ فِيمَنْ خَتَمْتَ، وَأَحْيِنِي ما أَحْيَيْتَنِي مَوْفوراً وَأَمِتْنِي مَسْرُوراً وَمَغْفوراً، وَتَوَلَّ أَنْتَ نَجاتِي مِنْ مُسأَلَةِ البَرْزَخِ وَادْرأ عَنِّي مُنْكَراً وَنَكِيراً وَأَرِعَيْنِي مُبَشِّراً وَبَشِيراً، وَاجْعَلْ لِي إِلى رِضْوانِكَ وَجِنانِكَ مَصِيراً وَعَيْشاً قَرِيراً وَمُلْكاً كَبِيراً وَصَلِّ عَلى مُحَمَّدٍ وَآلِهِ كَثِيراً,3-أيام رجب
5,5," اَللّـهُمَّ اَهِلَّهُ عَلَيْنا بِالاَْمْنِ وَالاْيمانِ وَالسَّلامَةِ وَالاِْسْلامِ رَبّي وَرَبُّكَ اللهُ عَزَّوَجَلَّ
اَللّـهُمَّ بارِكْ لَنا في رَجَب وَشَعْبانَ، وبَلِّغْنا شَهْرَ رَمَضانَ، واَعِنّا عَلَى الصِّيامِ وَالْقِيامِ وَحِفْظِ اللِّسانِ، وَغَضِّ الْبَصَرِ، وَلا تَجْعَلْ حَظَّنا مِنْهُ الْجُوعَ وَالْعَطَشَ",رأى الهلال
6,13,اَللّـهُمَّ اِنّي اَساَلُكَ بِاَنَّكَ مَلِكٌ، واَنَّكَ عَلى كُلِّ شَيْيء  مُقْتَدِرٌ، وَاَنَّكَ ما تَشاءُ مِنْ أَمْر يَكُونُ، اَللّـهُمَّ اِنّي اَتَوجَّهُ اِلَيْكَ بِنَبِيِّكَ مُحَمَّد نَبِيِّ الرَّحْمَةِ صَلَّى اللهُ عَلَيْهِ وَآلِهِ، يا مُحَمَّدُ يا رَسُولَ اللهِ، اِنّي اَتَوجَّهُ بِكَ اِلَى اللهِ رَبِّكَ وَرَبِّي لِيُنْجِحَ لي بِكَ طَلِبَتي، اَللّـهُمَّ بِنَبِيِّكَ مُحَمَّد وَالاَْئِمَّةِ مِنْ اَهْلِ بَيْتِهِ صَلَّى اللهُ عَلَيْهِ وَعَلَيْهِمْ اَنْجِحْ طَلِبَتي,أوّل ليلة بعد العشاء
7,14,يا مَنْ يَمْلِكُ حَوائِجَ السّائِلينَ ، و يَعْلَمُ ضَميرَ الصّامِتينَ ، لِكُلِّ مَسْأَلَة مِنْكَ سَمْعٌ حاضِرٌ وَ جَوابٌ عَتيدٌ ، اَللّـهُمَّ وَ مَواعيدُكَ الصّادِقَةُ ، و اَياديكَ الفاضِلَةُ ، و رَحْمَتُكَ الواسِعَةُ ، فأسْألُكَ أن تٌصَلِّيَ عَلى مُحَمَّد وَ آلِ مُحَمَّد ، و أنْ تَقْضِيَ حَوائِجي لِلدُّنْيا وَ الآخِرَةِ ، اِنَّكَ عَلى كُلِّ شيء قَديرٌ,يا من يملك حوائج السائلين
8,15,اَللّـهُمَّ يا مُذِلَّ كُلِّ جَبّار، وَيا مُعِزَّ الْمُؤْمِنينَ، اَنْتَ كَهْفي حينَ تُعْيينِى الْمَذاهِبُ، وَاَنْتَ بارِئُ خَلْقي رَحْمَةً بي وَقَدْ كُنْتَ عَنْ خَلْقي غَنِيّاً، وَلَوْلا رَحْمَتُكَ لَكُنْتُ مِنَ الْهالِكينَ، وَاَنْتَ مُؤَيِّدي بِالنَّصْرِ عَلى اَعْدائي وَلَوْلا نَصْرُكَ اِيّايَ لَكُنْتُ مِنَ الْمَفْضُوحينَ، يا مُرْسِلَ الرَّحْمَةِ مِنْ مَعادِنِها، وَمُنْشِىءَ الْبَرَكَةِ مِنْ مَواضِعِها، يا مَنْ خَصَّ نَفْسَهُ بِالشُّمُوخِ وَالرِّفْعَةِ، فَاَوْلِياؤُهُ بِعِزِّهِ يَتَعَزَّزُونَ، وَيا مَنْ وَضَعَتْ لَهُ الْمُلُوكِ نيرَ الْمَذَلَّةِ عَلى اَعْناقِهِمْ، فَهُمْ مِنْ سَطَواتِهِ خائِفُونَ، اَساَلُكَ بِكَيْنُونِيَّتِكَ الَّتِي اشْتَقَقْتَها مِنْ كِبْرِيائِكَ، وَاَساَلُكَ بِكِبْرِيائِكَ الَّتِى اشْتَقَقْتَها مِنْ عِزَّتِكَ، وَاَساَلُكَ بِعِزَّتِكَ الَّتِي اسْتَوَيْتَ بِها عَلى عَرْشِكَ فَخَلَقْتَ بِها جَميعَ خَلْقِكَ فَهُمْ لَكَ مُذْعِنُونَ اَنْ تُصَلِّيَ عَلى مُحَمَّد وَاَهْلِ بَيْتِهِ,اَللّـهُمَّ يا مُذِلَّ كُلِّ جَبّار
9,16,اَللّـهُمَّ اِنّي اَساَلُكَ صَبْرَ الشّاكِرينَ لَكَ، وَعَمَلَ الْخائِفينَ مِنْك، وَيَقينَ الْعابِدينَ لَكَ، اَللّـهُمَّ اَنْتَ الْعَلِيُّ الْعَظيمُ، وَاَنَا عَبْدُكَ الْبائِسُ الْفَقيرُ، اَنْتَ الْغَنِيُّ الْحَميدُ، وَاَنَا الْعَبْدُ الذَّليل. اَللّـهُمَّ صَلِّ عَلى مُحَمَّد وَآلِهِ وَاْمْنُنْ بِغِناكَ عَلى فَقْري، وَبِحِلْمِكَ عَلى جَهْلي، وَبِقُوَّتِكَ عَلى ضَعْفي، يا قَوِيُّ يا عَزيزُ. اَللّـهُمَّ صَلِّ عَلى مُحَمَّد وَآلِهِ الاْوصياءِ الْمَرْضِيِّينَ، وَاكْفِني ما اَهَمَّني مِنْ اَمْرِ الدُّنْيا وَالاخِرَةِ يا اَرْحَمَ الرّاحِمينَ,أَسْأَلُكَ صَبْرَ الشَّاكِرِينَ
10,17,خابَ الوافِدُونَ عَلى غَيْرِكَ، وَخَسِرَ المُتَعَرِّضُونَ إِلاّ لَكَ، وَضاعَ المُلِّمُونَ إِلاّ بِكَ، وَاَجْدَبَ الْمُنْتَجِعُونَ إِلاّ مَنِ انْتَجَعَ فَضْلَكَ، بابُكَ مَفْتُوحٌ لِلرّاغِبينَ، وَخَيْرُكَ مَبْذُولٌ لِلطّالِبينَ وَفَضْلُكَ مُباحٌ لِلسّائِلينَ، وَنَيْلُكَ مُتاحٌ للآمِلينَ، وَرِزْقُكَ مَبْسُوطٌ لِمَنْ عَصاكَ، وَحِلْمُكَ مُعْتَرِضٌ لِمَنْ ناواكَ، عادَتُكَ الاِْحْسانُ اِلَى الْمُسيئينَ، وَسَبيلُكَ الاِبْقاءُ عَلَى الْمُعْتَدينَ، اللّـهُمَّ فَاهْدِني هُدَى الْمُهْتَدينَ، وَارْزُقْني اجْتِهادَ الُْمجْتَهِدينَ، وَلا تَجْعَلْني مِنَ الْغافِلينَ الْمُبْعَدينَ. واغْفِرْ لي يَوْمَ الدّينِ,خَابَ الْوَافِدُونَ
