ID,AuthorName,OtherID
0,Unknown,
1,Abbas And Shaheen Merali,55.0
3,Abd Al Razzaq Al Muqarram,19.0
4,Abdul Adheem Al-Muhtadi Al-Bahrani,18.0
5,Abdul Rahim Mugahi,136.0
6,Abdul Sahib Al-Hasani Al-Amili,44.0
7,Abu Jameel,108.0
8,Abu Mohd Bin Shuba Al-Harrani,48.0
9,Abu Muhammad Zaynul Abidin,146.0
10,Ahmed Ali Al-Kuwaity,31.0
11,Ahmed H. Sheriff,11.0
12,Al Balagh Foundation,12.0
13,Ali Akbar Talaafi,13.0
14,Ali Asghar Azizi Tehrani,14.0
15,Ali Peiravi,16.0
16,Ali Quli Qarai,15.0
18,Allama M H Kashiful Ghita,17.0
20,Allama Syed Muhammad Baqar Majlisi,6.0
21,Allama Muhammad Husain Tabatabai,8.0
22,Allama Rasheed Turabi,22.0
23,Allama Syed Murtaza Askari,24.0
25,Aga Mahdi Puya (Agha Pooya),2.0
26,Asad Wahid Al-Qasim,27.0
27,Ayatuallah Nasir Makarim Shirazi,23.0
28,Ayatullah Abul Qasim Al-Khoei,28.0
31,Ayatullah Baqir Sadr & Ayatullah Mutahari,32.0
32,Ayatullah Dastaghaib Shirazi,33.0
33,Ayatullah Ibrahim Amini,34.0
34,Ayatullah Jafar Subhani,35.0
35,Ayatullah Lutfullah Saafi Golpaygani,36.0
38,Ayatullah Mohammed Reyshahri,39.0
39,Ayatullah Mohd Hosseini Beheshti,40.0
40,Ayatullah Muhammad Baqir Al Sadr,41.0
41,Ayatullah Muhammad Taqi Misbah Yazdi,42.0
42,Ayatullah Shaheed Murtaza Muttahri,1.0
44,Ayatullah Najafi Quchani,45.0
45,Ayatullah Ruhullah Khomeini,9.0
46,Ayatullah Shaikh Abdulla Mamkani,47.0
48,Ayatullah Syed Ali Khamenei,30.0
49,Ayatullah Syed Ali Seestani,3.0
50,Ayatullah Syed Kamal Imani,7.0
51,Ayatullah Syed Sadiq Shirazi,51.0
52,Ayatullah Muhammad Taqi Behjat,52.0
56,Batool S. Arastu,56.0
57,Bint Al Huda,57.0
58,Dr Ali Ghaemi,58.0
59,Dr. Ali Shariati,59.0
60,Dr. Gary Miller,60.0
61,Dr. Ibrahim Ayati,61.0
62,Dr. Zahra Rahnavard,62.0
63,Duas.Org,63.0
64,Ezzat Abouleish M.D,64.0
65,George Jordac,65.0
66,Group Of Scholars,66.0
67,Hamid Algar,67.0
68,Holy Prophet (Saww),68.0
69,Hujjatul Islam Husayn Ansarian,69.0
70,Husain Ibn Ali Ibn Sadiq Al Bahrani,70.0
71,I.H. Najafi,71.0
72,I.K.A. Howard,72.0
73,Imam Ali ibn Abi Talib (As),73.0
74,Imam Ali Zain-Ul-Abidin (As),74.0
75,Imam Jafar As-Sadiq (As),75.0
76,Imam Jawad Chirri and Dr. Wilson,76.0
77,Imam Muhammad Shirazi,77.0
78,Islamic-Laws.Com,78.0
79,Jabir Ibn Abdullah Ansari,79.0
80,Jamal Al-Din Ibn Yusuf Allama Hilli,80.0
81,Javad Shayvard,81.0
82,Jawad Al Ansari,82.0
83,Jawad Iqbal Qazilbash,83.0
84,Jawad Muhaddathi - Shahnwaz Mahdavi,84.0
85,Khwajah Nasir Al Din Al Tusi,85.0
86,Lady Sachiko Murata,86.0
87,Louis Alberto Vittar,87.0
88,M.M. Dungersi,88.0
89,Mahdi Mahrizi,89.0
90,Mahdi Muntazir Qa'Im - Mohd Legenhausen,90.0
91,Mahmud Abu Riyyah,91.0
92,Majid Massoudi,92.0
94,Maurice Bucaille,94.0
95,Mirza Jawad Maliki Tabrizi,95.0
96,Mohamed A. Khalfan,96.0
97,Mohammed Qasem,97.0
98,Mohd Ordoni,98.0
99,Mohsin Qaraati,99.0
100,Muhammad Ali Chenarani,100.0
101,Muhammad Ali Shomali,101.0
