ID,Type,TypeNo,ParaNo,ParaFormat,AR,UR,ARSIMPLE,satatus
1,1,1,1.0,1, (١) وَ مِن خُطْبَةٍ لَّهٗ عَلَیْهِ السَّلَامُ,خطبہ (۱), (١) و من خطبة له علیه السلام,
2,1,1,2.0,3,یَذْكُرُ فِیْهَا ابْتِدَاءَ خَلْقِ السَّمَآءِ وَ الْاَرْضِ وَ خَلْقِ اٰدَمَ ؑ,اس میں ابتدائے آفرینش زمین و آسمان اور پیدائش آدم ؈ کا ذکر فرمایا ہے,یذكر فیها ابتداء خلق السماء و الارض و خلق ادم ؑ,
3,1,1,3.0,2,اَلْحَمْدُ لِلّٰهِ الَّذِیْ لَا یَبْلُغُ مِدْحَتَهُ الْقَآئِلُوْنَ، وَ لَا یُحْصِیْ نَعْمَآئَهُ الْعَادُّوْنَ وَ لَا یُؤَدِّیْ حَقَّهٗ الْمُجْتَهِدُوْنَ، الَّذِیْ لَا یُدْرِكُهٗ بُعْدُ الْهِمَمِ، وَ لَا یَنَالُهٗ غَوْصُ الْفِطَنِ، الَّذِیْ لَیْسَ لِصِفَتِهٖ حَدٌّ مَّحْدُوْدٌ، وَ لَا نَعْتٌ مَّوْجُوْدٌ، وَ لَا وَقْتٌ مَّعْدُوْدٌ،وَ لَاۤ اَجَلٌ مَّمْدُوْدٌ.,تمام حمد اس اللہ کیلئے ہے ، جس کی مدح تک بولنے والوں کی رسائی نہیں، جس کی نعمتوں کو گننے والے گن نہیں سکتے، نہ کوشش کرنے والے اس کا حق ادا کر سکتے ہیں، نہ بلند پرواز ہمتیں اسے پا سکتی ہیں، نہ عقل و فہم کی گہرائیاں اس کی تہ تک پہنچ سکتی ہیں۔ اس کے کمالِ ذات کی کوئی حد معین نہیں، نہ اس کیلئے توصیفی الفاظ ہیں، نہ اس (کی ابتدا) کیلئے کوئی وقت ہے جسے شمار میں لایا جا سکے، نہ اس کی کوئی مدت ہے جو کہیں پر ختم ہو جائے۔,الحمد لله الذی لا یبلغ مدحته القائلون، و لا یحصی نعمائه العادون و لا یؤدی حقه المجتهدون، الذی لا یدركه بعد الهمم، و لا یناله غوص الفطن، الذی لیس لصفته حد محدود، و لا نعت موجود، و لا وقت معدود،و لا اجل ممدود.,
4,1,1,4.0,2,فَطَرَ الْخَلَاۗئِقَ بِقُدْرَتِهٖ، وَ نَشَرَ الرِّیَاحَ بِرَحْمَتِهٖ، وَ وَتَّدَ بِالصُّخُوْرِ مَیَدَانَ اَرْضِهٖ.,اس نے مخلوقات کو اپنی قدرت سے پیدا کیا، اپنی رحمت سے ہواؤں کو چلایا اور تھرتھراتی ہوئی زمین پر پہاڑوں کی میخیں گاڑیں۔,فطر الخلاۗئق بقدرته، و نشر الریاح برحمته، و وتد بالصخور میدان ارضه.,
5,1,1,5.0,2,اَوَّلُ الدِّیْنِ مَعْرِفَتُهٗ، وَ كَمَالُ مَعْرِفَتِهِ التَّصْدِیْقُ بِهٖ، وَ كَمَالُ التَّصْدِیْقِ بِهٖ تَوْحِیْدُهٗ، وَ كَمَالُ تَوْحِیْدِهِ الْاِخْلَاصُ لَهٗ، وَ كَمَالُ الْاِخْلَاصِ لَهٗ نَفْیُ الصِّفَاتِ عَنْهُ، لِشَهَادَةِ كُلِّ صِفَةٍ اَنَّها غَیْرُ الْمَوْصُوْفِ، وَ شَهَادَةِ كُلِّ مَوْصُوْفٍ اَنَّهٗ غَیْرُ الصِّفَةِ.,دین کی ابتدا ©۱® اس کی معرفت ہے، کمالِ معرفت اس کی تصدیق ہے، کمالِ تصدیق توحید ہے، کمالِ توحید تنزیہ و اخلاص ہے اور کمالِ تنزیہ و اخلاص یہ ہے کہ اس سے صفتوں کی نفی کی جائے، کیونکہ ہر صفت شاہد ہے کہ وہ اپنے موصوف کی غیر ہے اور ہر موصوف شاہد ہے کہ وہ صفت کے علاوہ کوئی چیز ہے۔,اول الدین معرفته، و كمال معرفته التصدیق به، و كمال التصدیق به توحیده، و كمال توحیده الاخلاص له، و كمال الاخلاص له نفی الصفات عنه، لشهادة كل صفة انها غیر الموصوف، و شهادة كل موصوف انه غیر الصفة.,
6,1,1,6.0,2,فَمَنْ وَّصَفَ اللهَ سُبْحَانَهٗ فَقَدْ قَرَنَهٗ، وَ مَنْ قَرَنَهٗ فَقَدْ ثَنَّاهُ، وَ مَنْ ثَنَّاهُ فَقَدْ جَزَّاَهٗ، وَ مَنْ جَزَّاَهٗ فَقَدْ جَهِلَهٗ، وَ مَنْ جَهِلَهٗ فَقَدْ اَشَارَ اِلَیْهِ، وَ مَنْ اَشَارَ اِلَیْهِ فَقَدْ حَدَّهٗ، وَ مَنْ حَدَّهٗ فَقَدْ عَدَّهٗ، وَ مَنْ قَالَ: «فِیْمَ؟» فَقَدْ ضَمَّنَهٗ، وَ مَنْ قَالَ: «عَلَامَ؟» فَقَدْ اَخْلٰى مِنْهُ.,لہٰذا جس نے ذاتِ الٰہی کے علاوہ صفات مانے اس نے ذات کا ایک دوسرا ساتھی مان لیا اور جس نے اس کی ذات کا کوئی اور ساتھی مانا اس نے دوئی پیدا کی اور جس نے دوئی پیدا کی اس نے اس کیلئے جز بنا ڈالا اور جو اس کیلئے اجزا کا قائل ہوا وہ اس سے بے خبر رہا اور جو اس سے بے خبر رہا اس نے اسے قابلِ اشارہ سمجھ لیا اور جس نے اسے قابلِ اشارہ سمجھ لیا اس نے اس کی حد بندی کر دی اور جو اسے محدود سمجھا وہ اسے دوسری چیزوں ہی کی قطار میں لے آیا اور جس نے یہ کہا کہ ’’وہ کس چیز میں ہے‘‘؟ اس نے اسے کسی شے کے ضمن میں فرض کر لیا اور جس نے یہ کہا کہ ’’وہ کس چیز پر ہے؟‘‘ اس نے اور جگہیں اس سے خالی سمجھ لیں۔,فمن وصف الله سبحانه فقد قرنه، و من قرنه فقد ثناه، و من ثناه فقد جزاه، و من جزاه فقد جهله، و من جهله فقد اشار الیه، و من اشار الیه فقد حده، و من حده فقد عده، و من قال: «فیم؟» فقد ضمنه، و من قال: «علام؟» فقد اخلى منه.,
7,1,1,7.0,2,كَآئِنٌ لَّا عَنْ حَدَثٍ، مَّوْجُوْدٌ لَّا عَنْ عَدَمٍ، مَعَ كُلِّ شَیْءٍ لَا بِمُقَارَنَةٍ، وَ غَیْرُ كُلِّ شَیْءٍ لَّا بِمُزَایَلَةٍ، فَاعِلٌ لَّا بِمَعْنَى الْحَرَكَاتِ وَ الْاٰلَةِ، بَصِیْرٌ اِذْ لَا مَنْظُوْرَ اِلَیْهِ مِنْ خَلْقِهٖ، مُتَوَحِّدٌ اِذْ لَا سَكَنَ یَسْتَاْنِسُ بِهٖ وَ لَا یَسْتَوْحِشُ لِفَقْدِهٖ.,وہ ہے ہوا نہیں، موجود ہے مگر عدم سے وجود میں نہیں آیا، وہ ہر شے کے ساتھ ہے نہ جسمانی اتصال کی طرح، وہ ہر چیز سے علیحدہ ہے نہ جسمانی دوری کے طور پر، وہ فاعل ہے لیکن حرکات و آلات کا محتاج نہیں، وہ اس وقت بھی دیکھنے والا تھا جب کہ مخلوقات میں کوئی چیز دکھائی دینے والی نہ تھی، وہ یگانہ ہے اس لئے کہ اس کا کوئی ساتھی ہی نہیں ہے کہ جس سے وہ مانوس ہو اور اسے کھو کر پریشان ہو جائے۔,كائن لا عن حدث، موجود لا عن عدم، مع كل شیء لا بمقارنة، و غیر كل شیء لا بمزایلة، فاعل لا بمعنى الحركات و الالة، بصیر اذ لا منظور الیه من خلقه، متوحد اذ لا سكن یستانس به و لا یستوحش لفقده.,
8,1,1,8.0,2,اَنْشَاَ الْخَلْقَ اِنْشَآءً، وَ ابْتَدَاَهُ ابْتِدَآءً، بِلَا رَوِیَّةٍ اَجَالَهَا، وَ لَا تَجْرِبَةٍ اسْتَفَادَهَا، وَ لَا حَرَكَةٍ اَحْدَثَهَا، وَ لَا هَمَامَةِ نَفْسٍ اضْطَرَبَ فِیْهَا. اَحَالَ الْاَشْیَآءَ لِاَوْقَاتِهَا، وَ لَـئَمَ بَیْنَ مُخْتَلِفَاتِهَا، وَ غَرَّزَ غَرَآئِزَهَا وَ اَلْزَمَهَا اَشْبَاحَهَا، عَالِمًۢا بِهَا قَبْلَ ابْتِدَآئِهَا، مُحِیْطًۢا بِحُدُوْدِهَا وَ انْتِهَآئِهَا، عَارِفًۢا بِقَرَآئِنِهَا وَ اَحْنَآئِهَا.,اس نے پہلے پہل خلق کو ایجاد کیا بغیر کسی فکر کی جولانی کے اور بغیر کسی تجربہ کے جس سے فائدہ اٹھانے کی اسے ضرورت پڑی ہو اور بغیر کسی حرکت کے جسے اس نے پیدا کیا ہو اور بغیر کسی ولولہ اور جوش کے جس سے وہ بیتاب ہوا ہو۔ ہر چیز کو اس کے وقت کے حوالے کیا، بے جوڑ چیزوں میں توازن و ہم آہنگی پیدا کی، ہر چیز کو جداگانہ طبیعت اور مزاج کا حامل بنایا اور ان طبیعتوں کیلئے مناسب صورتیں ضروری قرار دیں۔ وہ ان چیزوں کو ان کے وجود میں آنے سے پہلے جانتا تھا، ان کی حد و نہایت پر احاطہ کئے ہوئے تھا اور ان کے نفوس و اعضاء کو پہچانتا تھا۔,انشا الخلق انشاء، و ابتداه ابتداء، بلا رویة اجالها، و لا تجربة استفادها، و لا حركة احدثها، و لا همامة نفس اضطرب فیها. احال الاشیاء لاوقاتها، و لـئم بین مختلفاتها، و غرز غرائزها و الزمها اشباحها، عالما بها قبل ابتدائها، محیطا بحدودها و انتهائها، عارفا بقرائنها و احنائها.,
9,1,1,9.0,2,ثُمَّ اَنْشَاَ ـ سُبْحَانَهٗ ـ فَتْقَ الْاَجْوَآءِ، وَ شَقَّ الْاَرْجَآءِ، وَ سَكَـآئِكَ الْهَوَآءِ، فَاَجْرٰی فِیْهَا مَآءً مُّتَلَاطِمًا تَیَّارُهٗ، مُتَرَاكِمًا زَخَّارُهٗ، حَمَلَهٗ عَلٰى مَتْنِ الرِّیْحِ الْعَاصِفَةِ، وَ الزَّعْزَعِ الْقَاصِفَةِ، فَاَمَرَهَا بِرَدِّهٖ، وَ سَلَّطَهَا عَلٰى شَدِّهٖ، وَ قَرَنَهَا اِلٰى حَدِّهٖ، الْهَوَآءُ مِنْ تَحْتِهَا فَتِیْقٌ وَّ الْمَآءُ مِنْ فَوْقِهَا دَفِیْقٌ.,پھر یہ کہ اس نے کشادہ فضا، وسیع اطراف و اکناف اور خلا کی وسعتیں خلق کیں اور ان میں ایسا پانی بہایا جس کے دریائے مواج کی لہریں طوفانی اور بحر زخار کی موجیں تہ بہ تہ تھیں، اسے تیز ہوا اور تند آندھی کی پشت پر لادا، پھر اسے پانی کے پلٹانے کا حکم دیا اور اسے اس کے پابند رکھنے پر قابو دیا اور اسے پانی کی سرحد سے ملا دیا۔ اس کے نیچے ہوا دور تک پھیلی ہوئی تھی اور اوپر پانی ٹھاٹھیں مار رہا تھا۔,ثم انشا ـ سبحانه ـ فتق الاجواء، و شق الارجاء، و سكـائك الهواء، فاجری فیها ماء متلاطما تیاره، متراكما زخاره، حمله على متن الریح العاصفة، و الزعزع القاصفة، فامرها برده، و سلطها على شده، و قرنها الى حده، الهواء من تحتها فتیق و الماء من فوقها دفیق.,
10,1,1,10.0,2,ثُمَّ اَنْشَاَ سُبْحَانَهٗ رِیْحَا اِعْتَقَمَ مَهَبَّهَا، وَ اَدَامَ مُرَبَّهَا، وَ اَعْصَفَ مَجْرَاهَا، وَ اَبْعَدَ مَنْشَاهَا، فَاَمَرَهَا بِتَصْفِیْقِ الْمَآءِ الزَّخَّارِ، وَ اِثَارَةِ مَوْجِ الْبِحَارِ، فَمَخَضَتْهُ مَخْضَ السِّقَآءِ، وَ عَصَفَتْ بِهٖ عَصْفَهَا بِالْفَضَآءِ، تَرُدُّ اَوَّلَهٗ اِلٰۤی اٰخِرِهٖ، وَ سَاجِیَهٗ اِلٰی مَآئِرِهٖ حَتّٰى عَبَّ عُبَابُهٗ، وَ رَمٰى بِالزَّبَدِ رُكَامُهٗ، فَرَفَعَهٗ فِیْ هَوَآءٍ مُّنْفَتِقٍ، وَ جَوٍّ مُّنْفَهِقٍ، فَسَوّٰى مِنْهُ سَبْعَ سَمٰوٰتٍ، جَعَلَ سُفْلَاهُنَّ مَوْجًا مَكْفُوْفًا وَ عُلْیَاهُنَّ سَقْفًا مَّحْفُوْظًا،وَ سَمْكًا مَّرْفُوْعًا بِغَیْرِ عَمَدٍ یَّدْعَمُهَا، وَ لَا دِسَارٍ یَّنْظِمُهَا. ثُمَّ زَیَّنَهَا بِزِیْنَةِ الْكَوَاكِبِ، وَ ضِیَآءِ الثَّوَاقِبِ وَ اَجْرٰى فِیْهَا سِرَاجًا مُّسْتَطِیْرًا، وَ قَمَرًا مُّنِیْرًا فِیْ فَلَكٍ دَآئِرٍ، وَ سَقْفٍ سَآئِرٍ، وَ رَقِیْمٍ مَآئِرٍ.,پھر اللہ سبحانہ نے اس پانی کے اندر ایک ہوا خلق کی جس کا چلنا بانجھ (بے ثمر) تھا اور اسے اس کے مرکز پر قرار رکھا، اس کے جھونکے تیز کر دیئے اور اس کے چلنے کی جگہ دور و دراز تک پھیلا دی، پھر اس ہوا کو مامور کیا کہ وہ پانی کے ذخیرے کو تھپیٹرے دے اور بحر بے کراں کی موجوں کو اچھالے۔ اس ہوا نے پانی کو یوں متھ دیا جس طرح دہی کے مشکیزے کو متھا جاتا ہے اور اسے دھکیلتی ہوئی تیزی سے چلی جس طرح خالی فضا میں چلتی ہے اور پانی کے ابتدائی حصے کو آخری حصے پر اور ٹھہرے ہوئے کو چلتے ہوئے پانی پر پلٹانے لگی، یہاں تک کہ اس متلاطم پانی کی سطح بلند ہو گئی اور وہ تہ بہ تہ پانی جھاگ دینے لگا، اللہ نے وہ جھاگ کھلی ہوا اور کشادہ فضا کی طرف اٹھائی اور اس سے ساتوں آسمان پیدا کئے۔ نیچے والے آسمان کو رکی ہوئی موج کی طرح بنایا اور اوپر والے آسمان کو محفوظ چھت اور بلند عمارت کی صورت میں اس طرح قائم کیا کہ نہ ستونوں کے سہارے کی حاجت تھی، نہ بندھنوں سے جوڑنے کی ضرورت۔ پھر ان کو ستاروں کی سج دھج اور روشن تاروں کی چمک دمک سے آراستہ کیا اور ان میں ضوپاش چراغ اور جگمگاتا چاند رواں کیا جو گھومنے والے فلک، چلتی پھرتی چھت اور جنبش کھانے والی لوح میں ہے۔,ثم انشا سبحانه ریحا اعتقم مهبها، و ادام مربها، و اعصف مجراها، و ابعد منشاها، فامرها بتصفیق الماء الزخار، و اثارة موج البحار، فمخضته مخض السقاء، و عصفت به عصفها بالفضاء، ترد اوله الی اخره، و ساجیه الی مائره حتى عب عبابه، و رمى بالزبد ركامه، فرفعه فی هواء منفتق، و جو منفهق، فسوى منه سبع سموت، جعل سفلاهن موجا مكفوفا و علیاهن سقفا محفوظا،و سمكا مرفوعا بغیر عمد یدعمها، و لا دسار ینظمها. ثم زینها بزینة الكواكب، و ضیاء الثواقب و اجرى فیها سراجا مستطیرا، و قمرا منیرا فی فلك دائر، و سقف سائر، و رقیم مائر.,
11,1,1,11.0,2,ثُمَّ فَتَقَ مَا بَیْنَ السَّمٰوٰتِ الْعُلَا، فَمَلَاَهُنَّ اَطْوَارًا مِّنْ مَلٰٓئِكَتِهٖ: مِنْهُمْ سُجُوْدٌ لَّا یَرْكَعُوْنَ، وَ رُكُوْعٌ لَّا یَنْتَصِبُوْنَ، وَ صَآفُّوْنَ لَا یَتَزَایَلُوْنَ، وَ مُسَبِّحُوْنَ لَا یَسْاَمُوْنَ، لَا یَغْشَاهُمْ نَوْمُ العُیُوْنِ، وَ لَا سَهْوُ الْعُقُوْلِ، وَ لَا فَتْرَةُ الْاَبْدَانِ، وَ لَا غَفْلَةُ النِّسْیَانِ.,پھر خداوند عالم نے بلند آسمانوں کے درمیان شگاف پیدا کئے اور ان کی وسعتوں کو طرح طرح کے فرشتوں سے بھر دیا۔ کچھ ان میں سر بسجود ہیں جو رکوع نہیں کرتے، کچھ رکوع میں ہیں جو سیدھے نہیں ہوتے، کچھ صفیں باندھے ہوئے ہیں جو اپنی جگہ نہیں چھوڑتے اور کچھ پاکیزگی بیان کر رہے ہیں جو اکتاتے نہیں، نہ ان کی آنکھوں میں نیند آتی ہے، نہ ان کی عقلوں میں بھول چوک پیدا ہوتی ہے، نہ ان کے بدنوں میں سستی و کاہلی آتی ہے، نہ ان پر نسیان کی غفلت طاری ہوتی ہے۔,ثم فتق ما بین السموت العلا، فملاهن اطوارا من ملئكته: منهم سجود لا یركعون، و ركوع لا ینتصبون، و صافون لا یتزایلون، و مسبحون لا یسامون، لا یغشاهم نوم العیون، و لا سهو العقول، و لا فترة الابدان، و لا غفلة النسیان.,
12,1,1,12.0,2,وَ مِنْهُمْ اُمَنَآءُ عَلٰى وَحْیِهٖ، وَ اَلْسِنَةٌ اِلٰى رُسُلِهٖ، وَ مُخْتَلِفُوْنَ بِقَضَآئِهٖ وَ اَمْرِهٖ. وَ مِنْهُمُ الْحَفَظَةُ لِعِبَادِهٖ، وَ السَّدَنَةُ لِاَبْوَابِ جِنَانِهٖ. وَ مِنْهُمُ الثَّابِتَةُ فِی الْاَرَضِیْنَ السُّفْلٰى اَقْدَامُهُمْ، وَ الْمَارِقَةُ مِنَ السَّمَآءِ الْعُلْیَا اَعْنَاقُهُمْ، وَ الْخَارِجَةُ مِنَ الْاَقْطَارِ اَرْكَانُهُمْ، وَ الْمُنَاسِبَةُ لِقَوَآئِمِ الْعَرْشِ اَكْتَافُهُمْ، نَاكِسَةٌ دُوْنَهٗ اَبْصَارُهُمْ، مُتَلَفِّعُوْنَ تَحْتَهٗ بِاَجْنِحَتِهِمْ، مَضْرُوْبَةٌۢ بَیْنَهُمْ وَ بَیْنَ مَنْ دُوْنَهُمْ حُجُبُ الْعِزَّةِ، وَ اسْتَارُ القُدْرَةِ، لَا یَتَوَهَّمُوْنَ رَبَّهُمْ بِالتَّصْوِیْرِ، وَ لَا یُجْرُوْنَ عَلَیْهِ صِفَاتِ الْمَصْنُوْعِیْنَ، وَ لَا یَحُدُّوْنَهٗ بِالْاَمَاكِنِ، وَ لَا یُشِیْرُوْنَ اِلَیْهِ بِالنَّظَآئِرِ.,ان میں کچھ تو وحی الٰہی کے امین، اس کے رسولوں کی طرف پیغام رسانی کیلئے زبانِ حق اور اس کے قطعی فیصلوں اور فرمانوں کو لے کر آنے جانے والے ہیں، کچھ اس کے بندوں کے نگہبان اور جنت کے دروازوں کے پاسبان ہیں، کچھ وہ ہیں جن کے قدم زمین کی تہ میں جمے ہوئے ہیں (اور ان کی گردنیں بلند ترین آسمانوں سے بھی باہر نکلی ہوئی ہیں) اور ان کے پہلو اطراف عالم سے بھی آگے بڑھ گئے ہیں، ان کے شانے عرش کے پایوں سے میل کھاتے ہیں، عرش کے سامنے ان کی آنکھیں جھکی ہوئی ہیں اور اس کے نیچے اپنے پروں میں لپٹے ہوئے ہیں اور ان میں اور دوسری مخلوق میں عزت کے حجاب اور قدرت کے سرا پردے حائل ہیں۔ وہ شکل و صورت کے ساتھ اپنے رب کا تصور نہیں کرتے، نہ اس پر مخلوق کی صفتیں طاری کرتے ہیں، نہ اسے محل و مکان میں گھرا ہوا سمجھتے ہیں، نہ اشباہ و نظائر سے اس کی طرف اشارہ کرتے ہیں۔,و منهم امناء على وحیه، و السنة الى رسله، و مختلفون بقضائه و امره. و منهم الحفظة لعباده، و السدنة لابواب جنانه. و منهم الثابتة فی الارضین السفلى اقدامهم، و المارقة من السماء العلیا اعناقهم، و الخارجة من الاقطار اركانهم، و المناسبة لقوائم العرش اكتافهم، ناكسة دونه ابصارهم، متلفعون تحته باجنحتهم، مضروبة بینهم و بین من دونهم حجب العزة، و استار القدرة، لا یتوهمون ربهم بالتصویر، و لا یجرون علیه صفات المصنوعین، و لا یحدونه بالاماكن، و لا یشیرون الیه بالنظائر.,
13,1,1,13.0,3,[صِفَةُ خَلْقِ اَدَمَ ؑ],[آدم ؈ کی تخلیق کے بارے میں فرمایا:],[صفة خلق ادم ؑ],
