ID,Type,TypeNo,ParaNo,ParaFormat,hawashiflag,hawashi,status
1,1,1,1.0,1,s۱,دین کی اصل و اساس خدا شناسی ہے۔ ’’دین‘‘ کے لغوی معنی اطاعت اور عرفی معنی شریعت کے ہیں۔ یہاں خواہ لغوی معنی مراد لئے جائیں یا عرفی دونوں صورتوں میں اگر ذہن کسی معبود کے تصور سے خالی ہو تو نہ اطاعت کا سوال پیدا ہوتا ہے اور نہ کسی آئین کی پابندی کا، کیونکہ جب کوئی منزل ہی سامنے نہ ہو گی تو منزل کے رخ پر بڑھنے کے کیا معنی؟ اور جب کوئی مقصد ہی پیشِ نظر نہ ہو گا تو اس کیلئے تگ و دو کرنے کا کیا مطلب؟ البتہ جب انسان کی عقل و فطرت اس کا سر رشتہ کسی مافوق الفطرت طاقت سے جوڑ دیتی ہے اور اس کا ذوقِ پرستاری و جذبۂ عبودیت اسے کسی معبود کے آگے جھکا دیتا ہے تو وہ من مانی کر گزرنے کے بجائے اپنی زندگی کو مختلف قسم کی پابندیوں میں جکڑا ہوا محسوس کرتا ہے اور انہی پابندیوں کا نام ’’دین‘‘ ہے جس کا نقطۂ آغاز صانع کی معرفت اور اس کی ہستی کا اعتراف ہے۔,
2,1,1,2.0,1,,معرفت کی بنیادی حیثیت کی طرف اشارہ کرنے کے بعد اس کے ضروری ارکان و شرائط بیان فرمائے ہیں اور عموماً افرادِ انسانی جن ناقص مراتب ادراک کو اپنی منزل آخر بنا کر قانع ہو جاتے ہیں ان کے ناکافی ہونے کا اظہار فرمایا ہے۔,
3,1,1,3.0,1,,اور اس کا پہلا درجہ یہ ہے کہ فطرت کے وجدانی احساس اور ضمیر کی راہنمائی سے یا اہلِ مذاہب کی زبان سے سن کر اُس اَن دیکھی ہستی کا تصور ذہن میں پیدا ہو جائے جو ’’خدا‘‘ کہی جاتی ہے۔ یہ تصور در حقیقت فکر و نظر کی ذمہ داری اور تحصیل معرفت کا حکم عائد ہونے کا عقلاً پیش خیمہ ہے، لیکن تساہل پسند یا ماحول کے دباؤ میں اسیر ہستیاں اس تصور کے پیدا ہونے کے باوجود طلب کی زحمت گوارا نہیں کرتیں تو وہ تصور تصدیق کی شکل اختیار نہیں کرتا۔ اس صورت میں وہ معرفت سے محروم ہو جاتی ہیں اور باوجودِ تصور بمنزل تصدیق سے ان کی محرومی چونکہ بالاختیار ہوتی ہے، اس لئے وہ اس پر مواخذہ کی مستحق ہوتی ہیں، لیکن جو اس تصور کی تحریک سے متاثر ہو کر قدم آگے بڑھاتا ہے وہ غور و فکر ضروری سمجھتا ہے۔,
4,1,1,4.0,1,,اور اس طرح دوسرا درجہ اِدراک کا حاصل ہوتا ہے اور وہ یہ ہے کہ مخلوقات کی بو قلمونیوں اور مصنوعات کی نیرنگیوں سے صانع عالم کا کھوج لگایا جائے۔ کیونکہ ہر نقش نقاش کے وجود پر اور ہر اثر مؤثر کی کارفرمائی پر ایک ٹھوس اور بے لچک دلیل ہے۔ چنانچہ انسان جب اپنے گرد و پیش نظر دوڑاتا ہے تو اسے ایسی کوئی چیز دکھائی نہیں دیتی کہ جو کسی صانع کی کا فرمائی کے بغیر موجود ہو گئی ہو، یہاں تک کہ کوئی نقشِ قدم بغیر راہرو کے اور کوئی عمارت بغیر معمار کے کھڑی ہوتے ہوئے نہیں دیکھتا تو کیونکر یہ باور کر سکتا ہے کہ یہ فلک نیلگوں اور اس کی پہنائیوں میں آفتاب و مہتاب کی تجلیاں اور یہ زمین اور اس کی وسعتوں میں سبزہ و گل کی رعنائیاں بغیر کسی صانع کی صنعت طرازی کے موجود ہو گئی ہوں گی۔ لہٰذا موجودات عالم اور نظم کائنات کو دیکھنے کے بعد کوئی انسان اس نتیجہ تک پہنچنے سے اپنے دل و دماغ کو نہیں روک سکتا کہ اس جہان رنگ وبو کا کوئی بنانے سنوارنے والا ہے، کیونکہ تہی دامانِ وجود سے فیضانِ وجود نہیں ہو سکتا اور نہ عدم سے وجود کا سرچشمہ پھوٹ سکتا ہے۔ قرآن نے اس استدلال کی طرف ان لفظوں میں اشارہ کیا ہے:,
5,1,1,5.0,1,,§﴿اَفِى اللّٰهِ شَكٌّ فَاطِرِ السَّمٰوٰتِ وَالْاَرْضِ‌ؕ۝﴾¦,
6,1,1,6.0,1,,کیا اللہ کے وجود میں شک ہو سکتا ہے جو زمین و آسمان کا پیدا کرنے والا ہے۔©۱®,
7,1,1,7.0,1,,لیکن یہ درجہ بھی ناکافی ہے، جبکہ اس کی تصدیق میں غیر کی الوہیت کے عقیدہ کی آمیزش ہو۔,
8,1,1,8.0,1,,تیسرا درجہ یہ ہے کہ اس کی ہستی کا اقرار وحدت و یگانگت کے اعتراف کے ساتھ ہو۔ بغیر اس کے خدا کی تصدیق مکمل نہیں ہو سکتی، کیونکہ جس کے ساتھ اور بھی خدا مانے جائیں گے وہ ایک نہیں ہو گا اور خدا کیلئے ایک ہونا ضروری ہے، کیونکہ ایک سے زائد ہونے کی صورت میں یہ سوال پیدا ہو گا کہ اس کائنات کو ان میں سے ایک نے پیدا کیا ہے یا سب نے مل جل کر۔ اگر ایک نے پیدا کیا ہے تو اس میں کوئی خصوصیت ہونا چاہیے، ورنہ اس ایک کو بلا وجہ ترجیح ہو گی جو عقلاً باطل ہے اور اگر سب نے مل جل کر بنایا ہے تو دو حال سے خالی نہیں: یا تو وہ دوسروں کی مدد کے بغیر اپنے اُمور کی انجام دہی نہ کر سکتا ہو گا یا ان کی شرکت و تعاون سے بے نیاز ہو گا۔پہلی صورت میں اس کا محتاج و دستِ نگر ہونا اور دوسری صورت میں ایک فعل کیلئے کئی ایک مستقل فاعلوں کا کارفرما ہونا لازم آئے گا اور یہ دونوں صورتیں اپنے مقام پر باطل کی جا چکی ہیں۔ اور اگر یہ فرض کیا جائے کہ سارے خداؤں نے حصہ رسدی مخلوقات کو آپس میں بانٹ کر ایجاد کیا ہے تو اس صورت میں تمام ممکنات کی ہر واجب الوجود سے یکساں نسبت نہ رہے گی، بلکہ صرف اپنے بنانے والے ہی سے نسبت ہو گی، حالانکہ ہر واجب کو ہر ممکن سے اور ہر ممکن کو ہر واجب سے یکساں نسبت ہونا چاہیے، کیونکہ تمام ممکنات اثر پذیری میں اور تمام واجب الوجود اثر اندازی میں ایک سے مانے گئے ہیں۔ تو اب اسے ایک مانے بغیر کوئی چارہ نہیں ہے، کیونکہ متعدد خالق ماننے کی صورت میں کسی چیز کے موجود ہونے کی گنجائش ہی باقی نہیں رہتی اور زمین و آسمان اور کائنات کی ہر شے کیلئے تباہی و بربادی ضروری قرار پاتی ہے۔ اللہ سبحانہ نے اس دلیل کو ان لفظوں میں پیش کیا ہے:,
9,1,1,9.0,1,,§﴿ لَوْ كَانَ فِيْهِمَاۤ اٰلِهَةٌ اِلَّا اللّٰهُ لَـفَسَدَتَا‌ۚ﴾¦,
10,1,1,10.0,1,,اگر زمین و آسمان میں اللہ کے علاوہ اور بھی خدا ہوتے تو یہ زمین و آسمان دونوں تباہ و برباد ہو جاتے۔©۲®,
11,1,1,11.0,1,,چوتھا درجہ یہ ہے کہ اسے ہر نقص و عیب سے پاک سمجھا جائے اور جسم و صورت، تمثیل و تشبیہ، مکان و زمان ، حرکت و سکون اور عجز و جہل سے منزہ مانا جائے، کیونکہ اس باکمال و بے عیب ذات میں نہ کسی نقص کا گزر ہو سکتا ہے نہ اس کے دامن پر کسی عیب کا دھبہ اُبھر سکتا ہے اور نہ اس کو کسی کے مثل و مانند ٹھہرایا جا سکتا ہے، کیونکہ یہ تمام چیزیں وجوب کی بلندیوں سے اتار کر امکان کی پستیوں میں لے آنے والی ہیں۔ چنانچہ قدرت نے توحید کے پہلو بہ پہلو اپنی تنزیہ و تقدیس کو بھی جگہ دی ہے:,
12,1,1,12.0,1,,(۱)§﴿قُلْ هُوَ اللّٰهُ اَحَدٌ‌ ۚ‏ ۝  اَللّٰهُ الصَّمَدُ‌ ۚ‏ ۝  لَمْ يَلِدْ   ۙ وَلَمْ يُوْلَدْ ۙ‏ ۝  وَلَمْ يَكُنْ لَّهٗ كُفُوًا اَحَدٌ ‏ ۝¦,
13,1,1,13.0,1,,کہہ دو کہ اللہ یگانہ ہے، اس کی ذات بے نیاز ہے، نہ وہ کسی کی اولاد ہے نہ اس کی کوئی اولاد ہے اور نہ اس کا کوئی ہم پلّہ ہے۔©۳®,
14,1,1,14.0,1,,(۲)§﴿لَا تُدْرِكُهُ الْاَبْصَارُ وَهُوَ يُدْرِكُ الْاَبْصَارَ‌ۚ وَهُوَ اللَّطِيْفُ الْخَبِيْرُ‏﴾¦,
15,1,1,15.0,1,,اس کو نگاہیں دیکھ نہیں سکتیں، البتہ وہ نگاہوں کو دیکھ رہا ہے اور وہ ہر چھوٹی سے چھوٹی چیز سے آگاہ اور با خبر ہے۔©۴®,
16,1,1,16.0,1,,(۳)§﴿فَلَا تَضْرِبُوْا لِلّٰهِ الْاَمْثَالَ‌ؕ اِنَّ اللّٰهَ يَعْلَمُ وَاَنْـتُمْ لَا تَعْلَمُوْنَ﴾¦,
17,1,1,17.0,1,,اللہ کیلئے مثالیں نہ گھڑ لیا کرو۔ بے شک اصل حقیقت کو اللہ جانتا ہے اور تم نہیں جانتے۔©۵®,
18,1,1,18.0,1,,(۴)§﴿لَيْسَ كَمِثْلِهٖ شَىْءٌ ‌ۚ وَهُوَ السَّمِيْعُ الْبَصِيْرُ‏﴾¦,
19,1,1,19.0,1,,کوئی چیز اس کے مانند نہیں ہے وہ سنتا بھی ہے اور دیکھتا بھی ہے۔©۶®,
20,1,1,20.0,1,,پانچواں درجہ یہ ہے جس سے معرفت مکمل ہوتی ہے کہ اس کی ذات میں صفتوں کو الگ سے نہ سمویا جائے کہ ذاتِ احدیت میں دوئی کی جھلک پیدا ہو جائے اور توحید اپنے صحیح مفہوم کو کھو کر ایک، تین اور تین ایک کے چکر میں پڑ جائے، کیونکہ اس کی ذات جو ہر و عرض کا مجموعہ نہیں کہ اس میں صفتیں اس طرح قائم ہوں جس طرح پھول میں خوشبو اور ستاروں میں چمک، بلکہ اس کی ذات خود تمام صفتوں کا سر چشمہ ہے اور وہ اپنے کمالاتِ ذاتی کے اظہار کیلئے کسی توسط کی محتاج نہیں ہے۔ اگر اسے ’’عالم‘‘ کہا جاتا ہے تو اس بنا پر کہ اس کے علم کے آثار نمایاں ہیں اور اگر اسے ’’قادر‘‘ کہا جاتا ہے تو اس لیے کہ ہر ذرّہ اس کی قدرت و کارفرمائی کا پتہ دے رہا ہے اور ’’سمیع و بصیر‘‘ کہا جاتا ہے تو اس وجہ سے کہ کائنات کی شیرازہ بندی اور مخلوقات کی چارہ سازی دیکھے اور سنے بغیر نہیں ہو سکتی۔ مگر ان صفتوں کی نمود اس کی ذات میں اس طرح نہیں ٹھہرائی جا سکتی جس طرح ممکنات میں کہ اس میں علم آئے تو وہ عالم ہو اور ہاتھ پیروں میں توانائی آئے تو وہ قادر و توانا ہو، کیونکہ صفت کو ذات سے الگ ماننے کا لازمی نتیجہ دوئی ہے اور جہاں دوئی کا تصور ہوا وہاں توحید کا عقیدہ رخصت ہوا۔ اسی لئے امیر المومنین علیہ السلام نے زائد بر ذات صفات کی نفی فرما کر صحیح توحید کے خد و خال سے آشنا فرمایا ہے اور دامن وحدت کو کثرت کے دھبوں سے بدنما نہیں ہونے دیا۔ اس سے یہ مراد نہیں ہے کہ اس کیلئے کوئی صفت تجویز ہی نہیں کی جا سکتی کہ ان لوگوں کے مسلک کی تائید ہو جو سلبی تصورات کے بھیانک اندھیروں میں ٹھوکریں کھا رہے ہیں، حالانکہ کائنات کا گوشہ گوشہ اس کی صفتوں کے آثار سے چھلک رہا ہے اور مخلوقات کا ذرّہ ذرّہ گواہی دے رہا ہے کہ وہ جاننے والا ہے، قدرت والا ہے، سننے اور دیکھنے والا ہے اور اپنے دامن ربوبیت میں پالنے والا اور سایۂ رحمت میں پروان چڑھانے والا ہے، بلکہ مقصد یہ ہے کہ اس کی ذات میں الگ سے کوئی ایسی چیز تجویز نہیں کی جا سکتی کہ اسے صفت سے تعبیر کرنا صحیح ہو، کیونکہ جو ذات ہے وہی صفت ہے اور جو صفت ہے وہی ذات ہے۔,
21,1,1,21.0,1,,اسی مطلب کو امام جعفر صادق علیہ السلام کی زبانِ فیض ترجمان سے سماعت فرمائیے اور پھر مذاہب عالم کے عقیدہ توحید کو اس کی روشنی میں دیکھئے اور پرکھئے کہ توحید کے صحیح مفہوم سے روشناس کرانے والی فردیں کون تھیں۔ چنانچہ آپؑ فرماتے ہیں:,
