ID,Type,ParaNo,ParaFormat,mqar,mqur,status,TypeNo
23,1,,1,,½بسم اللہ الرحمٰن الرحیم¼,,0
24,1,,5,,پیش گفتار,,0
25,1,,3,,½اَلْحَمْدُ لِلّٰہِ رَبِّ الْعَالَمِیْنَ وَ الصَّلٰوۃُ وَ السَّلَامُ عَلٰی سَیِّدِ الْاَنْبِیَآءِ وَ الْمُرْسَلِیْنَ وَ اٰلِہِ الطَّیِّبِیْنَ الطَّاهِرِیْنَ الْمَعْصُوْمِیْنَ. ¼,,0
26,1,,4,,اللہ سبحانہ و تعالیٰ نے انسان کو خلق کیا اور اس کی ہدایت کیلئے جہاں معصوم راہنما معین کئے وہاں اپنی طرف سے لا ریب کتابیں بھی نازل فرمائیں۔ چنانچہ وہ الٰہی نمائندے قول و عمل سے اپنا فریضہ انجام دیتے رہے اور اللہ کی کتاب کی تشریح فرماتے رہے۔ اللہ سبحانہ نے جہاں ان ہادیانِ حق کی عظمت مختلف طریقوں سے بیان فرمائی وہاں قلم و کتاب کی قسمیں کھا کر تحریر کی اہمیت سے بھی مطلع فرمایا۔ اللہ کے ان نمائندوں کی گفتگو ”حدیث“ کے نام سے محفوظ ہوتی رہی اور ہدایت کا سر چشمہ قرار پاتی رہی۔,,0
27,1,,1,,یہ سلسلہ یونہی چلتا رہا یہاں تک کہ حضرت محمد مصطفیٰ ﷺ پر نبوت ختم ہوئی اور آپؐ پر نازل ہونے والی کتاب پہلی تمام کتابوں کی ناسخ بن کر قیامت تک کی راہنمائی کی ضامن بنی۔ آپؐ نے اپنی زندگی کے آخری ایام میں جب دین کی تکمیل کا اعلان کیا تبھی اپنے بعد کے قیامت تک کے ہادیوں کو قرآن کریم کا ہم پلہ قرار دیا اور مشہور و متواتر حدیث ثقلین کے ذریعے اُمت کو ان کی عظمت سے آگاہ کیا اور ان سے تمسک اور وابستگی کو نجات و سعادت کا ضامن قرار دیا۔ چنانچہ آپ ﷺ فرمایا:,,0
28,1,,3,,½اِنِّیْ تَارِكٌ فِيْكُمُ الثَّقَلَيْنِ مَاۤ اِنْ تَمَسَّكْتُمْ بِهِمَا لَنْ تَضِلُّوْا: كِتَابَ اللهِ وَ عِتْرَتِیْ اَهْلَ بَيْتِیْ، وَ اِنَّهُمَا لَنْ يَّفْتَرِقَا حَتّٰى يَرِدَا عَلَىَّ الْحَوْضِ.¼,,0
29,1,,4,,تحقیق! میں تمہارے درمیان دو گرانقدر چیزیں چھوڑے جا رہا ہوں، جب تک تم ان سے متمسک رہے ہر گز گمراہ نہ ہو گے، وہ اللہ کی کتاب اور میری عترت، میرے اہل بیت(ع) ہیں اور یہ ہر گز ایک دوسرے سے جدا نہ ہوں گے، یہاں تک کہ میرے پاس حوض(کوثر)تک جائیں گے۔{ FR 4008},,0
30,1,,1,,اسی کے ساتھ آپ ﷺ نے بے شمار مقامات اور مناسبات پر اپنے ارشادات جلیلہ کے ذریعے اپنے ابن عم حضرت امیر المومنین علی(ع)کی قدسی شخصیت اور ان کی عظیم علمی منزلت کو بیان فرمایا۔ جیسا کہ آپ ﷺ کا ارشاد گرامی ہے:,,0
31,1,,3,,½اَنَا مَدِينَةُ الْعِلْمِ وَعَلِیٌّ بَابُهَا، فَمَنْ اَرَادَ الْعِلْمَ فَلْيَاْتِهٖ مِنْ بَابِهٖ.¼,,0
32,1,,4,,میں علم کا شہر اور علیؑ اس کا دراوزہ ہیں۔ پس جو علم کا ارادہ رکھتا ہے اسے اس دروازہ سے آنا ہو گا۔{ FR 4009 },,0
33,1,,1,,اور اپنے بعد علی (ع) کے قرآن مجید کے حقیقی ترجمان و مفسر ہونے پر اپنےاس فرمانِ ذیشان کے ذریعے مہر تصدیق ثبت فرمائی کہ:,,0
34,1,,3,,½عَلِیٌّ مَّعَ الْقُرْاٰنِ وَ الْقُرْاٰنُ مَعَ عَلِیٍّ، لَا يَفْتَرِقَانِ حَتّٰى يَرِدَا عَلَیَّ الْحَوْضَ. ¼,,0
35,1,,4,,علیؑ قرآن کے ساتھ ہے اور قرآن علیؑ کے ساتھ ہے۔ یہ جدا نہ ہوں گے،یہاں تک کہ میرے پاس حوض پر آ پہنچیں گے۔ {FR 4010},,0
36,1,,1,,پیغمبر اکرم ﷺ کے بعد اللہ کی کتاب کی تفسیر اور رسول اللہ ﷺ کی سیرت کی تشریح امیرالمومنین (ع) نے بیان کی۔ امام (ع) کبھی خطبوں اور کلام کی صورت میں ارشاد فرماتے رہے اور چاہنے والے اسے ہدایت کا خزانہ سمجھ کر جمع کرتے رہے، اور کبھی کتابت کی اہمیت کو مدنظر رکھتے ہوئے خود لکھواتے رہے اور یوں ہدایت کی راہ کو روشنی بخشتے رہے۔ اسی کے ساتھ خود آپؑ نے اپنے فرمان کے ذریعے ان ہدایت کے لازوال چشموں سے جناب حسنین شریفین (ع)، اپنے اہل و اصحاب اور محبان و موالیان کے ساتھ تمام عالم انسانیت کو فیضیاب ہونے کی تاکید فرمائی۔ چنانچہ ارشاد فرمایا:,,0
37,1,,3,,½اُوْصِیْكُمَا وَ جَمِیْعَ وَلَدِیْ وَ اَهْلِیْ وَ مَنْ بَلَغَهٗ كِتَابِیْ... ¼,,0
38,1,,4,,میں تم دونوں، اپنی تمام اولاد، اپنے کنبہ کو اور جن تک میری یہ تحریر پہنچے، سب کو وصیت کرتا ہوں۔{ FR 4011 },,0
39,1,,1,,ابتدا میں امام (ع) کے کلام کو اصبغ بن نباتہ جیسے آپؑ کے جلیل القدر اصحاب تحریرکرتے رہے اور ایک بہت بڑا سرمایہ اکٹھا ہو گیا۔ زمانہ کے گزرنے کے ساتھ ساتھ یہ سرمایہ بکھرتا رہا اور چوتھی صدی کے اواخر میں علامہ سیّد رضی کی کتاب ”خصائص الائمہ“ میں امام کے چند فرامین کو پڑھ کر لوگوں نے سیّد رضیؒ سے امیرالمومنین (ع) کے فرامین کو الگ سے جمع کرنے کی خواہش کی تو سیّد نے ان کی درخوست کو قبول کرتے ہوئے ان فرامین کی جمع آوری کا آغاز کیا اور ۴۰۰ ہجری میں اس سے فارغ ہوئے اور اس مجموعہ کا نام ”نہج البلاغہ“ رکھا۔,,0
40,1,,1,,نہج البلاغہ کو جو شہرت ملی وہ بعد از کتابِ خدا شاید ہی کسی کتاب کو ملی ہو۔اب اس بے پناہ شہرت کا سبب امام کا علم ہے، یا آپؑ کے کلام کی جامعیت، یا سیّد رضیؒ کا خلوص؟ تو یقیناً اگر کہا جائے کہ سب وجوہ شامل ہیں تو زیادہ مناسب ہو گا۔,,0
41,1,,1,,سیّد رضیؒ نے اس کلام کے بارے کیا خوب جملہ فرمایا:,,0
42,1,,3,,½لِاَنَّ كَلَامَهٗ ؑ الْكَلَامُ الَّذِیْ عَلَیْهِ مَسْحَةٌ مِّنَ الْعِلْمِ الْاِلٰهِیْ، وَ فِیْهِ عَبْقَةٌ مِّنَ الْكَلَامِ النَّبَوِیِّ. ¼,,0
43,1,,4,,اس لئے کہ آپؑ کا کلام وہ ہے جس میں علم الٰہی کی جھلک اور کلام نبویؐ کی خوشبو ہے۔{ FR 4012 },,0
44,1,,1,,نہج البلاغہ کے تعارف، اس کی جامعیت اور اس کی تالیف و جمع آوری کے بارے میں سینکڑوں کتابیں لکھی گئیں اور اس ترجمہ میں سیّد العلماء علامہ علی نقی نقن اعلی اللہ مقامہ کا علمی مقدمہ ایک شاہکار کی حیثیت رکھتا ہے۔,,0
45,1,,1,,اہل سنت کے مشہور عالم اور بیس جلدوں پر مشتمل شرح نہج البلاغہ کے مصنف جناب ابن ابی الحدید متوفی ۶۵۵ ہجری، نہج البلاغہ کے بارے میں لکھتے ہیں:,,0
46,1,,3,,½اِنَّ كَثِيْرًا مِّنْ فُصُوْلِهٖ دَاخِلٌ فِیْ بَابِ الْمُعْجِزَاتِ الْمُحَمَّدِيَّةِ لِاشْتِمَالِهَا عَلَى‏الْاَخْبَارِ الْغَيْبِيَّةِ وَ خُرُوْجِهَا عَنْ وُّسْعِ الطَّبِيْعَةِ الْبَشَرِيَّةِ. ¼,,0
47,1,,4,,اس کتاب کے اکثر حصے معجزاتِ محمدیہؐ میں داخل ہیں، کیونکہ ان میں وہ غیبی خبریں شامل ہیں جو عام فرد بشر کی طاقت سے باہر ہیں۔{ FR 4013 },,0
48,1,,1,,نہج البلاغہ کو قرآن مجید کی تفسیر کے طور پر پیش کرتے ہوئے علامہ ابن ابی الحدید خطبہ ۲۱۸ کی شرح میں لکھتے ہیں:,,0
49,1,,3,,½وَ اُقْسِمُ بِمَنْ تُقْسِمُ الْاُمَمُ كُلُّهَا بِهٖ! لَقَدْ قَرَاْتُ هٰذِهِ الْخُطْبَةَ مُنْذُ خَمْسِيْنَ سَنَةً وَّ اِلَى الْاٰنَ اَكْثَرَ مِنْ اَلْفِ مَرَّةً، مَا قَرَاْتُهَا قَطُّ اِلَّا وَ اَحْدَثَتْ عِنْدِیْ رَوْعَةً وَّ خَوْفًا وَّ عِظَةً، وَ اَثَرَتْ فِیْ قَلْبِیْ وَجِيْبًا وَّ فِیْۤ اَعْضَآئِیْ رَعْدَةً، وَ لَا تَاَمَّلْتُهَا اِلَّا وَ ذَكَرْتُ الْمَوْتٰى مِنْ اَهْلِیْ وَ اَقَارِبِیْ وَ اَرْبَابِ وُدِّیْ، وَ خَيَّلْتُ فِیْ نَفْسِیْ اَنِّیْۤ اَنَا ذٰلِكَ الشَّخْصُ الَّذِیْ وَصَفَ ؑ حَالَهٗ.¼,,0
