ID,NAME,ICON_NAME,SORT_ORDER,PARENT_ID,NAME_1
1,Dua Directory,dua.ico,4,0,
2,Ziaraah Directory,ziarat.ico,4,0,
3,Salah Directory,namaz.ico,5,0,
4,Taqibaat e Namaz,taqibaat.ico,6,0,
5,The Fourteen Infallibles,14.png,17,0,
6,Important Dates,calendar.ico,16,0,
7,My Favorites,favorites.ico,18,0,
8,Recommend Others-Email,email.ico,11,17,
9,Recommend Others-SMS,sms.ico,12,17,
10,Ideas & Suggestions,ideas.ico,15,17,
11,About Us,about.ico,16,17,
12,Exit,exit.ico,20,0,
13,AL Quran (Surah Wise),quran.png,1,0,
14,Monthly Amaal,month.ico,7,0,
15,Share on Facebook,facebook.ico,13,17,
17,Contact,share.ico,19,0,
22,Like on Facebook,like.ico,14,17,
23,Tasbeeh Counter,counter.png,15,0,
24,Book Library,library.png,11,0,
30,Salah Timings,prayer.ico,10,0,
31,Specific Purpose Duas,specific.ico,9,0,
32,Nahjul Balagha Audio - English,nahj.ico,13,0,
33,Nahjul Balagha Audio - Urdu,nahj.ico,14,0,
34,Salah Tracker,salahtrack.png,12,0,
35,AL Quran (Juzz Wise),juzz.png,2,0,
36,Hajj & Ziaraah Guide,hajj.png,5,0,
37,Hadith Directory,hadith.png,3,0,
38,As-Sahifa Al-Sajjadiyya,sahifa.png,7,0,
