ID,PARENT_ID,LTEXT,LTRANSLATE,ORDER_BY,LTYPE
824,86,در اعمال ماههاى سال و فضیلت و اعمال نوروز و نیز اعمال ماههاى رومى (شمسى) و آن در چند فصل است:,0,1,2
825,86,فصل اوّل: در بیان فضیلت و اعمال ماه مبارک رجب,0,2,2
826,86,بدان‏که این ماه و ماه شعبان و ماه رمضان در شرافت، کامل و تمامند و روایات بسیارى در فضیلت آنها وارد شده است‏ بلکه از رسول خدا صلى الله علیه و آله روایت شده است که رجب ماه بزرگ خدا است و ماهى در احترام و فضیلت به آن نمى‏رسد و در این ماه جنگ‏ با کافران حرام است!! و رجب ماه خدا و شعبان ماه من و رمضان ماه امّت من است، کسى‏که یک روز از ماه رجب را روزه‏ بدارد، مستحقّ خشنودى بزرگ خدا مى‏شود و خشم حق از او دور مى‏گردد و درى از درهاى دوزخ به رویش بسته مى‏شود. و از حضرت موسى بن جعفر علیهما السلام روایت شده است: هرکه یک روز از ماه رجب را روزه بدارد بهشت بر او واجب مى‏شود. و نیز فرمود: رجب نام نهرى در بهشت که از شیر سپید‌تر و از عسل شیرین‏‌تر است، هرکه یک روز از رجب را روزه بدارد به یقین از آن نهر بیاشامد. و از امام صادق علیه السّلام نقل شده است که رسول خدا صلى الله علیه و آله فرمود: ماه رجب ماه استغفار امّت من است پس در این ماه بسیار طلب آمرزش کنید که خدا آمرزگار و مهربان است و رجب را «اصبّ» [یعنى فروریزنده‏‌تر] مى‏گویند، زیرا رحمت خدا در این ماه بر امّت‏ من بسیار ریخته مى‏شود، پس بسیار بگویید، استغفر الله,0,3,2
827,86,و اساله التّوبة ابن بابویه به سند معتبر از سالم روایت نموده که گفت: در اواخر ماه رجب که چند روزى از آن مانده بود به خدمت امام صادق علیه السّلام‏ رفتم. چون نظر مبارک آن حضرت بر من افتاد، فرمود: آیا در این ماه روزه گرفته‏اى؟ گفتم: نه به خدا اى پسر رسول خدا. فرمود: آنقدر ثواب از تو فوت شده که اندازه آن را جز خدا کسى نمى‏داند، به یقین این ماهى است که خدا آن را بر ماههاى دیگر فضیلت داده و احترام آن را عظیم نموده و گرامى داشتن روزه‏داران این ماه را بر خود واجب کرده!! گفتم: یابن رسول الله، اگر در باقیمانده‏ این ماه روزه بدارم آیا به بخشى از ثواب روزه‏داران آن نایل مى‏شودم؟ فرمود: اى سالم هرکه یک روز از آخر این ماه را روزه بدارد، خدا او را از سختى سکرات مرگ و از هراس پس از مرگ و از عذاب قبر ایمن مى‏کند، و هرکه دو روز آخر این ماه را روزه بدارد، به آسانى از صراط مى‏گذرد، و هرکه سه روز آخر این ماه را روزه بدارد از وحشت بزرگ روز قیامت، و از سختیها و هولهاى آن روز ایمن مى‏شود، و برات آزادى از آتش دوزخ را به او عطا مى‏کنند. در هر صورت براى روزه ماه رجب فضیلت بسیار وارد شده و در روایت آمده: اگر کسى قدرت بر روزه ماه رجب را ندارد، هر روز این تسبیحات را صد بار بخواند، تا ثواب روزه ماه رجب را دریابد:,0,4,2
828,86,سُبْحَانَ الْإِلَهِ الْجَلِیلِ سُبْحَانَ مَنْ لا یَنْبَغِی التَّسْبِیحُ اِلّا لَهُ سُبْحَانَ الْأَعَزِّ الْأَکْرَمِ سُبْحَانَ مَنْ لَبِسَ الْعِزَّ وَ هُوَ لَهُ أَهْلٌ,منزّه است خداى بزرگ، منزّه است آن‏که تسبیح جز براى او سزاوار نیست، منزّه است خداى عزیز‌تر و گرامى‏‌تر، منزّه است آن‏که جامه عزّت در پوشید که تنها او براى آن‏جامه شایسته است,5,1
829,87,و آن بر دو بخش است: بخش اوّل: اعمال مشترک آن است که به متعلق به همه ماه است و اختصاص به روز معیّنى ندارد، و آن چند عمل است: اوّل: در تمام روزهاى ماه رجب این دعا را بخواند که روایت شده: حضرت زین العابدین علیه السّلام در آغاز رجب‏ در حجر اسماعیل خواند:,0,1,2
830,87,یَا مَنْ یَمْلِکُ حَوَائِجَ السَّائِلِینَ وَ یَعْلَمُ ضَمِیرَ الصَّامِتِینَ لِکُلِّ مَسْأَلَةٍ مِنْکَ سَمْعٌ حَاضِرٌ وَ جَوَابٌ عَتِیدٌ اللهُمَّ وَ مَوَاعِیدُکَ الصَّادِقَةُ وَ أَیَادِیکَ الْفَاضِلَةُ وَ رَحْمَتُکَ الْوَاسِعَةُ فَأَسْأَلُکَ أَنْ تُصَلِّیَ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ وَ أَنْ تَقْضِیَ حَوَائِجِی لِلدُّنْیَا وَ الْآخِرَةِ إِنَّکَ عَلَى کُلِّ شَیْ‏ءٍ قَدِیرٌ,اى که مالک حاجات خواهندگانى، و از باطن لب فروبستگان خبر دارى، از سوى تو براى هر خواهشى، گوشى شنوا، و پاسخى آماده است، خدایا به حق وعده‏هاى صادقانه‏است و نعمتهاى فراوانت، رحمت گسترده‏ات، از تو مى‏خواهم که بر محمّد و خاندان محمّد درود فرستى، و حاجات دنیا و آخرتم را برآورى، چه همانا تو بر هر کارى توانایى,2,1
831,88,دوّم: این دعا را بخواند، دعایى که امام صادق علیه السّلام در هر روز ماه رجب مى‏خواندند:,0,1,2
832,88,خَابَ الْوَافِدُونَ عَلَى غَیْرِکَ وَ خَسِرَ الْمُتَعَرِّضُونَ اِلّا لَکَ وَ ضَاعَ الْمُلِمُّونَ اِلّا بِکَ وَ أَجْدَبَ الْمُنْتَجِعُونَ اِلّا مَنِ انْتَجَعَ فَضْلَکَ بَابُکَ مَفْتُوحٌ لِلرَّاغِبِینَ وَ خَیْرُکَ مَبْذُولٌ لِلطَّالِبِینَ وَ فَضْلُکَ مُبَاحٌ لِلسَّائِلِینَ وَ نَیْلُکَ مُتَاحٌ لِلْآمِلِینَ وَ رِزْقُکَ مَبْسُوطٌ لِمَنْ عَصَاکَ وَ حِلْمُکَ مُعْتَرِضٌ لِمَنْ نَاوَاکَ عَادَتُکَ الْإِحْسَانُ إِلَى الْمُسِیئِینَ وَ سَبِیلُکَ الْإِبْقَاءُ عَلَى الْمُعْتَدِینَ اللهُمَّ فَاهْدِنِی هُدَى الْمُهْتَدِینَ وَ ارْزُقْنِی اجْتِهَادَ الْمُجْتَهِدِینَ وَ لا تَجْعَلْنِی مِنَ الْغَافِلِینَ الْمُبْعَدِینَ وَ اغْفِرْ لِی یَوْمَ الدِّینِ.,آنان‏که بر غیر تو بار یافتند ناامید گشتند، و آنان‏که به کارى جز تو پرداختند زیانکار شدند، و آنان‏که به درگاه غیر تو وارد شدند به تباهى رسیدند، و سودجویان دچار قحطى شدند، مگر آنان‏که از فضل تو سود جستند، در رحمتت به روى مشتاقان باز است، خیرت به خواهندگان‏ عطا شده، احسانت براى نیازمندان گوارا است، و عطایت براى آرزومندان آماده است و روزى‏است حتى براى روگردانان از فرمانت گسترده است، و بردبارى‏است کسانى را که به دشمنى‏ات برخاسته‏اند نیز شامل است، شیوه‏ات به بدرکاران احسان، و روشت زندگى‏ بخشیدن به متجاوزان است، خدایا مرا به راه ره‏یافتگان بدار، و تلاش تلاش‏گران را روزى‏ام فرما، و مرا از بى‏خبران دورشده قرار مده، و روز جزا آمرزشت را نصیبم کن,2,1
833,88,سوّم: شیخ در کتاب «مصباح» از معلّى بن خنیس از امام صادق علیه السّلام روایت کرده: در ماه رجب این دعا را بخوان:,0,3,2
834,88,اللهُمَّ إِنِّی أَسْأَلُکَ صَبْرَ الشَّاکِرِینَ لَکَ وَ عَمَلَ الْخَائِفِینَ مِنْکَ وَ یَقِینَ الْعَابِدِینَ لَکَ اللهُمَّ أَنْتَ الْعَلِیُّ الْعَظِیمُ وَ أَنَا عَبْدُکَ الْبَائِسُ الْفَقِیرُ أَنْتَ الْغَنِیُّ الْحَمِیدُ وَ أَنَا الْعَبْدُ الذَّلِیلُ اللهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِهِ وَ امْنُنْ بِغِنَاکَ عَلَى فَقْرِی وَ بِحِلْمِکَ عَلَى جَهْلِی وَ بِقُوَّتِکَ عَلَى ضَعْفِی یَا قَوِیُّ یَا عَزِیزُ اللهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِهِ الْأَوْصِیَاءِ الْمَرْضِیِّینَ وَ اکْفِنِی مَا أَهَمَّنِی مِنْ أَمْرِ الدُّنْیَا وَ الْآخِرَةِ یَا أَرْحَمَ الرَّاحِمِینَ.,خدایا شکیبایى شاکرانت، و کردار ترسیدگانت، و باور عبادت‏کنندگانت را از تو مى‏خواهم، خدایا تو بر‌تر و بزرگى، و من بنده بینوا و تهیدستم، تو بى‏نیاز و ستوده‏اى، و من بنده‏ خوارم، خدایا بر محمّد و خاندانش درود فرست، و عطاى این خواسته‏ها را بر من منت بگذار به توانگرى‏ات بر تهیدستى‏ام، و به بردبارى‏ات بر نادانى‏ام، به توانت بر ناتوانى‏ام اى عزیز، خدایا بر محمّد و خاندانش آن‏جانشیان پسندیده درود فرست، و مرا از کارهاى دنیا و آخرت نسبت به چیزى‏که بى‏تابم کرده کفایت کن اى مهربان‏‌ترین مهربانان,4,1
835,88,مؤلف گوید: سیّد ابن طاووس هم این دعا را در کتاب «اقبال» نقل کرده، و از نقل او پیداست که این دعا از جامع‏‌ترین دعاهاست، و در تمام اوقات مى‏توان آن را خواند. چهارم: شیخ طوسى فرموده: در هر روز ماه رجب مستحب است این دعا را بخوانند:,0,5,2
