ID,PARENT_ID,LTEXT,LTRANSLATE,ORDER_BY,LTYPE
824,86,اس باب میں سال کے مہینوں کے اعمال نوروز کی فضیلت اور اس کے اعمال اور رومی مہینوں کے اعمال مذکور ہیں اور اس میں کئی فصلیں ہیں۔,0,1,2
825,86,پہلی فصل ---------------------------- ماہ رجب کی فضیلت اور اس کے اعمال,0,2,2
826,86,"واضح رہے کہ ماہ رجب، شعبان اور رمضان بڑی عظمت اور فضیلت کے حامل ہیں اور بہت سی روایات میں ان کی فضیلت بیان ہوئی ہے۔ جیساکہ حضرت محمد (ص)  کا ارشاد پاک ہے کہ ماہ رجب خداکے نزدیک بہت زیادہ بزرگی کا حامل ہے۔ کوئی بھی مہینہ حرمت و فضیلت میں اس کا ہم پلہ نہیں اور اس مہینے میںکافروں سے جنگ و جدال کرنا حرام ہے۔آگاہ رہو رجب خدا کا مہینہ ہے شعبان میرا مہینہ ہے اور رمضان میری امت کا مہینہ ہے۔ رجب میںایک روزہ رکھنے والے کو خدا کی عظیم خوشنودی حاصل ہوتی ہے‘ غضب الہی اس سے دور ہوجاتا ہے‘ اور جہنم کے دروازوں میں سے ایک دروازہ اس پر بند ہوجاتا ہے۔ امام موسٰی کاظم (ع) فرماتے ہیں کہ ماہ رجب میں ایک روزہ رکھنے سے جہنم کی آگ ایک سال کی مسافت تک دور ہوجاتی ہے اورجو شخص اس ماہ میں تین دن کے روزے رکھے تو اس کے لیے جنت واجب ہوجاتی ہے۔ نیز حضرت فرماتے ہیں کہ رجب بہشت میںایک نہر ہے جس کا پانی دودھ سے زیادہ سفید اور شہد سے زیادہ شیریں ہے اور جو شخص اس ماہ میں ایک دن کا روزہ رکھے تو وہ اس نہر سے سیراب ہوگا۔
امام جعفر صادق (ع) سے مروی ہے کہ حضرت رسول اکرم نے فرمایا: کہ رجب میری امت کے لیے استغفار کامہینہ ہے۔ پس اس مہینے میں زیادہ سے زیادہ طلب مغفرت کرو کہ خدا بہت بخشنے والا اور مہربان ہے۔ رجب کو اصبّ بھی کہاجاتا ہے کیونکہ اس ماہ میںمیری امت پر خدا کی رحمت بہت زیادہ برستی ہے۔ پس اس ماہ میںبہ کثرت کہا کرو:’’ میں خدا سے بخشش چاہتا ہوں",0,3,2
827,86," اور توبہ کی توفیق مانگتا ہوں‘‘
ابن بابویہ نے معتبر سند کے ساتھ سالم سے روایت کی ہے کہ انہوں نے کہا: میں اوخر رجب میں امام جعفر صادق (ع) کی خدمت میں حاضر ہوا تو حضرت نے میری طرف دیکھتے ہوئے فرمایا کہ اس مہینے میں روزہ رکھا ہے؟ میں نے عرض کیا فرزند رسول (ص) ! وﷲ نہیں! تب فرمایا کہ تم اس قدر ثواب سے محروم رہے ہوکہ جسکی مقدارسوائے خدا کے کوئی نہیں جانتا کیونکہ یہ مہینہ ہے جسکی فضیلت تمام مہینوں سے زیادہ اور حرمت عظیم ہے اور خدا نے اس میں روزہ رکھنے والے کا احترام اپنے اوپرلازم کیا ہے۔ میںنے عرض کیا اے فرزند رسول (ص)! اگرمیں اسکے باقی ماندہ دنوں میں روزہ رکھوں توکیا مجھے وہ ثواب مل جائیگا؟
آپ (ص)نے فرمایا: اے سالم! جو شخص آخر رجب میں ایک روزہ رکھے تو خدا اسکو موت کی سختیوں اور اس کے بعدکی ہولناکی اورعذاب قبر سے محفوظ رکھے گا۔جوشخص آخر ماہ میں دوروزے رکھے وہ پل صراط سے آسانی کے ساتھ گزرجائے گا اور جو آخررجب میں تین روزے رکھے اسے قیامت میں سخت ترین خوف‘تنگی اورہولناکی سے محفوظ رکھا جائے گا اور اس کوجہنم کی آگ سے آزادی کاپروانہ عطا ہوگا۔
واضح ہوکہ ماہ رجب میں روزہ رکھنے کی فضیلت بہت زیادہ ہے جیساکہ روایت ہوئی ہے اگر کوئی شخص روزہ نہ رکھ سکتاہو وہ ہرروز سو مرتبہ یہ تسبیحات پڑھے تو اس کو روزہ رکھنے کاثواب حاصل ہوجائے گا۔
",0,4,2
828,86,سُبْحَانَ الْإِلَهِ الْجَلِیلِ سُبْحَانَ مَنْ لا یَنْبَغِی التَّسْبِیحُ اِلّا لَهُ سُبْحَانَ الْأَعَزِّ الْأَکْرَمِ سُبْحَانَ مَنْ لَبِسَ الْعِزَّ وَ هُوَ لَهُ أَهْلٌ,پاک ہے جو معبود بڑی شان والا ہے پاک ہے وہ کہ جس کے سوا کوئی لائق تسبیح نہیں پاک ہے وہ جو بڑا عزت والا اور بزرگی والا ہے پاک ہے وہ جولباس عزت میں ملبوس ہے اور وہی اس کا اہل ہے۔,5,1
829,87,"یہ ماہ رجب کے اعمال میں پہلی قسم ہے یہ وہ اعمال ہیں جومشترکہ ہیں اورکسی خاص دن کے ساتھ مخصوص نہیں ہیں اور یہ چند اعمال ہیں۔
﴿۱﴾رجب کے پورے مہینے میں یہ دعا پڑھتا رہے اور روایت ہے کہ یہ دعا امام زین العابدین (ع) نے ماہ رجب میں حجر کے مقام پر پڑھی:
",0,1,2
830,87,یَا مَنْ یَمْلِکُ حَوَائِجَ السَّائِلِینَ وَ یَعْلَمُ ضَمِیرَ الصَّامِتِینَ لِکُلِّ مَسْأَلَةٍ مِنْکَ سَمْعٌ حَاضِرٌ وَ جَوَابٌ عَتِیدٌ اللهُمَّ وَ مَوَاعِیدُکَ الصَّادِقَةُ وَ أَیَادِیکَ الْفَاضِلَةُ وَ رَحْمَتُکَ الْوَاسِعَةُ فَأَسْأَلُکَ أَنْ تُصَلِّیَ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ وَ أَنْ تَقْضِیَ حَوَائِجِی لِلدُّنْیَا وَ الْآخِرَةِ إِنَّکَ عَلَى کُلِّ شَیْ‏ءٍ قَدِیرٌ,"اے وہ جوسائلین کی حاجتوں کامالک ہے اور خاموش لوگوں کے دلوں کی باتیں جانتا ہے ہر وہ سوال جو تجھ سے کیا جائے تیرا  کان اسے سنتا ہے اور اس کا جواب تیار ہے اے معبود تیرے سب وعدے یقینا سچے ہیں تیری نعمتیں بہت عمدہ ہیں اور تیری رحمت بڑی وسیع ہے پس میں تجھ سے سوال کرتا ہوں کہ محمد(ص) وآل(ع) محمد(ص) پر رحمت نازل فرما اور یہ کہ میری دنیا اور اور آخرت کی حاجتیں پوری فرما بے شک تو ہر چیز پر قدرت رکھتا ہے۔
",2,1
831,88,"﴿۲﴾ یہ دعا پڑھے کہ جسے امام جعفر صادق (ع) رجب میں ہر روز پڑھا کرتے تھے۔
",0,1,2
832,88,خَابَ الْوَافِدُونَ عَلَى غَیْرِکَ وَ خَسِرَ الْمُتَعَرِّضُونَ اِلّا لَکَ وَ ضَاعَ الْمُلِمُّونَ اِلّا بِکَ وَ أَجْدَبَ الْمُنْتَجِعُونَ اِلّا مَنِ انْتَجَعَ فَضْلَکَ بَابُکَ مَفْتُوحٌ لِلرَّاغِبِینَ وَ خَیْرُکَ مَبْذُولٌ لِلطَّالِبِینَ وَ فَضْلُکَ مُبَاحٌ لِلسَّائِلِینَ وَ نَیْلُکَ مُتَاحٌ لِلْآمِلِینَ وَ رِزْقُکَ مَبْسُوطٌ لِمَنْ عَصَاکَ وَ حِلْمُکَ مُعْتَرِضٌ لِمَنْ نَاوَاکَ عَادَتُکَ الْإِحْسَانُ إِلَى الْمُسِیئِینَ وَ سَبِیلُکَ الْإِبْقَاءُ عَلَى الْمُعْتَدِینَ اللهُمَّ فَاهْدِنِی هُدَى الْمُهْتَدِینَ وَ ارْزُقْنِی اجْتِهَادَ الْمُجْتَهِدِینَ وَ لا تَجْعَلْنِی مِنَ الْغَافِلِینَ الْمُبْعَدِینَ وَ اغْفِرْ لِی یَوْمَ الدِّینِ.,"نا امید ہوئے تیرے غیرکی طرف جانے والے گھاٹے میں رہے تیرے غیر سے سوال کرنے والے تباہ ہوئے تیرے غیر کے ہاں جانے والے، قحط کاشکار ہوئے تیرے فضل کے غیر سے روزی طلب کرنے والے تیرا در اہل رغبت کیلئے کھلا ہے تیری بھلائی طلب  گاروں کو بہت ملتی ہے تیرا فضل سائلوں کیلئے عام ہے اور تیری عطا امید واروں کیلئے آمادہ ہے تیرا رزق نافرمانوں کیلئے بھی فراواں ہے تیری بردباری دشمن کے لیے ظاہر و عیاں ہے گناہگاروں پر احسان کرنا تیری عادت ہے اور ظالموں کو باقی رہنے دینا 
تیرا شیوہ ہے اے معبود مجھے ہدایت یافتہ لوگوں کی راہ پر لگا اور مجھے کوشش کرنے والوں کی سی کوشش نصیب فرما  مجھے غافل اور دورکیے ہوئے لوگوں میں سے قرار نہ دے اور یوم جزا میں مجھے بخش دے۔
",2,1
833,88,﴿۳﴾ شیخ نے مصباح میں فرمایا ہے کہ معلٰی بن خنیس نے امام جعفرصادق (ع) سے روایت کی ہے۔ آپ(ع) نے فرمایا کہ ماہ رجب میں یہ دعا پڑھا کرو:,0,3,2
