id,topic_id,sort,is_subject,content_ar,content_fa
251,87,0,2,و من خطبة له (علیه السلام) یذکر فیها ابتداء خلق السماء و الأرض و خلق آدم و فیها ذکر الحج و تحتوی على حمد الله و خلق العالم و خلق الملائکة و اختیار الأنبیاء و مبعث النبی و القرآن و الأحکام الشرعیة,ستایش و تعظیم خداوندی، آفرینش جهان، فرشتگان، توصیفی از خلقت آدم، برگزیده شدن پیامبران، بعثت خاتم الانبیاء، قرآن، انواع تکلیف، حج بیت الله الحرام. 
252,87,0,1,الْحَمْدُ لِلَّهِ الَّذِی لَا یَبْلُغُ مِدْحَتَهُ الْقَائِلُونَ وَ لَا یُحْصِی نَعْمَاءَهُ الْعَادُّونَ وَ لَا یُؤَدِّی حَقَّهُ الْمُجْتَهِدُونَ الَّذِی لَا یُدْرِکهُ بُعْدُ الْهِمَمِ وَ لَا یَنَالُهُ غَوْصُ الْفِطَنِ .,ستایش و تعظیم خداوندی سپاس خدای را که حق ستایشش بالاتر از حد ستایشگران است و نعمتهایش فوق اندیشه شمارشگران حق جویان کوشا از ادای حقش ناتوانند، و همتهای دور پرواز آدمیان از درک و احاطه به مقام شامخش نارسا، و حوزه اعلای ربوبی اش از نفوذ هشیاری هشیاران به دوراست.
253,87,0,1,الَّذِی لَیْسَ لِصِفَتِهِ حَدٌّ مَحْدُودٌ وَ لَا نَعْتٌ مَوْجُودٌ وَ لَا وَقْتٌ مَعْدُودٌ وَ لَا أَجَلٌ مَمْدُودٌ فَطَرَ الْخَلَائِقَ بِقُدْرَتِهِ وَ نَشَرَ الرِّیَاحَ بِرَحْمَتِهِ وَ وَتَّدَ بِالصُّخُورِ مَیَدَانَ أَرْضِهِ .,صفات ذات پاکش به مقیاسات و حدود برنیاید و هیچ ترسیم و تصویری مشخص نسازد. \nاوصاف جلال و جمالش فراسوی زمان است و ماورای برهه های معدود و مدتهای محدود. \nبا قدرت متعالی اش هستی به مخلوقات بخشید. \nو بادهای جانفزا برحمتش وزیدن گرفت و حرکات مضطرب زمین را با نصب کوه های سر برافراشته تعدیل فرمود.
254,87,0,1,أَوَّلُ الدِّینِ مَعْرِفَتُهُ وَ کمَالُ مَعْرِفَتِهِ التَّصْدِیقُ بِهِ وَ کمَالُ التَّصْدِیقِ بِهِ تَوْحِیدُهُ وَ کمَالُ تَوْحِیدِهِ الْإِخْلَاصُ لَهُ وَ کمَالُ الْإِخْلَاصِ لَهُ نَفْیُ الصِّفَاتِ عَنْهُ.,آغاز و اساس دین معرفت خدا است و کمال معرفت او تصدیقش، و غایت تصدیق او توحیدش، و حد اعلای توحید او اخلاص به مقام کبریایی اش و نهایت اخلاص به او نفی صفات از ذات اقدسش می باشد.
255,87,0,1,لِشَهَادَةِ کلِّ صِفَةٍ أَنَّهَا غَیْرُ الْمَوْصُوفِ وَ شَهَادَةِ کلِّ مَوْصُوفٍ أَنَّهُ غَیْرُ الصِّفَةِ .,چون هر صفتی به دوگانگی با موصوفش گواه است و هر موصوفی به مغایرت با صفتش شاهد گویا. 
256,87,0,1,فَمَنْ وَصَفَ اللَّهَ سُبْحَانَهُ فَقَدْ قَرَنَهُ وَ مَنْ قَرَنَهُ فَقَدْ ثَنَّاهُ وَ مَنْ ثَنَّاهُ فَقَدْ جَزَّأَهُ وَ مَنْ جَزَّأَهُ فَقَدْ جَهِلَهُ وَ مَنْ جَهِلَهُ فَقَدْ أَشَارَ إِلَیْهِ وَ مَنْ أَشَارَ إِلَیْهِ فَقَدْ حَدَّهُ وَ مَنْ حَدَّهُ فَقَدْ عَدَّهُ .,آن کس که خداوند سبحان را توصیف کند، همسان برای ذات بی همتایش سازد، و دوئی در یگانگی اش درآورد و مقام والای احدیت را تجزیه نماید. پندار تجزیه در وحدت ذاتش نشان نادانی است که خدا را قابل اشاره انگارد و با آن اشاره محدودش سازد و چون معدودها بشمارشش درآورد. 
257,87,0,1,وَ مَنْ قَالَ فِیمَ فَقَدْ ضَمَّنَهُ وَ مَنْ قَالَ عَلَامَ فَقَدْ أَخْلَى مِنْهُ کائِنٌ لَا عَنْ حَدَثٍ مَوْجُودٌ لَا عَنْ عَدَمٍ .,کسی که بپرسید: خدا در چیست؟ خدا را در آن گنجانیده. و اگر خدای را روی چیزی توهم کند، آن را خالی پنداشته است.بر هستی او هیچ رویدادی سبقت نگرفته و نیستی بر هستی اش تقدم نداشته است. 
258,87,0,1,مَعَ کلِّ شَیْ‏ءٍ لَا بِمُقَارَنَةٍ وَ غَیْرُ کلِّ شَیْ‏ءٍ لَا بِمُزَایَلَةٍ فَاعِلٌ لَا بِمَعْنَى الْحَرَکاتِ وَ الْآلَةِ بَصِیرٌ إِذْ لَا مَنْظُورَ إِلَیْهِ مِنْ خَلْقِهِ مُتَوَحِّدٌ إِذْ لَا سَکنَ یَسْتَأْنِسُ بِهِ وَ لَا یَسْتَوْحِشُ لِفَقْدِهِ.,او با همه موجودات است، بدون پیوستگی و غیراز همه موجودات است، بدون دوری و گسیختگی اوست سازنده همه کاینات بی نیاز از آن که خود حرکتی کند و ابزاری را وسیله کار خود نماید. \nاوست بینای مطلق بی احتیاج به دیدگاهی از مخلوقاتش یگانه خداوندی که نیازی بدمساز ندارد، تا از جدایی اش وحشتی بر او عارض گردد.
259,87,0,2,خلق العالم,آفرینش جهان 
260,87,0,1,أَنْشَأَ الْخَلْقَ إِنْشَاءً وَ ابْتَدَأَهُ ابْتِدَاءً بِلَا رَوِیَّةٍ أَجَالَهَا وَ لَا تَجْرِبَةٍ اسْتَفَادَهَا وَ لَا حَرَکةٍ أَحْدَثَهَا وَ لَا هَمَامَةِ نَفْسٍ اضْطَرَبَ فِیهَا .,بساط هستی را بی ماده پیشین بگسترانید و نخستین بنیاد خلقت را بی سابقه هستی بنا نهاد. \nدر امر آفرینش، نه اندیشه و تدبیری به جولان آورد و نه تجربه و آزمایشی او را درخور بود. \nکاخ مجلل هستی را بدون حرکت و تحولی در ذات پاکش برافراشت و بی نیاز از آنکه قوای مضطربی در درونش متمرکز شود، چراغ هستی را را برافروخت. 
261,87,0,1,أَحَالَ الْأَشْیَاءَ لِأَوْقَاتِهَا وَ لَأَمَ بَیْنَ مُخْتَلِفَاتِهَا وَ غَرَّزَ غَرَائِزَهَا وَ أَلْزَمَهَا أَشْبَاحَهَا عَالِماً بِهَا قَبْلَ ابْتِدَائِهَا مُحِیطاً بِحُدُودِهَا وَ انْتِهَائِهَا عَارِفاً بِقَرَائِنِهَا وَ أَحْنَائِهَا .,موجودات را در مجرای قانونی اوقات خود به جریان انداخت و حقایق گونه گون را در عالی ترین نظمی هماهنگ ساخت هر یک از آن حقایق را طبیعتی معین اختصاص داد و ملتزم به تعیین خود فرمود. \nاو به همه مخلوقاتش پیش از آغاز وجودشان دانا، و به همه حدود و پایان جریان آنها محیط، و به هویت و جوانب کل کاینات عالم و داناست.
262,87,0,1,ثُمَّ أَنْشَأَ سُبْحَانَهُ فَتْقَ الْأَجْوَاءِ وَ شَقَّ الْأَرْجَاءِ وَ سَکائِک الْهَوَاءِ فَأَجْرَى فِیهَا مَاءً مُتَلَاطِماً تَیَّارُهُ مُتَرَاکماً زَخَّارُهُ حَمَلَهُ عَلَى مَتْنِ الرِّیحِ الْعَاصِفَةِ وَ الزَّعْزَعِ الْقَاصِفَةِ فَأَمَرَهَا بِرَدِّهِ وَ سَلَّطَهَا عَلَى شَدِّهِ وَ قَرَنَهَا إِلَى حَدِّهِ الْهَوَاءُ مِنْ تَحْتِهَا فَتِیقٌ وَ الْمَاءُ مِنْ فَوْقِهَا دَفِیقٌ .,سپس خداوند سبحان جوها را از هم شکافت و جوانب و ارتفاعات فضا را باز نمود. \nآب انبوه و پر موج و خروشان را که بر پشت باد تندوز و پر قدرتی قرار داده بود، در لابلای فضاهای بازشده به جریان انداخت با این باد تندوز آب را از جریان طبیعی بازداشت و آنگاه باد نیرومند را بر آب مسلط کرد و آب را در بر آن قرار داد فضا در زیر باد پرقدرت باز و آب در روی باد، جهنده و جنبان گردید. 
263,87,0,1,ثُمَّ أَنْشَأَ سُبْحَانَهُ رِیحاً اعْتَقَمَ مَهَبَّهَا وَ أَدَامَ مُرَبَّهَا وَ أَعْصَفَ مَجْرَاهَا وَ أَبْعَدَ مَنْشَأَهَا .,سپس خداوند سبحان باد دیگری بیافرید که فرمانی جز به حرکت درآوردن آب نداشت. این باد دست به کار زد و تحریک آب را ادامه داد. جریان این باد را تند و منبعش را دور از مجرای طبیعی قرار داد. 
