ID,NAME,DESCRIPTION,TRANSLATION,NAME_1,AUDIO_PATH,MASTER_ID,SORT_ORDER,URDU_TITLE,PERSIAN_TITLE,ARABIC_TITLE,HINDI_TITLE,FRENCH_TITLE,TYPE,FILE_NAME,REF_CAT_ID,REF_TRANS_ID,URDU_NAME,URDU_COUNT
1,In Praise of God ,"When he (upon him be peace) began to supplicate, he would begin with praise and laudation of God (Mighty and Majestic is He). He would say:","1- Praise belongs to God,
the First, without a first before Him,
the Last, without a last behind Him.

2- Beholders' eyes fall short of seeing Him,
describers' imaginations are not able to depict Him.

3- He originated the creatures through His power with an origination,
He devised them in accordance with His will with a devising.

4- Then He made them walk on the path of His desire, He sent them out on the way of His love.
They cannot keep back
from that to which He has sent them forward,
nor can they go forward
to that from which He has kept them back.

5- He assigned from His provision to each of their spirits a nourishment known and apportioned.
No decreaser decreases those whom He increases, no increaser increases those of them whom He decreases.

6- Then for each spirit He strikes a fixed term in life, for each He sets up a determined end;
he walks toward it through the days of his span,
he overtakes it through the years of his time.
Then, when he takes his final step
and embraces the reckoning of his span,
God seizes him to the abundant reward or the feared punishment to which He has called him,
That He may repay those who do evil for what they have done
and repay those who do good with goodness,1

7- as justice from Him (holy are His names,
and manifest His boons).
He shall not be questioned as to what He does,
but they shall be questioned.2

8- Praise belongs to God, for,
had He withheld from His servants the knowledge to praise Him for the uninterrupted kindnesses with which He has tried them3
and the manifest favours
which He has lavished upon them,
they would have moved about in His kindnesses
without praising Him,
and spread themselves out in His provision
without thanking Him.

9- Had such been the case,
they would have left the bounds of humanity
for that of beastliness
and become as He has described in the firm text of His Book:
They are but as the cattle—nay, but they are further astray from the way!4

10- Praise belongs to God, for the true knowledge of Himself He has given to us,
the thanksgiving He has inspired us to offer Him,
the doors to knowing His Lordship He has opened for us,
the sincerity towards Him in professing His Unity to which He has led us,
and the deviation and doubt in His Command
from which He has turned us aside;

11- a praise through
which we may be given long life
among those of His creatures who praise Him,
and overtake those who have gone ahead
toward His good pleasure and pardon;

12- a praise through which
He will illuminate for us the shadows of the interworld,5
ease for us the path of the Resurrection,
and raise up our stations
at the standing places of the Witnesses6
on the day when every soul will be repaid
for what it has earned -
they shall not be wronged;7
the day a master shall avail nothing a client,
and they shall not be helped;8

13- a praise which will rise up from us to the highest of the 'Illiyun9
in a book inscribed,
witnessed by those brought nigh,10

14- a praise whereby
our eyes may be at rest when sight is dazzled,11
our faces whitened when skins are blackened,12

15- a praise through which
we may be released from God's painful Fire
and enter God's generous neighbourhood,

16- a praise by which
we may jostle the angels brought nigh
and join the prophets, the envoys,
in a House of Permanence that does not remove,
the Place of His Generosity that does not change.

17- Praise belongs to God,
who chose for us the good qualities of creation,
granted us the agreeable things of provision,

18- and appointed for us excellence
through domination over all creation;
every one of His creatures submits to us
through His power
and comes to obey us
through His might.13

19- Praise belongs to God,
who locked for us the gate of need
except toward Him.
So how can we praise Him? When can we thank Him? Indeed, when?

20- Praise belongs to God,
who placed within us the organs of expansion,
assigned for us the agents of contraction, gave us to enjoy the spirits of life,
fixed within us the limbs of works,
nourished us with the agreeable things of provision,
freed us from need through His bounty,
and gave us possessions through His kindness.

21- Then He commanded us that He might test our obedience
and prohibited us that He might try our thanksgiving.
So we turned against the path of His commandments and mounted the backs of His warnings.
Yet He hurried us not to His punishment,
nor hastened us on to His vengeance.
No, He went slowly with us through His mercy,
in generosity, and awaited our return through His clemency, in mildness.

22- Praise belongs to God,
who showed us the way to repentance,
which we would not have won save through His bounty.
Had we nothing to count as His bounty but this,
His trial of us would have been good, His beneficence toward us great,
His bounty upon us immense.

23- For such was not His wont in repentance
with those who went before us.14
He has lifted up from us
what we have not the strength to bear,15
charged us only to our capacity,16
imposed upon us nothing but ease,
and left none of us with an argument or excuse.

24- So the perisher among us is he who perishes in spite of Him
and the felicitous among us he who beseeches Him.

25- And praise belongs to God
with all the praises of
His angels closest to Him,
His creatures most noble in His eyes,
and His praisers most pleasing to Him;

26- a praise that may surpass other praises
as our Lord surpasses all His creatures.

27- Then to Him belongs praise,
in place of His every favour upon us
and upon all His servants, past and still remaining,
to the number of all things His knowledge encompasses,
and in place of each of His favours,
their number doubling and redoubling always and forever, to the Day of Resurrection;

28- a praise whose bound has no utmost end,
whose number has no reckoning,
whose limit cannot be reached,
whose period cannot be cut off;

29- a praise which will become
a link to His obedience and pardon,
a tie to His good pleasure,
a means to His forgiveness,
a path to His Garden,
a protector against His vengeance,
a security against His wrath,
an aid to obeying Him,
a barrier against disobeying Him,
a help in fulfilling His right and His duties;

30- a praise that will make us felicitous
among His felicitous friends,
and bring us into the ranks
of those martyred by the swords of His enemies.
He is a Friend, Praiseworthy!",(Supplication - 1),sajjadiyya_01.mp3,1,1,خداوند عالم کی حمد و ستائش,دعا در توحید و ستایش خداوند,1-  التَّحْمِيدُ لِلَّهِ عَزَّ وجَلَّ.,जब आप दुआ मांगते तो उसकी इब्तिदा ख़ुदाए बुज़ुर्ग व बरतर की हम्द व सताइश से फ़रमाते,Louange à Allah,D,,,,,
2,Blessing upon Muhammad and his Household,"After this praise of God he (upon him be peace) would supplicate by calling down blessings upon
God's Messenger (God bless him and his Household)","After this praise of God he (upon him be peace) would supplicate by calling down blessings upon God's Messenger (God bless him and his Household)

1- Praise belongs to God
who was kind to us through Muhammad
(God bless him and his Household)
to the exclusion of past communities and bygone generations,
displaying thereby His power,
which nothing can render incapable,
though it be great,
and nothing can escape,
though it be subtle.

2- He sealed through us all He created,
appointed us witnesses over those who deny,
and increased us by His kindness over those who are few.

3- O God, bless Muhammad,
entrusted by Thee with Thy revelation,
distinguished by Thee among Thy creatures,
devoted to Thee among Thy servants,
the imam of mercy,
the leader of good,
the key to blessing,

4- who wearied his soul
for Thy affairs,

5- exposed his body to detested things
for Thy sake,

6- showed open enmity toward his next of kin
by summoning to Thee,

7- fought against his family
for Thy good pleasure,

8- cut the ties of the womb
in giving life to Thy religion,

9- sent far those close
because of their denial,

10- brought near those far
because of their response to Thee,

11- showed friendship to the most distant
for Thy sake,

12- displayed enmity toward the nearest
for Thy sake,

13- made his soul persevere
in delivering Thy message,

14- tired it in summoning
to Thy creed,

15- busied it in counselling
those worthy of Thy summons,

16- migrated to the land of exile and the place of remoteness from the home of his saddlebags,
the walkway of his feet,
the ground of his birth,
and the intimate abode of his soul,
desiring to exalt Thy religion
and seeking help
against those who disbelieved in Thee,

17- until what he attempted against Thy enemies
went well with him

18- and what he arranged for Thy friends
was accomplished.

19- He rose up against them seeking victory
through Thine aid, becoming strong in spite of his weakness with Thy help.

20- He fought against them
in the centre of their cities

21- and attacked them
in the midst of their dwellings,

22- until Thy command prevailed,
and Thy word rose up,
though the idolaters were averse.1

23- O God, so raise him, because of his labours for Thy sake, to the highest degree of Thy Garden,2

24- that none may equal him in station,
none may match him in level,
and no angel brought nigh or prophet sent out
may parallel him in Thy sight.

25- And inform him concerning his Household the pure and his community the faithful
of an excellent intercession,
greater than what Thou hast promised him!3

26- O Keeper of promises!
O Faithful to Thy word!
O He who changes evil deeds into manifold good deeds!4
Thou art of bounty abounding!",(Supplication - 2),sajjadiyya_02.mp3,1,2,رسول اکرم (ص) پر درود و سلام,دعا در صلوات و درود بر رسول خدا و بیان اوصاف آن حضرت,2-  الصَّلَاةُ عَلَى مُحَمَّدٍ وآلِهِ.,रसूल अकरम (स:अ:व:व) पर दरूद व सलाम,Prière sur le Prophète (s),D,,,,,
3,Blessing upon the Bearers of the Throne,A Supplication in Calling down Blessings upon the Bearers of the Throne and Every Angel Brought Night,"A Supplication in Calling down Blessings upon the Bearers of the Throne and Every Angel Brought Nigh
1- O God, as for the Bearers of Thy Throne,1 who never flag in glorifying Thee,
never become weary of calling Thee holy,
never tire of worshipping Thee,
never prefer curtailment over diligence in Thy command,
and are never heedless of passionate love for Thee;

2- Seraphiel, the Owner of the Trumpet,
fixed in his gaze, awaiting Thy permission
and the descent of the Command,
that he may arouse through the Blast
the hostages thrown down in the graves;

3- Michael, possessor of standing with Thee
and a raised up place in Thy obedience;

4- Gabriel, entrusted with Thy revelation,
obeyed by the inhabitants of Thy heavens,
distinguished in Thy Presence,2
brought nigh to Thee;

5- the spirit who is over the angels of the veils;3

6- and the spirit
who is of Thy command4 -
bless them and the angels below them: the residents in Thy heavens,
those entrusted with Thy messages,

7- those who become not wearied by perseverance,
or exhausted and flagged by toil,
whom passions distract not from glorifying Thee,
and whose magnification of Thee is never cut off by the inattention of heedless moments;

8- their eyes lowered,
they do not attempt to look at Thee;
their chins bowed,
they have long desired what is with Thee;
unrestrained in mentioning Thy boons,
they remain humble before Thy mightiness
and the majesty of Thy magnificence;

9- those who say when they look upon Gehenna
roaring over the people who disobeyed Thee:
'Glory be to Thee,
we have not worshipped Thee
with the worship Thou deservest!'

10- Bless them,
and Thy angels who are the Reposeful,
those of proximity to Thee,
those who carry the unseen to Thy messengers,
those entrusted with Thy revelation,

11- the tribes of angels
whom Thou hast singled out for Thyself,
freed from need for food and drink by their calling Thee holy,
and made to dwell inside Thy heavens' layers,

12- those who will stand upon the heavens' borders5
when the Command descends to complete Thy promise,

13- the keepers of the rain, the drivers of the clouds,

14- him at whose driving's sound is heard the rolling of thunder,
and when the reverberating clouds swim before his driving, bolts of lightning flash;

15- the escorts of snow and hail,
the descenders with the drops of rain when they fall,
the watchers over the treasuries of the winds,
those charged with the mountains lest they disappear,

16- those whom Thou hast taught the weights of the waters
and the measures contained by torrents and masses of rain;

17- the angels who are Thy messengers to the people of the earth
with the disliked affliction that comes down
and the beloved ease;

18- the devoted, noble scribes,6
the watchers, noble writers,7
the angel of death and his helpers,
Munkar and Nakir,8
Rumaan, the tester in the graves,9
the circlers of the Inhabited House,10
Malik11 and the guardians,
Ridwan12 and the gatekeepers of the gardens,

19- those who disobey not God in What He commands them
and do What they are commanded;13

20- those who say, Peace be upon you, for that you were patient
- and fair is the Ultimate Abode;14

21- the Zabaniya, who, when it is said to them,
take him, and fetter him, then roast him in hell,15
hasten to accomplish it, nor do they give him any respite;16

22- him whom we have failed to mention,
not knowing his place with Thee,
nor with which command Thou hast charged him;

23- and the residents in the air, the earth, and the water,
and those of them charged over the creatures;

24- bless them on the day when every soul will come, with it a driver and a witness,17

25- and bless them with a blessing that will add
honour to their honour
and purity to their purity.

26- O God, and when Thou blessest Thy angels and Thy messengers
and Thou extendest our blessings to them,
bless us through the good words about them
which Thou hast opened up for us!
Thou art Munificent, Generous.",(Supplication - 3),sajjadiyya_03.mp3,1,3, حاملان عرش اور دوسرے مقرب فرشتوں پر درود و صلوۃ,دعا برای فرشتگان و حاملان عرش,3-  الصَّلَاةُ عَلَى حَمَلَةِ الْعَرْشِ.,हामिलाने अर्श व दुसरे मुक़र्रिब फ़रिश्तों पर दरूद व सलाम,Anges les plus proches de Dieu,D,,,,,
4,Blessing upon the Attesters to the Messengers,"His Supplication in Calling down Blessings upon the Followers of, and Attesters to, the Messengers","His Supplication in Calling down Blessings upon the Followers of, and Attesters to, the Messengers

1- O God, as for the followers of the messengers
and those of the people of the earth
who attested to them unseen
(while the obstinate resisted them through crying lies) -
they yearned for the emissaries through the realities of faith,

2- in every era and time in which Thou didst send a messenger
and set up for the people a director
from the period of Adam down to Muhammad
(God bless him and his Household)
from among the imams of guidance
and the leaders of the godfearing (upon them all be peace) -
remember them with forgiveness and good pleasure!

3- O God,
and as for the Companions of Muhammad specifically,
those who did well in companionship,
who stood the good test in helping him,
responded to him when he made them hear his messages' argument,

4-separated from mates and children
in manifesting his word,
fought against fathers and sons in strengthening his prophecy,
and through him gained victory;

5- those who were wrapped in affection for him,
hoping for a commerce
that comes not to naught1 in love for him;

6- those who were left by their clans
when they clung to his handhold
and denied by their kinsfolk
when they rested in the shadow of his kinship;

7- forget not, O God,
what they abandoned for Thee and in Thee,
and make them pleased with Thy good pleasure
for the sake of the creatures they drove to Thee
while they were with Thy Messenger,
summoners to Thee for Thee.

8- Show gratitude to them for leaving the abodes of their people for Thy sake
and going out from a plentiful livelihood to a narrow one,
and [show gratitude to] those of them who became objects of wrongdoing and whom Thou multiplied in exalting Thy religion.

9- O God, and give to those who have done well in following the Companions,
who say, Our Lord, forgive us and our brothers
who went before us in faith,2
Thy best reward;

10- those who went straight to the Companions' road, sought out their course,
and proceeded in their manner.

11- No doubt concerning their sure insight diverted them
and no uncertainty shook them
from following in their tracks
and being led by the guidance of their light.

12- As their assistants and supporters,
they professed their religion,
gained guidance through their guidance,
came to agreement with them,
and never accused them in what they passed on to them.

13- O God, and bless the Followers,
from this day of ours to the Day of Doom,
their wives, their offspring,
and those among them who obey Thee,

14- with a blessing through which
Thou wilt preserve them from disobeying Thee,
make room for them in the plots of Thy Garden,
defend them from the trickery of Satan,
help them in the piety in which they seek help from Thee,
protect them from sudden events that come by night and day - except the events which come with good -

15- and incite them, through it (this blessing), to
tie firmly the knot of good hope in Thee,
desire what is with Thee,
and refrain from ill thoughts [toward Thee]
because of what the hands of Thy servants' hold.

16- Thus Thou mayest restore them to beseeching Thee and fearing Thee,
induce them to renounce the plenty of the immediate,
make them love to work for the sake of the deferred
and prepare for what comes after death,

17- make easy for them every distress that comes to them
on the day when souls take leave from bodies,

18- release them from
that which brings about the perils of temptation
and being thrown down in the Fire
and staying forever within it,

19- and take them to security,
the resting place of the godfearing.",(Supplication - 4),sajjadiyya_04.mp3,1,4,انبیاء کے تابعین اوران پر ایمان لانے والوں کے حق میں حضرت کی دعا,دعا در درود بر پیروان و تصدیق کنندگان پیامبران,4-  الصَّلَاةُ عَلَى مُصَدِّقِي الرُّسُلِ.,अंबिया के ता'बइन और इन पर ईमान लाने वालों के हक़ में हजरत की दुआ,Adeptes des prophètes,D,,,,,
5,For himself and the People under his Guardianship,His Supplication for himself and the People under his Guardianship,"1- O He the wonders of whose mightiness will never end!
Bless Muhammad and his Household
and prevent us from deviation concerning Thy mightiness!

2- O He the term of whose kingdom will never cease!
Bless Muhammad and his Household
and release our necks from Thy vengeance!

3- O He the treasuries of whose mercy will never be exhausted!
Bless Muhammad and his Household
and appoint for us a portion of Thy mercy!

4- O He whom eyes fall short of seeing!
Bless Muhammad and his Household
and bring us close to Thy nearness!

5- O He before whose greatness all great things are small!
Bless Muhammad and his Household
and give us honour with Thee!

6- O He to whom all hidden tidings are manifest!
Bless Muhammad and his Household
and expose us not before Thee!

7- O God, remove our need for the gifts of the givers through Thy gift,
spare us the loneliness of those who break off
through Thy joining,
that we may beseech no one
along with Thy free giving,
that we may feel lonely at no one's absence
along with Thy bounty!

8- O God, bless Muhammad and his Household,
scheme for us, not against us,
devise to our benefit, not to our loss,1
give the turn to prevail to us, not to others!

9- O God, bless Muhammad and his Household,
protect us from Thyself, safeguard us through Thyself,
guide us to Thyself, and take us not far from Thyself!2
he whom Thou protectest stays safe, he whom Thou guidest knows,
and he whom Thou bringest near Thyself takes the spoils.

10- O God, bless Muhammad and his Household
and spare us the cutting edge of time's turning changes,
the evil of Satan's snares,
and the bitterness of the sovereign's aggression!

11- O God, the spared are spared only through the bounty of Thy strength,
so bless Muhammad and his Household
and spare us!
The givers give only through the bounty of Thy wealth,
so bless Muhammad and his Household
and give to us!
The guided are guided only by the light of Thy face,
so bless Muhammad and his Household
and guide us!

12- O God, he whom Thou befriendest will not be injured by the abandonment of the abandoners,
he to whom Thou givest will not be diminished
by the withholding of the withholders,
he whom Thou guidest will not be misled
by the misguidance of the misguiders.

13- So bless Muhammad and his Household,
defend us from Thy servants
through Thy might,
free us from need for other than Thee
through Thy support,
and make us travel the path of the Truth
through Thy right guidance!

14- O God, bless Muhammad and his Household
and put the soundness of our hearts
into the remembrance of Thy mightiness,
the idleness of our bodies into giving thanks for Thy favour,
and the flow of our tongues into the description of Thy kindness!

15- O God, bless Muhammad and his Household
and make us one of Thy summoners who summon to Thee,
Thy guiders who direct to Thee,
and Thy special friends whom Thou hast singled out!
O Most Merciful of the merciful!",(Supplication - 5),sajjadiyya_05.mp3,1,5,اپنے لئے اور اپنے دوستوں کے لیے حضرت کی دعا,دعا برای خود و دوستان و نزدیکان,5-  دُعَاؤُهُ لِنَفْسِهِ وخَاصَّتِهِ.,अपने लिए और अपने दोस्तों के लिए हजरत की दुआ,Proches et amis,D,,,,,
6,In the Morning and Evening,His Supplication in the Morning and Evening,"1- Praise belongs to God, who created night and day through His strength,

2- set them apart through His power,

3- and appointed for each
a determined limit
and a drawn-out period.

4- He makes each of the two enter into its companion,
and makes its companion enter into it,
as an ordainment from Him for His servants
in that through which He feeds them
and with which He makes them grow.

5- He created for them the night,
that they might rest in it1
from tiring movements and wearisome exertions
and He made it a garment for them that they might be clothed in its ease and its sleep,
that it might be for them refreshment and strength,
that they might reach therein pleasure and passion.

6- He created for them the daytime, giving sight,
that they might seek within it of His bounty,2
find the means to His provision,
and roam freely in His earth,
searching for that through which
to attain the immediate in their life in this world
and to achieve the deferred in their life to come.

7-Through all of this He sets right their situation,
tries their records,3
and watches their state in the times for obeying Him,
the waystations of His obligations,
and the places of His ordinances,
that He may repay those who do evil with what they have done
and repay those who do good with goodness.4

8- O God, to Thee belongs praise for the sky Thou hast split into dawn for us,5
giving us to enjoy thereby the brightness of daytime,
showing us sought-after nourishments,
and protecting us from the striking of blights.

9- In the morning we and all things, every one, rise for Thee,
the heaven and the earth
and what Thou hast scattered in each,
the still and the moving, the resident and the journeying,
what towers up in the air and what hides under the ground.

10- We rise in the morning in Thy grasp:
Thy kingdom and authority contain us
and Thy will embraces us.
We move about by Thy command
and turn this way and that through Thy governing.

11- We own nothing of the affair
except what Thou hast decreed
and nothing of the good
except what Thou hast given.

12- This is a fresh, new day,
over us a ready witness.
If we do good,
it will take leave from us with praise,
and if we do evil,
it will part from us in blame.

13- O God,
bless Muhammad and his Household,
provide us with the day's good companionship
and preserve us against parting from it badly
by doing a misdeed
or committing a sin, whether small or great!

14- Make our good deeds within it plentiful
empty us therein of evil deeds,
and fill what lies between its two sides for us
with praise and thanksgiving,
wages and stores,
bounty and beneficence!

15- O God, ease our burden on the Noble Writers,6
fill our pages for us with our good deeds,
and degrade us not before them
with our evil works!

16- O God, appoint for us in each of the day's hours
a share from Thy servants,
a portion of giving thanks to Thee,
and a truthful witness among Thy angels!

17- O God, bless Muhammad and his Household
and safeguard us from before us and behind us,
from our right hands and our left hands
and from all our directions,7
a safeguarding that will preserve from disobeying Thee,
guide to obeying Thee,
and be employed for Thy love!

18- O God,
bless Muhammad and his Household
and give us success in this day of ours,
this night of ours,
and in all our days,
to employ the good,
stay away from the evil, give thanks for favours,
follow the Sunna's norms, avoid innovations,
enjoin good behaviour, forbid the disapproved,
defend Islam,
diminish falsehood and abase it,
help the truth and exalt it,
guide the misguided,
assist the weak,
and reach out to the troubled!

19- O God,
bless Muhammad and his Household
and make this
the most fortunate day we have known,
the most excellent companion we have accompanied,
and the best time in which we have lingered!

20- Place us among the most satisfied of all Thy creatures whom night and day have passed by,
the most thankful of them
for the favours Thou hast done,
the firmest of them in the laws Thou hast set down in the Shari'a,
and the most unyielding of them toward the prohibited acts
against which Thou hast cautioned!

21- O God, I call Thee to witness
- and Thou art sufficient witness -
and I call Thy heaven and Thy earth to witness
and Thy angels and Thy other creatures who inhabit them
in this my day, this my hour, this my night, and this my resting place,
that I bear witness that Thou art God,
other than whom there is no god,
Upholding justice,
Equitable in judgement,
Clement to the servants,8
Master of the kingdom,9
Compassionate to the creatures,

22- and that Muhammad is Thy servant and Thy messenger,
Thy chosen from among Thy creatures.
Thou didst charge him with Thy message
and he delivered it;
Thou didst command him to counsel his community and he counselled it.

23- O God, so bless Muhammad and his Household more than Thou hast blessed any of Thy creatures!
Give him for our sake the best Thou hast given any of Thy servants,
and repay him on our behalf better and more generously than Thou hast repaid any of Thy prophets on behalf of his community!

24- Thou art All-kind with immensity,
the Forgiver of the great,
and Thou art more merciful than every possessor of mercy!
So bless Muhammad and his Household,
the good, the pure, the chosen, the most distinguished!",(Supplication - 6),sajjadiyya_06.mp3,1,6,دعائے صبح و شام,دعا برای صبح و شب,6-  دُعَاؤُهُ عِنْدَ الصَّبَاحِ والْمَسَاءِ.,दुआए सुबह व शाम,Matin et soir,D,,,,,
7,In Worrisome Tasks,His Supplication when Faced with a Worrisome Task or when Misfortune Descended and at the Time of Distress,"1- O He through whom the knots of detested things are untied!
O He through whom the cutting edge of hardships is blunted!
O He from whom is begged the outlet to the freshness of relief!

2- Intractable affairs yield to Thy power,
means are made ready by Thy gentleness,
the decree goes into effect through Thy power,
and all things proceed according to Thy desire.

3- By Thy desire they follow Thy command
without Thy word
and by Thy will they obey Thy bans
without Thy prohibition.

4- Thou art the supplicated in worries
and the place of flight in misfortunes;
none of them is repelled unless Thou repellest,
none is removed unless Thou removest.

5- Upon me has come down, My Lord,
something whose weight burdens me
and upon me has fallen
something whose carrying oppresses me.

6- Through Thy power
Thou hast brought it down upon me
and through Thy authority
Thou hast turned it toward me.

7- None can send away what Thou hast brought,
none can deflect what Thou hast turned,
none can open what Thou hast closed, none can close what Thou hast opened,
none can make easy what Thou hast made difficult,
none can help him whom Thou hast abandoned.

8- So bless Muhammad and his Household,
open for me, my Lord, the door of relief through Thy graciousness,
break from me the authority of worry by Thy strength,
confer the beauty of Thy gaze upon my complaint,
let me taste the sweetness of benefaction in what I ask,
give me from Thyself mercy and wholesome relief,
and appoint for me from Thyself a quick way out!

9- Distract me not through worry
from observing Thy obligations
and acting in accordance with Thy prescriptions.

10- My capacity has been straitened, my Lord,
by what has come down on me,
and I am filled with worry by carrying what has happened to me,
while Thou hast power to remove what has afflicted me
and to repel that into which I have fallen.
So do that for me though I merit it not from Thee,
O Possessor of the Mighty Throne!",(Supplication - 7),sajjadiyya_07.mp3,1,7,مشکلات کے وقت کی دعا,دعا برای پیشآمدهای سخت و اندوهناک,7-  دُعَاؤُهُ فِي الْمُهِمَّاتِ.,जब कोई मुहिम या कोई मुसीबत नाज़िल होती या किसी क़िस्म की बेचैनी होती तो यह दुआ पढ़ते थे,Epreuves et misères,D,,,,,
8,In Seeking Refuge,"His Supplication in Seeking Refuge from Hateful Things, Bad Moral Qualities, and Blameworthy Acts","1- O God, I seek refuge in Thee from
the agitation of craving,
the violence of wrath, the domination of envy,
the frailty of patience,
the lack of contentment, surliness of character,
urgency of passion, the disposition to vehemence,

2- following caprice,1
opposing guidance,
the sleep of heedlessness,
undertaking the toilsome,
preferring falsehood over truth,
persisting in sin,
making little of disobedience,
making much of obedience,

3- vying with the wealthy,
disparaging the poor,
guarding badly over those in our hands,
failing to thank those who have done good to us,

4- aiding a wrongdoer,
abandoning someone troubled,
wanting what is not rightfully ours,
and speaking about knowledge without knowing.

5- We seek refuge in Thee from
harbouring dishonesty toward anyone,
being pleased with our works,
and stretching out our expectations.

6- We seek refuge in Thee from
ill-mindedness,
looking down on the small,
Satan's gaining mastery over us,
time's afflicting us,
and the sovereign's oppressing us.

7- We seek refuge in Thee from
acting with prodigality
and not having sufficiency.

8- We seek refuge in Thee from
the gloating of enemies,
indigent need for equals,
living in hardship,
and dying without readiness.

9- We seek refuge in Thee from
the most dreadful remorse,
the greatest affliction, the most wretched wretchedness, the evil end to the journey,
the deprivation of reward,
and the advent of punishment.

10- O God,
bless Muhammad and his Household
and through Thy mercy, give to me refuge from all of that,
and to all the faithful, both men and women!
O Most Merciful of the merciful!",(Supplication - 8),sajjadiyya_08.mp3,1,8,خواستگاری پناہ کے سلسلے کی دعا,دعا برای پناه بردن به خدا از سختی ها,8-  دُعَاؤُهُ فِي الِاسْتِعَاذَةِ.,मुसीबतों से बचाव और बुरे एख़लाक व आमाल से हिफ़ाज़त के सिलसिले में,Mauvaise conduite,D,,,,,
9,In Yearning to Ask Forgiveness from God,His Supplication in Yearning to Ask Forgiveness from God,"1- O God, bless Muhammad and his Household,
make us go to the repentance that Thou lovest
and make us leave the persistence that Thou hatest!

2- O God, when we halt before two decreases,
in religion or in this world,
let the decrease fall upon that which passes quickly
and relent in that which lasts the longer!

3- When we set out after two concerns,
one of which makes Thee pleased with us
and the other of which displeases Thee,
incline us toward that which makes Thee pleased and weaken our strength in that which displeases Thee!

4- Leave not our souls alone to choose in that,
for they choose falsehood
except inasmuch as Thou givest success,
and they command to evil
except inasmuch as Thou hast mercy!1

5- O God,
thou created us from frailty,2
built us up from feebleness,
and began us from a mean water;3
we have no force except through Thy strength
and no strength except through Thy help.

6- So confirm us by giving us success,
point us the right way by Thy pointing,
blind the eyes of our hearts
toward everything opposed to Thy love,
and set not in any of our limbs
passage to disobeying Thee!

7- O God, bless Muhammad and his Household
and assign
the whisperings of our hearts,
the movements of our members,
the glances of our eyes,
and the idioms of our tongues,
to that which makes incumbent Thy reward,
lest a good deed slip by us, through which we might deserve Thy repayment,
or an evil deed remain with us, by which we might merit Thy punishment!",(Supplication - 9),sajjadiyya_09.mp3,1,9,طلب مغفرت کے سلسلے کی دعا,دعا برای طلب بخشش و آمرزش از خدا,9-  دُعَاؤُهُ فِي الِاشْتِيَاقِ.,मग़फ़ेरत तलब करने की दुआ,Demander le pardon à Allah,D,,,,,
10,In Seeking Asylum with God,His Supplication in Seeking Asylum with Allah (Exalted is He),"1- O God, if Thou willest,
Thou wilt pardon us through Thy bounty
and if Thou willest,
Thou wilt chastise us through Thy justice.

2- So make our ways smooth to Thy pardon
through Thy kindness
and grant us sanctuary from Thy chastisement
through Thy forbearance,
for none of us has the endurance for Thy justice
and none of us can reach deliverance without Thy pardon!

3- O Richest of the rich!
Here we are, Thy servants, before Thee.
I am the neediest of the needy toward Thee,
so redress our neediness through Thy plenty
and cut us not off from our hopes
through Thy withholding,
lest Thou makest wretched him who seeks felicity through Thee
and deprivest him who seeks help from Thy bounty!

4- Then to whom would we return after Thee?
Where would we go from Thy gate?
Glory be to Thee!
We are the distressed,
the response to whom
Thou hast made incumbent,
the people from whom
Thou hast promised to remove the evil.1

5- That thing most resembling Thy will
and that affair most worthy for Thee in Thy mightiness
is showing mercy to him who asks Thee for mercy
and helping him who seeks help from Thee.
So show mercy upon our pleading with Thee
and free us from need when we throw ourselves before Thee!

6- O God, Satan will gloat over us
if we follow him in disobeying Thee,
so bless Muhammad and his Household
and let him not gloat over us
after we have renounced him for Thee
and beseeched Thee against him!",(Supplication - 10),sajjadiyya_10.mp3,1,10,طلب پناہ کے سلسلے کی دعا,دعای پناه بردن به خداوند,10-  دُعَاؤُهُ فِي اللَّجَإِ إِلَى اللَّهِ تَعَالَى.,अल्लाह तआला से पनाह तलब करने की दुआ,Se réfugier auprès d’Allah,D,,,,,
