name,seq
amaal_urdu,85
urdu,273
prayersetting,1
dua_arabic,84
taqibaat_urdu,7
ziarat_arabic,64
ziarat_urdu,53
quran_juzz,30
HSubCat,567
book_lang,6
download_links,4886
cover_images,3145
adhan,9
ziarat_guide_urdu_items,236
ziarat_guide_urdu_details,522
ziarat_guide_urdu_master,5
ziarat_guide_urdu_index,14
tamaal_urdu,26
dua_persian,74
ziarat_persian,58
dua_urdu,67
taqibaat_persian,10
nahj_fa_categories,3
ziarat_guide_persian_master,5
ziarat_guide_persian_index,29
ziarat_guide_persian_details,1266
sermons,11
