ID,NAME,DESCRIPTION,TRANSLATION,NAME_1,AUDIO_PATH,PLACE_ID,SORT_ORDER,TYPE,FILE_NAME,REF_CAT_ID,REF_TRANS_ID,URDU_NAME,URDU_COUNT
1,Dua after taking Ghusl,Dua after taking Ghusl,"I commence by the name of Allah and seek help from Him. O Allah render this ghusl an illumination for me and that it may purify me, protect me from all fears and be a cure for all ills. O Allah! Purify me and my heart, broaden my chest and that my tongue may utter words of love, adoration and praise for You as there is no strength for me but You and I know that my religion is submission to You and following the practices of Your prophet, may Your peace be on him",,,1,1,D,,,,,
2,Dua while Wearing Ehram,When wearing the two clothes of Ehram recite this dua:,"All praise to Allah who has graced me with clothes to cover my body, perform my duties, worship my Sustainer and reach where He has commanded me. All praise be to Allah who, when I directed my course towards Him, reached me; when I directed my intentions towards Him, assisted me, drew me closer and did not shatter me; when I sought His pleasure, granted me peace. He is my fort, refuge, protector, support, hope, salvation, saviour and my provider in times of hardship and comfort",,,1,2,D,,,,,
3,Dua after namaz for Ehram,After having read a wajib or mustahab namaz for Ehram recite this dua:,"O Allah! Include me among those who have responded to Your call, have faith in Your promise and follow Your command, for I am Your slave in Your confinement. I cannot be saved, except by You and cannot take, except what You grant. You have reminded us of Hajj. I beseech you that You make me firm on Your book and the practices of Your Prophet (s.a.w.). Grant me strength where I am weak and that I may perform what is incumbent on me with ease and health. Include me among those whose arrival pleases You, You are pleased with, You call by name and have recorded. O Allah! I have traveled from far and have spent my property to attain Your pleasure. O Allah! Accomplish my hajj and Umrah. O Allah! In compliance with Your book and the practice of Your Prophet (s.a.w.), I intend to perform the Umrat-ut-Tamatu’ for Hajj. If any impediment comes in my way, remove it by Your power. O Allah! if I do not achieve the Hajj, I may at least the Umrah. I forbid myself, for Your sake, my hair, body, flesh, blood, bones, brain, my union with my wife, clothes and perfume so that I may attain Your pleasure and the Hereafter",,,1,3,D,,,,,
4,Talbiyya (Wajib),After making the intention of Ihram say the talbiyya,"Here I am, O Allah, here I am. Here I am, there is no partner to You, here I am. Indeed the praises and bounties belong to You, Yours is the sovereignty, there is no partner to You here I am. ",,,1,4,D,,,,,
5,After Talbiyya,Recite after Talbiyya,"I am present, O High, I am present. I am present, O one who calls towards Heaven. I am present, I am present O Forgiver of sins. I am present, I am present O One who owns my presence. I am present, I am present O Mighty and Generous. I am present, I am present O You who first created and to whom all will return. I am present, I am present O One who is free from want and to whom all turn for their needs. I am present, I am present O who is feared and to whom there is inclination. I am present I am present, O true God. I am present O the One with Grace, Excellence, Goodness and Beauty. I am present O one who averts major calamities. I am present, I am present Your servant and the son of Your servant. I am present I am present O Generous, I am present
Then Say: I am present seeking closeness to You through Muhammad and his progeny. I am present, I am present for hajj (May peace be with you, O Prophet and may the mercy and blessings of Allah be on you. In the name of Allah and by Allah and by His wish. Peace be with with! With the Prophets of Allah and His Messengers. Peace be with with! With the Messenger of Allah. Peace be with with! With Ibrahim, the friend of Allah and all praise is to Allah, the Sustainer of the universes",,,1,5,D,,,,,
6,Dua entering Haram,Dua for entering the Haram (Haram does not refer to Masjid-ul Haram but begins at a distance of nearly 3 miles before the town of Mecca):,"O Allah! I beseech You in this holy place and in the first of my ceremonies to accept my repentance, forgive my sins and relieve me of the load on my back. All praise be to Allah who helped me reach the Holy House. O Allah! I bear witness to You that this is Your Holy House which You have made a refuge for men, a blessed place and a guide for the worlds. O Allah! I am Your servant, this city is Your city and this House is Your House. I have come here to seek Your mercy and submit to You, following Your command and content with Your arrangement of destiny. I ask as a beggar fearful of Your punishment. O Allah! Open for me the gates of Your mercy and keep me occupied in obedience to You and seeking Your pleasure",Seeing Kaaba / Hajr aswad,,1,6,D,,,,,
7,Dua entering Masjidul Haram,Dua for entering Masjidul Haram. One must enter from Bab-us Salaam and recite the dua while standing near the pillars:,"I commence by the Name of Allah, by Him, from Him, towards Him, by His wish and on the following of the Holy Messenger (s.a.w.). The Holy Names belong to Allah. All praise is to Allah. Peace be with the Messenger of Allah. Peace be with Muhammad, son of Abdullah. Peace be with you, O Prophet of Allah and may the mercy and blessings of Allah be with you. Peace be with the Prophets of Allah and His Messengers. Peace be with Ibrahim, the friend of the Merciful. Peace be with the Prophets. All praise is to Allah, the Sustainer of the universes. Peace be with us and on the virtuous servants of Allah. O Allah! Send Your blessings on Muhammad and his progeny, bestow on them Your benediction and have mercy on them as Your blessed, sent benediction and had mercy on Ibrahim and his progeny, You are Praiseworthy and Glorious. O Allah! Bless Muhammad and his progeny, Your servant and Messenger. O Allah! Bless Ibrahim, Your friend and Your Prophets and Messengers and bestow peace on them. Peace be with the Messengers. All praise is to Allah, the Sustainer of the universes. O Allah! Open for me the gates of Your mercy. Keep me occupied in Your obedience and seeking Your pleasure. Protect me that I guard my faith to my last, Exalted is Your Praise. All praise to Allah who made me one of His callers and visitors, attendants in His Mosque and supplicants. O Allah! I am Your servant and visitor to Your House. There are rights of callers over the host and You are the best of the givers and the most Generous. I beseech You, O Allah! O Merciful, You are Allah, there is no God but You, You have no partner, for You are One and on whom all depend. You were not born and do not give birth and there is none like You. Verily, Muhammad is Your servant and Messenger, may Your blessings be on him and his Household. O Magnanimous, O Generous, O Glorious, O Mighty, O Generous, I beseech You that of the gifts You grant me for visiting You, the first be the protection from the fire of Hell
One must then pray for the Holy Prophet and his progeny and for all the Prophets as was done at the time of entry into the Holy Mosque & say 3times
O Allah! Save my neck from the fire of Hell
And then recite this:
And increase my lawful and pure sustenance and protect me from the evil of the devils, jinn and men and the godless of the Arabs and the non-Arabs
Now enter the mosque and say as follows:
BISMILLAHI WABILLAHI WAALAA MILLATI RESULILLAHI SALLALLAHU ALAIHI WAALIHI.",,,1,7,D,,,,,
8,Dua facing Khana-e-Kaaba,Then face Khana-e-Kaaba and raise both the hands and recite the following:,,,,1,8,D,,,,,
9,Dua facing Hajar-e-Aswad,It is recommended then to face the Black Stone and say:,"I bear witness that there is no God but Allah, He is One and has no partner and the Muhammad is his servant and Messenger. I believe in Allah and disbelieve in false gods, Laat, Uzza and the worship of devils and all those who call for worship other than Allah",,,1,9,D,,,,,
10,Dua while seeing Hajar-e-Aswad,And when one sees the Hajar-e-Aswad one should say as follows:,"A praise to Allah who has provided us this guidance, for we would not otherwise have been guided. Glory to Allah, all praise is due to Him, there is no God except Allah and Allah is Great. Allah is greater than His creatures. Allah is greater than whom I fear and beware. There is no God except Allah, He is One and without any partner. All land belong to Him and all praise is due to Him. He grants life and ends it. He ends life and grants it. He is alive and never dies. All good emanates from Him and has power over all things.",,,1,10,D,,,,,
