ID,NAME,DESCRIPTION,TRANSLATION,NAME_1,URDU_TITLE,PERSIAN_TITLE,ARABIC_TITLE,FRENCH_TITLE,HINDI_TITLE,AUDIO_PATH,SORT_ORDER,URDU_NAME,URDU_COUNT
1,Fajr (morning) Salaat,"Shaykh Ibn Fahad reports Imam Ali ibn Musa al-Reza (as) to have said: Whoever says the following statement after the Dawn Prayer, will have all his requests made easy-to-gain for him and will be saved by Almighty Allah against every thing that aggrieves him.","In the Name of Allah, the Beneficent, the Merciful. 
By the Name of Allah and peace of Allah on Mohammed (saws) and His sacred progeny and I entrust my work unto Allah and verily Allah is all seeing for His creatures. 
""There is no God But You, Glory to You, I was in the dark then We granted him his (Younus (s)) request and redeemed him from the panic and in like manner We redeem the believers"". 
Suffices Allah, how good and trustworthy and the prospective crusaders returned (as there has been no fight any longer) with grants and the grace of Allah, sins harm and injury. 
Whatever Allah wishes and there be no might and force except by Allah. Whatever Allah wishes and not whatever the people wish. Suffices the Patron rather than the patronized. Suffices the Creator rather than the creatures. Suffices the Giver rather than the given. Suffices Allah the Patron of Worlds. Suffices the Sufficient from my inception, The Infinite Sufficient suffices Allah, There is no Allah but He. I trust Him and He is the Patron of the Great Arsh",,تعقیب نماز صبح,تعقیبات نماز صبح,تعقيب صَلاة الصّبح,Dua après Fajr Salaat,फ़ज्र के नमाज़ के बाद की दुआऐ,Fajr.mp3,1,urdu_fajr,2.0
2,Zuhr Salaat,It is narrated from Imam Ali (a.s.) that the Prophet (saws) used to recite the following supplication after the Zuhr prayer.,"In the name of Allah, the Beneficent, the Merciful. 
There is no god But Allah, the Great, the Clement: there is no god but Allah, the Lord of ‘Arsh (the throne) of Grace; and all praise is for Allah, the Lord of the worlds: O’ Allah I beseech Thee for all that time which is the cause of Thy Mercy, and that which ascertain Thy Forgiveness: and the benefit of every virtue, and safety from every sin: O’ Allah leave not any sin on me but that You forgive it, and any affliction but that You remove it, and any illness but that You heal it, and any defect but that You conceal it, and any subsistence but that You increase it, and any fear but that You protect (me) from it; and any evil but that You repel it, an any of my need in which is Thy pleasure and which is beneficial for me, but that You grant it; O’ that Most Merciful, grant me my supplication, O’ the Lord of the Worlds.",,تعقیب نماز ظہر,تعقیبات نماز ظهر,تعقيب صلاة الظّهر,Dua après Zuhr Salaat,ज़ोहर की नमाज़ की दुआऐ,Zohr.mp3,2,urdu_zuhr,1.0
3,Asr Salaat,"Imam jafar e Sadiq has said that a person who says Asthgfar seventy times after the Asr prayer, Allah will pardon his seven hundred sins. If he doesn’t have so many sins in his account, Allah will pardon the sins of his parents or other relatives.","I ask forgiveness of Allah, (who is) ""There is no god save He,"" everliving, eternal, beneficent, merciful, owner of might and majesty. I beseech Him to accept my repentance, the repentance of a servant-insignificant, submissive, destitute, needy, worried and helpless seeking protection, who, on his own, neither can win nor lose, nor die, nor live, nor come to life again.
Then Say:
[O Allah, I run away (unto you) from an insatiable self, unremorseful heart, useless intelligence, unaccorded prayer, and unfulfilled request. O Allah I beseech You for ease in the wake of distress, joy after sorrow, comfort coming after hardship. O Allah whatever facility have in from You. There is no god save You. I ask for your forgiveness and I turn repentant unto you.",,تعقیب نماز عصر,تعقیبات نماز عصر,تعقيب صلاة العَصر,Dua après Asr Salaat,असर की नमाज़ की दुआऐ,asr.mp3,3,urdu_asr,1.0
4,Maghrib Salaat,Maghrib Salaat,"In the name of Allah, the Beneficent, the Merciful. 
O’ Allah I beseech Thee for the causes of Thy Mercy; the rights of Thy pardon; Safety from every sin; 
the benefit from virtue: Salvation from (Hell) Fire and every Calamity; achievement of the Paradise and (Thy) Pleasure in the abode of peace; and the proximity of Thy Prophet Mohammed and his (purified) progeny-peace be on all of them. 
O’ Allah! Whatever bounties we have, all are from Thee: there is no deity except Thee; I beseech Thy forgiveness and turn unto Thee.",,تعقیب نماز مغرب,تعقیبات نماز مغرب,تعقيب صلاة المَغرب,Dua après la Salaat du Maghreb,मग़रिब की नमाज के बाद की दुआएँ,mugrib.mp3,4,urdu_maghrib,1.0
5,Isha Salaat,Isha Salaat,"“O Allah! surely, I have no knowledge of the main source of my subsistence, and I seek it only through the passing thoughts that come to my heart, and I wander about in cities searching for it, and I am perplexed in regard to what I search for. I do not know whether it is in a valley or in the mountains, in the earth or in the heavens, in the continent or in the sea, and in whose hands it is, and from whom it is. And surely I know that Thou hast its Knowledge, and its sources are in Thy hand, and Thou alone distributes it by Thy kindness, and creates opportunities through Thy mercy. Oh Allah therefore bless Muhammad and his progeny; and Oh Lord!increase my sustenance, apportioned by Thee, and make easy to search and the source near; and do not make me strive in the search of what Thou hast not decreed from my sustenance. For, surely: Thou art indifferent to chastise me and I need Thy mercy. Bless Muhammad and his progeny and by Thy grace show generosity to Thy slave, surely Thou art the most generous”. ",,تعقیب نماز عشاء,تعقیبات نماز عشا,تعقيب صلاة العشاء,Dua après Isha Salaat,इशा की नमाज के बाद की दुआएँ,isha.mp3,5,urdu_isha,2.0
6,Dua after Adhan,"It is highly recommended to recite the Adhan & Iqamah before daily wajib prayers .
In between the Adhan & Iqamah one may make one sijdah ,sit & recite recite this dua :Oh Allah make my heart gentle, ,my life prosperous, and give me continued sustenance , and fix for me a place near the grave of your Messenger Muhammad (May the prayers & salutations of Allah be on him & his family.)a place of stay & rest (grant me all of this)  & ask for ones wishes as wishes sought between Adhan & iqamah are not rejected.","Oh Allah make my heart gentle, my actions a source of pleasure,my life prosperous, and give me continued sustenance and make my children righteous, and fix for me a place near the grave of your Messenger Muhammad (May the prayers & salutations of Allah be on him & his family.) A place of stay & rest (grant me all of this) through Your Mercy O the Most Merciful One of those who are able to show mercy",,اذان کے بعد کی دعا,دعای بعد از اذان,دعاء بعد الأذان,Dua après Adhan,आजान के बाद की दुआएँ,,6,,
7,Dua before Takbeeratul Ehram - 1,"Before uttering the Takbeeratul Ehraam, it is worthy that he recites the invocation of attention (doa-e-tawajjoh) which, in the narration of Abdullah Ibn Jafar Himyari (received in the tawqee’ of Imam-e-Zamana (a.t.f.s.) is as follows:","I turn my face towards the One Who has created the heavens and the earth, being upright and submissive, on the nation of Ibrahim and the nation of Muhammad and the guidance of Ameerul Momineen. And I am not of the polytheists. Surely, my prayers, my sacrifice, my life and my death are (only) for Allah, the Lord of the worlds. There is no partner unto Him. And thus have I been commanded. And I am from those who submit. O Allah! Make me from those who submit.",,تکبیرۃ الاحرام سے پہلے کی دعا,دعای قبل از تکبیر,الدعاء قبل تكبيرة الإحرام,Dua avant Takbeeratul Ehram - 1,तकबीरतुल ईहराम से पहले की दुआ - 1,,9,,
8,Dua after every compulsory prayer,"It is narrated from Hazrat Ameer al Momineen (a.s.) if one desires to depart from this world as innocent as he was at his birth, then he should recite the Sura e Iqlaas twelve times after every compulsory prayer and then raise his hands towards the sky and recite the following invocation:",,,ہر فرض نماز کے بعد دعا,تعقیبات مشترک بین همه نمازها,الدعاء بعد الصلاة,Dua après chaque Salat obligatoire,हर फर्ज नमाज के बाद की दुआ,,10,,
10,Sajda e Shukr,"Prostration of thanksgiving after every mandatory prayer was the practice ( Sunnat e Muwakkida) of the Prophet ( a.s.).
Imam Jafar e Sadiq (a.s.) has hinted at it’s being mandatory and said that when a person makes a prostration of thanksgiving, Allah addresses the angels and tells them that a sincere creature is doing the Sajda e Shukr. He asks the angels to suggest what Reward must be given to the person. The angels would suggest that Allah keep His Blessings with the person for his act. Allah will again ask them what else should be the Reward for the person? The angels say,’ O Sustainer! Give him a place in the Heaven!’ Allah will again ask the angels,’ What else?’ The angels reply, ‘ O Allah! Give a place in the Heaven for the person’s parents and children, as well!’ Allah will again ask the angels to suggest some more Reward for the person. The angels would reply,’ We have made suggestions to the best of our knowledge! We have nothing else to suggest! You know everything!’ Then Allah would say,’ The person has thanked Me in all sincerity and humility, therefore, in return, I too shall thank him!’
Imam Reza (a.s.) has said that while making the prostration of thanksgiving, a person should say Shukran lillah atleast three times. Also he should say a hundred times Afwan or Shukran. Either in prostration he should first say a hundred times Afwan or Al-afu Al-afu. Then he should keep the right cheek at the place of prostration and s make any supplication as, for example, Ya Allaho, Ya Rabbaho, Ya Syedaho. Similarly he should keep his left cheek at the place of prostration and say the same words. In the end he should place his forehead at the same spot and repeat Shukran Shukran ya Shukran Allah a hundred times.
Remember that this prostration is not a part of the mandatory prayer. This is only a sunnat. While doing this, the person should place his chest and the tummy on the ground, spread his arms and keep his kness flat on the ground. He should pray for the welfare of himself and all the momineen with tearful eyes. Allah likes his creatures imploring Him for help in this manner.
Our Imams (a.s.) used to make long prostrations of thanksgiving. Specially Imam Moosa Kazim (a.s.) used to do the sajda after completing his fajr prayer which stretched well into the sun up. When he was asked about his Sajda e Shukr, the Imam (a.s.) said, one should recite the following supplication while doing the Sajda:","O Allah surely I bear witness to You and I bear witness to Your Angels and Your Apostles and Your Messengers and to all of Your Creation. Surely You, Allah, are my Sustainer and Islam is my religion and Muhammad is my Prophet and Ali and Hasan and Husain and Ali ibn Husain and Muhammad ibn Ali and Ja'far ibn Muhammad and Musa ibn Ja'far and Ali ibn Musa and Muhammad ibn Ali and Ali ibn Muhammad and Hasan ibn Ali and The Hujjat ibn Hasan are my Imams. With them I associate and from their enemies I dissociate",The Prostration of Thanks Giving,سجدہ شکر,دعای سجده شکر,دعاء سجود الشكر,Sajda et Choukr,सजदा-ए-शुक्र,,12,,
11,Dua after Iqamah,Dua after Iqamah,"O Allah, to You have I turned my face, Your pleasure have I sought, for Your reward have I desired, in You do I believe, and on You do I rely. O Allah, (please) send blessings upon Muhammad and the Household of Muhammad, open the ears of my hearts to remembering You, make me stand firmly on the religion of You and Your Prophet, make not my hearts to deviate after You have guided me aright, and grant me from You mercy. Surely, You are the most liberal Giver.",,اقامت کے بعد کی دعا,دعای بعد از اقامه,دعاء بعد الإقامة,Dua après Iqamah,इक़ामत के बाद की दुआ,,7,,
