ID,TAQIBAAT_ID,ARABIC,NAME
1,1,بِسْمِ اللهِ وَصَلَّى اللهُ عَلى مُحَمَّد وآلِهِ وَاُفَوِّضُ اَمْريى اِلَى اللهِ اِنَّ اللهَ بَصيرٌ بِالْعِبادِ فَوَقاهُ اللهُ سَيِّئاتِ ما مَكَرُوا لا اِلـهَ إلاّ أَنْتَ سُبْحانَكَ اِنّي كُنْتُ مِنَ الظّالِمينَ فَاسْتَجَبْنا لَهُ وَنَجَّيْناهُ مِنَ الْغَمِّ وَكَذلِكَ نُنْجِي الْمُؤْمِنينَ حَسْبُنَا اللهُ وَنِعْمَ الْوَكيلُ فَاْنَقَلَبُوا بِنِعْمَة مِنَ اللهِ وَفَضْل لَمْ يَمْسَسْهُمْ سُوءٌ ما شاء اللهُ لا حَوْلَ وَلا قُوَّةَ اِلاّ بِالله ما شاءَ اللهُ لا ما شاءَ النّاسُ ما شاءَ اللهُ وَاِنْ كَرِهَ النّاسُ حَسْبِيَ الرَّبُّ مِنَ الْمَرْبُوبينَ حَسْبِيَ الْخالِقُ مِنَ الَْمخْلُوقينَ حَسْبِيَ الرّازِقُ مِنَ الْمَرْزُوقينَ حَسْبِيَ اللهُ رَب الْعالَمينَ حَسْبى مَنْ هُوَ حَسْبي، حَسْبي مَنْ لَمْ يَزَلْ حَسْبي، حَسْبي مَنْ كانَ مُذْ كُنْتُ لَمْ يَزَلْ حَسْبي، حَسْبِيَ اللهُ لااِلـهَ اِلاّ هُوَ عَلَيْهِ تَوَكَّلْتُ وَهُوَ رَبُّ الْعَرْشِ الْعَظيمِ .,تعقيب صَلاة الصّبح
2,2,لا إِلهَ إِلاّ الله العَظِيمِ الحَلِيمِ، لا إِلهَ إِلاّ الله رَبِّ العَرْشِ الكَرِيمِ، الحَمْدُ للهِ رَبِّ العالَمِينَ. اللّهُمَّ إِنِّي أَسأَلُكَ مُوجِباتِ رَحْمَتِكَ وَعَزائِمِ مَغْفِرَتِكَ. وَالغَنِيمَةَ مِنْ كُلِّ بِرٍّ، وَالسَّلامَةَ مِنْ كُلِّ إِثْمٍ. اللّهُمَّ لا تَدَعْ لِي ذَنْباً إِلاّ غَفَرْتَهُ، وَلا هَمّاً إِلاّ فَرَّجْتَهُ، وَلا سُقْماً إِلاّ شَفَيْتَهُ، وَلا عَيْباً إِلاّ سَتَرْتَهُ، وَلا رِزْقاً إِلاّ بَسَطْتَهُ، وَلا خَوْفاً إِلاّ آمَنْتَهُ، وَلا سُوْءاً إِلاّ صَرَفْتَهُ، وَلا حاجَةً هِيَ لَكَ رِضاً وَلِيَ فِيها صَلاحٌ إِلاّ قَضَيْتَها ؛ ياأَرْحَمَ الرَّاحِمِينَ آمِينَ رَبَّ العالَمِينَ,تعقيب صلاة الظّهر
3,3,"اَسْتَغْفِرُ اللهَ الَّذي لا اِلـهَ اِلاّ هُوَ الْحَيُّ الْقَيُّومُ الرَّحْمنُ الرَّحيمُ ذُو الْجَلالِ وَالاِْكْرامِ وَأَسْأَلُهُ اَنْ يَتُوبَ عَلَيَّ تَوْبَةَ عَبْدٍٍِِ ذَليل خاضِع فَقير بائِس مِسْكين مُسْتَكين مُسْتَجير لا يَمْلِكُ لِنَفْسِهِ نَفْعاً وَلا ضَرّاً وَلا مَوْتاً وَلا حَياةً وَلا نُشُوراً
اَللّـهُمَّ اِنّي اَعُوذُ بِكَ مِنْ نَفْس لا تَشْبَعُ وَمِنْ قَلْب لا يَخْشَعُ وَمِنْ عِلْمٍ لا يَنْفَعُ وِ مِنْ صلاةٍ لا تُرْفَعُ وَمِنْ دُعآءٍ لا يُسْمَعُ اَللّـهُمَّ اِنّي أَسْأَلُكَ الْيُسْرَ بَعْدَ الْعُسْرِ وَالْفَرَجَ بَعْدَ الْكَرْبِ وَالرَّخاءَ بَعْدَ الشِّدَّةِ اَللّـهُمَّ ما بِنا مِنْ نِعْمَة فَمِنْكَ لا اِلـهَ اِلاّ اَنْتَ اَسْتَغْفِرُكَ وَاَتُوبُ اَلِيْكَ",تعقيب صلاة العَصر
4,4,اللّهُمَّ إِنِّي أَسأَلُكَ مُوجِباتِ رَحْمَتِكَ وَعَزائِمِ مَغْفِرَتِكَ، وَالنَّجاةِ مِنَ النَّارِ وَمِنْ كُلِّ بَلِيَّةٍ، وَالفَوْزَ بِالجَنَّةِ وَالرِّضْوان فِي دارِ السَّلامِ وَجِوارِ نَبِيِّكَ مُحَمَّدٍ عَلَيْهِ وَآلِهِ السَّلامُ. اللّهُمَّ ما بِنا مِنْ نِعْمَةٍ فَمِنْكَ لا إِلهَ إِلاّ أَنْتَ، اسْتَغْفِرُكَ وَأَتُوبُ إِلَيْكَ,تعقيب صلاة المَغرب
5,5,اَللّٰهُمَّ اِنَّهُ لَيْسَ لِيْ عِلْمٌ بِمَوْضِعِ رِزْقِيْ وَ اِنَّمَا اَطْلُبُهُ بِخَطَرَاتٍ تَخْطُرُ عَلٰى قَلْبِيْ فَاَجُوْلُ فِي طَلَبِهِ الْبُلْدَانَ فَاَنَا فِيْمَا اَنَا طَالِبٌ كَالْحَيْرَانِ لَاۤ اَدْرِيْ اَ فِي سَهْلٍ هُوَ اَمْ فِيْ جَبَلٍ اَمْ فِي اَرْضٍ اَمْ فِي سَمَاۤءٍ اَمْ فِي بَرٍّ اَمْ فِي بَحْرٍ وَ عَلٰى يَدَيْ مَنْ وَ مِنْ قِبَلِ مَنْ وَ قَدْ عَلِمْتُ اَنَّ عِلْمَهُ عِنْدَكَ وَ اَسْبَابَهُ بِيَدِكَ وَ اَنْتَ الَّذِيْ تَقْسِمُهُ بِلُطْفِكَ وَ تُسَبِّبُهُ بِرَحْمَتِكَ اَللّٰهُمَّ فَصَلِّ عَلٰى مُحَمَّدٍ وَ اٰلِهِ وَ اجْعَلْ يَا رَبِّ رِزْقَكَ لِيْ وَاسِعًا وَ مَطْلَبَهُ سَهْلًا وَ مَأْخَذَهُ قَرِيْبًا وَ لَا تُعَنِّنِي بِطَلَبِ مَا لَمْ تُقَدِّرْ لِي فِيْهِ رِزْقًا فَاِنَّكَ غَنِيٌّ عَنْ عَذَابِيْ [عَنَاۤئِي‏] وَ اَنَا فَقِيْرٌ اِلٰى رَحْمَتِكَ فَصَلِّ عَلٰى مُحَمَّدٍ وَ اٰلِهِ وَ جُدْ عَلٰى عَبْدِكَ بِفَضْلِكَ اِنَّكَ ذُوْ فَضْلٍ عَظِيْمٍ۔,تعقيب صلاة العشاء
6,6,اللَّهُمَّ اجْعَلْ قَلْبي بارّاً وَعَيْشي قارّاً وَرِزْقي دارّاً، واجْعَلْ لي عِنْدَ قَبْرِ رَسولِكِ صَلّى الله عَلَيْهِ وَآله مُسْتَقَرّا وَقَراراً,الاذان
7,7,وَجَّھْتُ وَجْھِی لِلَّذِی فَطَرَ السَّمٰوَاتِ وَالْاَرْضَ عالِمِ الْغَیْبِ وَ الشَّہادَةِ حَنِیفاً مُسْلِماً وَمَا أَنَا مِن الْمُشْرِکِینَ إِنَّ صَلوٰتِی وَنُسُکِی وَمَحْیَایَ وَمَمَاتِی لِلّٰہِ رَبِّ الْعالَمِینَ لاَ شَرِیکَ لَہُ وَ بِذَلِکَ أُمِرْتُ وَأَنَا مِنَ الْمُسْلِمِینَ۔,تكبيرة الإحرام
8,8,اللّهُمَّ إِنّي أَسأَلُكَ باسْمِكَ المَكْنُونِ المَخْزُونِ الطَّاهِرِ الطُّهرِ المُبارَكِ، وَأَسأَلُكَ بِاسْمِكَ العَظِيْمِ وَسُلْطانِكَ القَدِيمِ، يا واهِبَ العَطايا وَيا مُطْلِقَ الاُسارى، وَيافَكَّاكَ الرِّقابِ مِنَ النَّارِ، أَسأَلُكَ أَنْ تُصَلِّي عَلى مُحَمَّدٍ وَآلِ مُحَمَّدٍ، وَأَنْ تُعْتِقَ رَقَبَتِي مِنَ النَّار، وَأَنْ تُخْرِجَنِي مِنَ الدُّنْيا سالِما وَتُدْخِلَنِي الجَنَّةَ آمِنا، وَأَنْ تَجْعَلَ دُعائِي أَوَّلَهُ فَلاحاً وَأَوْسَطَهُ نَجاحاً وَآخِرَهُ صَلاحاً. إِنَّكَ أَنْتَ عَلامُ الغُيُوبِ,التعقيبات العامّة
9,10,"اللَّهُمَّ إِنِّی أُشْهِدُکَ وَ أُشْهِدُ مَلَائِکَتَکَ وَ أَنْبِیَاءَکَ وَ رُسُلَکَ وَ جَمِیعَ خَلْقِکَ أَنَّکَ أَنْتَ اللَّهُ رَبِّی وَ الْإِسْلَامَ دِینِی وَ مُحَمَّداً نَبِیِّی وَ عَلِیّاً وَ الْحَسَنَ وَ الْحُسَیْنَ وَ عَلِیَّ بْنَ الْحُسَیْنِ وَ مُحَمَّدَ بْنَ عَلِیٍّ وَ جَعْفَرَ بْنَ مُحَمَّدٍ وَ مُوسَی بْنَ جَعْفَرٍ وَ عَلِیَّ بْنَ مُوسَی وَ مُحَمَّدَ بْنَ عَلِیٍّ وَ عَلِیَّ بْنَ مُحَمَّدٍ وَ الْحَسَنَ بْنَ عَلِیٍّ وَ الْحُجَّةَ بْنَ الْحَسَنِ بْنِ عَلِیٍّ أَئِمَّتِی بِهِمْ أَتَوَلَّی وَ مِنْ أَعْدَائِهِمْ أَتَبَرَّأُ اللَّهُمَّ إِنِّی أَنْشُدُکَ دَمَ الْمَظْلُومِ
Then the person should recite Shukran a hundred times and also say the Salawat. Afterwards he should say thrice: 
اللهم أني أنشدك دم المظلوم
Then repeat thrice:
اللَّهُمَّ إِنِّی أَنْشُدُکَ بِإِیوَائِکَ عَلَی نَفْسِکَ لِأَعْدَائِکَ لَتُهْلِکَنَّهُمْ بِأَیْدِینَا وَ أَیْدِی الْمُؤْمِنِینَ اللَّهُمَّ إِنِّی أَنْشُدُکَ بِإِیوَائِکَ عَلَی نَفْسِکَ لِأَوْلِیَائِکَ لَتُظْفِرَنَّهُمْ بِعَدُوِّکَ وَ عَدُوِّهِمْ أَنْ تُصَلِّیَ عَلَی مُحَمَّدٍ وَ عَلَی الْمُسْتَحْفِظِینَ مِنْ آلِ مُحَمَّدٍ
Then repeat thrice:
اللَّهُمَّ إِنِّی أَسْأَلُکَ الْیُسْرَ بَعْدَ الْعُسْرِ
Keep right cheek at the place of prostration and repeat thrice:
یَا کَهْفِی حِینَ تُعْیِینِی الْمَذَاهِبُ وَ تَضِیقُ عَلَیَّ الْأَرْضُ بِمَا رَحُبَتْ یَا بَارِئَ خَلْقِی رَحْمَةً بِی وَ کُنْتَ عَنْ خَلْقِی غَنِیّاً صَلِّ عَلَی مُحَمَّدٍ وَ آلِ مُحَمَّدٍ وَ عَلَی الْمُسْتَحْفِظِینَ مِنْ آلِ مُحَمَّدٍ
Keep left cheek at the place of prostration and repeat thrice:
یَا مُذِلَّ کُلِّ جَبَّارٍ وَ یَا مُعِزَّ کُلِّ ذَلِیلٍ قَدْ وَ عِزَّتِکَ بَلَغَ مَجْهُودِی
",سجدتي الشكر
10,11,اللَّهُمَّ إلَيْكَ تَوَجَهْتُ وَمَرْضاتَكَ طَلَبْتُ وَثَوابَكَ ابْتَغَيتُ وَبِكَ آمَنْتُ وَعَلَيْكَ تَوَكَلْتُ، اللَّهُمَّ صَلِّ عَلى مُحَمَّدٍ وَآل مُحَمَّدٍ وَافْتَحْ مَسامِعَ قَلْبي لِذِكْرِكَ وَثَبِّتْنِي عَلى دِينِكَ وَلاتُزِغْ قَلْبي بَعْدَ إذْ هَدَيْتَني وَهَبْ لِي مِنْ لَدُنْكَ رَحْمَةً إنَّكَ أنْتَ الوَهّابُ,الإقامة دعاء
