ID,TAQIBAAT_ID,PERSIAN,NAME
1,1,"به نام خدا، درود خدا بر محمد و خاندانش، «من کارم را به خداوند وامی گذارم؛ زیرا خداوند به بندگان بیناست؛ پس [در نتیجۀ واگذاری کارش به خداوند] خداوند او را از نقشه های شوم آنان [که می خواستند بر ضد وی به کار گیرند] حفظ کرد»، «معبودی جز تو نیست، تو [از هر عیب و نقصی] منزّهی، همانا من [به سبب کناره گیری از قومم بدون اِذن تو،] از ستمکاران بر خود هستم؛ پس دعایش را مستجاب کردیم و از اندوه نجاتش دادیم و مؤمنان را این گونه نجات می دهیم»، «خداوند برای ما بس است و او نیکو کارسازی است؛ [آنان بدون توجه به سخنان منافقان و عوامل نفوذی در جنگ «حَمراءُ الاَسَد» شرکت کردند]، پس با نعمت و احسانی بزرگ از سوی خدا [از جبهۀ جنگ] بازگشتند درحالی که هیچ آسیبی به آنان نرسیده بود» آنچه خدا بخواهد همان می‌شود، هیچ نیرو و توانی نیست جز به خدای [بلندمرتبه بزرگ]؛ آنچه خدا بخواهد آن می‌شود نه آنچه مردمان بخواهند؛
آنچه خدا بخواهد خواهد شد گرچه مردمان خوش ندارند، کفایت می‌کند پروردگار مرا از یاری پروردگان، آفریدگار مرا از کمک آفریده‌ها، روزی دهنده مرا از لطف روزی‌خواران، خدای یکتا پروردگار جهانیان کفایتم می‌کند، مرا بس است آن‌که به‌حقیقت مرا بس است، مرا بس است آن‌که همواره مرا بس است، مرا بس است آن‌که همواره از آنگاه‌که بوده‌ام مرا بس بوده است، مرا بس است خدایی که معبودی جز او نیست، بر او توکل نمودم و اوست پروردگار عرش بزرگ.",تعقیبات نماز صبح
2,2,معبودی جز خداوند بزرگ بردبار نیست، معبودی جز خدا نیست، پروردگار عرش بلندمرتبه، ستایش ویژۀ پروردگار جهانیان است. خدایا از تو می‌خواهم مرا موفق به انجام انگیزه‌های رحمت خویش و اسباب آمرزش خود کنی و بهره‌مندی از هر کار نیک و سلامت از هر کار بدی را از تو می‌خواهم. خدایا! بر من گناهی مگذار، جز آنکه بیامرزی و اندوهی منه جز آنکه از دلم برداری و نه دردی مگر آنکه درمان کنی و نه عیبی مگر آنکه بپوشانی و نه رزقی مگر آنکه گسترده‌سازی و نه ترسی جز اینکه مرا از آن ایمنی دهی و نه پیش‌آمد بدی مگر آنکه آن را برگردانی و نه حاجتی که تو را در آن رضایت و مرا در آن مصلحت است مگر اینکه روا کنی‌ ای مهربان‌ترین مهربانان، دعایم را مستجاب کن، ای پروردگار جهانیان.,تعقیبات نماز ظهر
3,3,"از خدایی که معبودی جز او نیست، آن زنده‌ی پاینده و بخشنده مهربان، خداوند دارای عظمت و رأفت و محبت آمرزش می‌خواهم و از او درخواست دارم که توبه‌ام را بپذیرد، توبه بنده خوار، فروتن، بینوا، پریشان و زمین‌گیر و پناهنده‌ای که سود و زیان و مرگ و زندگی و رستاخیز خویش را در اختیار ندارد.
خدایا به تو پناه می‌آورم از روح و روانی که سیر نمی‌شود و از دلی که بیم نمی‌کند و از دانشی که سود نمی‌بخشد و از نمازی که به اوج برده نمی‌شود و از دعایی که مستجابش نمی‌کنند. خدایا! آسانی پس از سختی و گشایش پس از گرفتاری و آسایش پس از مشقت را از تو خواستارم. خدایا هر آن نعمتی که در دست ماست از سوی توست، معبودی جز تو نیست، از تو بخشش گناهانم را می‌خواهم و به‌سوی تو باز می‌گردم.",تعقیبات نماز عصر
4,4,خدایا! از تو انگیزه‌های رحمتت و اسباب آمرزش حتمی‌ات و رهایی از آتش دوزخ و از هر بلا و کامیابی به بهشت و خشنودی تو در خانه امن آن جهان و همسایگی پیامبرت محمد (درود بر او و خاندانش) را خواستارم. خدایا هر نعمتی که به دست ماست از سوی توست، جز تو شایسته پرستش نیست، از تو آمرزش می‌جویم و به‌سوی تو می‌پویم.,تعقیبات نماز مغرب
5,5,خدایا من نمی‌دانم روزی‌ام در کجاست و آن را تنها بر پایه گمان‌هایی که بر خاطرم می‌گذرد می‌جویم و ازاین‌رو در جستجوی آن شهرها را زیر پا می‌گذارم، پس در آنچه که خواهان آنم همچون حیرت زدگانم، نمی‌دانم آیا در دشت است یا در کوه؟ در زمین است یا در آسمان؟ در خشکی است یا در دریا؟ نمی‌دانم به دست کیست و از سوی چه کسی است، ولی به‌یقین می‌دانم که دانش آن نزد تو و اسباب آن به دست توست و تویی که آن را با لطف خویش تقسیم می‌کنی و با رحمت خود برای آن سبب فراهم می‌سازی؛ خدایا، پس بر محمد و خاندان او درود فرست و پروردگارا، روزی خود را بر من گسترده‌ساز و به دست آوردنش را برایم آسان‌ کن و جای دریافتش را نزدیک قرار ده و با جستجوی آنچه برایم در آن روزی مقدر نکرده‌ای به زحمتم میفکن، چه تو از آزردن من بی‌نیازی و من به رحمتت نیازمندم، پس بر محمد و خاندان او درود فرست و با احسان و فضل خویش بر بنده‌ات کرم کن، تو صاحب بخشش بزرگ هستی.,تعقیبات نماز عشا
6,6,خدایا قرار ده دلم را شایسته و زندگی‌ام را برقرار و روزی‌ام را فراوان و قرار ده برایم کنار آرامگاه رسولت (درود خدا بر او و خاندانش) جایگاه و قرارگاه.,دعای بعد از اذان
7,7,رویم را به سوی وجودی نمودم که آسمان‌ها و زمین را آفرید، دانای پنهان و آشکار است، رو کردنی با حال اعتدال و تسلیم و از مشرکان نیستم، به درستی که نماز و عبادت و زندگی و مرگم برای خدا پروردگار جهانیان است، برای او شریکی نیست، به این امر فرمان داده شدم و من از مسلمانانم.,دعای قبل از تکبیر
8,8,خدایا از تو می‌خواهم به نامت، آن نام پوشیده محفوظ و پاک و پاکیزه و پربرکت و از تو می‌خواهم به نام بزرگت و سلطنت دیرینه‌ات، ای بخشنده‌ی عطاها، ای آزادکننده‌ی اسیران، ای رهایی‌بخش بندگان از آتش، بر محمّد و خاندان محمّد درود فرست و مرا از آتش رهایی ده و ایمن از دنیا بیرون بَر و به سلامت وارد بهشت کن و قرار ده آغاز دعایم را رستگاری و میانه‌اش را کامیابی و پایانش را درستی، به یقین تو دانای نهان‌هایی.,تعقیبات مشترک بین همه نمازها
9,11,خدایا به سوی تو رو کردم و خشنودی تو را خواستم و پاداش تو را اراده کردم و به تو ایمان آوردم و بر تو توکل کردم، خدایا بر محمّد و خاندان محمّد درود فرست و گوش‌های دلم را به ذکرت باز کن و بر دینت و دین پیامبرت پایدارم بدار و دلم را پس از آن‌که هدایت کردی منحرف مساز و بر من از نزد خود رحمتی ببخش، به راستی که تو بسیار بخشنده‌ای.,دعای بعد از اقامه
10,12,ای خدایی که به بندگان احسان می کنی بنده گنه کار به در خانه تو آمده و تو امر کرده ای که نیکوکار از گنه کار بگذرد، تو نیکوکاری و من گناه کار، به حق محمّد و آل محمدصلی اللّه علیه و آله و سلم رحمت خود را بر محمّد و آل محمّد صلی اللّه علیه و آله و سلم بفرست و از بدیهایی که می دانی از من سر زده بگذر.,دعای قبل از تکبیره الاحرام
