ID,NAME,AUDIO_PATH,NAME_1
1,Khutba - 001 ,khutba001.mp3,Khutba
2,Khutba - 002 ,khutba002.mp3,Khutba
3,Khutba - 007,khutba007.mp3,Khutba
4,Khutba - 011,khutba011.mp3,Khutba
5,Khutba - 016,khutba016.mp3,Khutba
6,Khutba - 017,khutba017.mp3,Khutba
7,Khutba - 018,khutba018.mp3,Khutba
8,Khutba - 022,khutba022.mp3,Khutba
9,Khutba - 024,khutba024.mp3,Khutba
10,Khutba - 026,khutba026.mp3,Khutba
11,Khutba - 027,khutba027.mp3,Khutba
12,Khutba - 029,khutba029.mp3,Khutba
13,Khutba - 033,khutba033.mp3,Khutba
14,Khutba - 034,khutba034.mp3,Khutba
15,Khutba - 036,khutba036.mp3,Khutba
16,Khutba - 039,khutba039.mp3,Khutba
17,Khutba - 040,khutba040.mp3,Khutba
18,Khutba - 041,khutba041.mp3,Khutba
19,Khutba - 045,khutba045.mp3,Khutba
20,Khutba - 046,khutba046.mp3,Khutba
21,Khutba - 047,khutba047.mp3,Khutba
22,Khutba - 049,khutba049.mp3,Khutba
23,Khutba - 056,khutba056.mp3,Khutba
24,Khutba - 058,khutba058.mp3,Khutba
25,Khutba - 061,khutba061.mp3,Khutba
26,Khutba - 062,khutba062.mp3,Khutba
27,Khutba - 063,khutba063.mp3,Khutba
28,Khutba - 064,khutba064.mp3,Khutba
29,Khutba - 065,khutba065.mp3,Khutba
30,Khutba - 067,khutba067.mp3,Khutba
31,Khutba - 068,khutba068.mp3,Khutba
32,Khutba - 069,khutba069.mp3,Khutba
33,Khutba - 070,khutba070.mp3,Khutba
34,Khutba - 076,khutba076.mp3,Khutba
35,Khutba - 081,khutba081.mp3,Khutba
36,Khutba - 084,khutba084.mp3,Khutba
37,Khutba - 088,khutba088.mp3,Khutba
38,Khutba - 090,khutba090.mp3,Khutba
39,Khutba - 091,khutba091.mp3,Khutba
40,Khutba - 092,khutba092.mp3,Khutba
41,Khutba - 093,khutba093.mp3,Khutba
42,Khutba - 094,khutba094.mp3,Khutba
43,Khutba - 095,khutba095.mp3,Khutba
44,Khutba - 099,khutba099.mp3,Khutba
45,Khutba - 100,khutba100.mp3,Khutba
46,Khutba - 101,khutba101.mp3,Khutba
47,Khutba - 102,khutba102.mp3,Khutba
48,Khutba - 104,khutba104.mp3,Khutba
49,Khutba - 105,khutba105.mp3,Khutba
50,Khutba - 107,khutba107.mp3,Khutba
51,Khutba - 108,khutba108.mp3,Khutba
52,Khutba - 110,khutba110.mp3,Khutba
53,Khutba - 111,khutba111.mp3,Khutba
54,Khutba - 112,khutba112.mp3,Khutba
55,Khutba - 113,khutba113.mp3,Khutba
56,Khutba - 114,khutba114.mp3,Khutba
57,Khutba - 115,khutba115.mp3,Khutba
58,Khutba - 116,khutba116.mp3,Khutba
59,Khutba - 117,khutba117.mp3,Khutba
60,Khutba - 118,khutba118.mp3,Khutba
61,Khutba - 119,khutba119.mp3,Khutba
62,Khutba - 120,khutba120.mp3,Khutba
63,Khutba - 121,khutba121.mp3,Khutba
64,Khutba - 122,khutba122.mp3,Khutba
65,Khutba - 123,khutba123.mp3,Khutba
66,Khutba - 124,khutba124.mp3,Khutba
67,Khutba - 125,khutba125.mp3,Khutba
68,Khutba - 126,khutba126.mp3,Khutba
69,Khutba - 128,khutba128.mp3,Khutba
70,Khutba - 129,khutba129.mp3,Khutba
71,Khutba - 131,khutba131.mp3,Khutba
72,Khutba - 132,khutba132.mp3,Khutba
73,Khutba - 134,khutba134.mp3,Khutba
74,Khutba - 136,khutba136.mp3,Khutba
75,Khutba - 137,khutba137.mp3,Khutba
76,Khutba - 141,khutba141.mp3,Khutba
77,Khutba - 142,khutba142.mp3,Khutba
78,Khutba - 144,khutba144.mp3,Khutba
79,Khutba - 145,khutba145.mp3,Khutba
