Category,VerseBy,Verse,VerseRef,IsDisplayed,SubCategory
"Knowing Allah, His Greatness and His Grace ",The Holy Prophet [s] said,"""O' people! Verily, there is no prophet after me, nor any Ummah after you (Muslims). So, take care to worship your Lord, perform your five ritual prayers, fast in the appointed month (Ramadan), make pilgrimage to the House of your Lord (Mecca), give the alms of your wealth in order to purify your souls thereby, and obey the Holders of Authority, so that you enter the Paradise of your Lord.""","Khisal-I-Saduq, p. 152",0,
"Knowing Allah, His Greatness and His Grace ",Imam Amir-ul-Mu'mineen Ali [a] said,"""Having the Greatness of the Creator in your mind would make you realize the insignificance of the creatures in your view.""","Nahjul-Balagha, Statement 129",0,
"Knowing Allah, His Greatness and His Grace ",Imam Amir-ul-Mu'mineen Ali [a] said,""" Blessed is he who sincerely devotes the entirety of his actions, knowledge, love, hatred, receiving, relinquishing, speech, silence, deeds, and statements absolutely to Allah.""","Bihar-ul-Anwar, vol. 77, p. 289",0,
"Knowing Allah, His Greatness and His Grace ",Imam Sadiq [a] said,"""The heart is the sanctuary of Allah, therefore, do not settle therein anything but Allah (The sacred place of the heart belongs to and Him alone. Therefore, keep the love of the world out of it.)","Bihar-ul-Anwar, vol. 70, p. 25",0,
"Knowing Allah, His Greatness and His Grace ",Imam Sadiq [a] said,"""Our true followers are those who, when they are alone, remember Allah abundantly."" (That is, they avoid committing vices in private where there is no barrier for them to commit sin by the mere remembrance of Allah.)","Bihar-ul-Anwar, vol. 93, p. 162",0,
"Knowing Allah, His Greatness and His Grace ",Imam Baqir [a] said,"""By Allah, He, the Exalted, expects of people but two traits: that they confess for Him the blessings in order that He increases His bounties for them; and that they make confessions about their evil actions and then He forgives those sins for them.""","Al-Kafi, vol. 2, p. 426",0,
"Knowing Allah, His Greatness and His Grace ",Imam Husayn ibn Ali [a] said,"""Verily, Allah, the Exalted, has not created human beings except for recognizing Him and worshipping Him as (the consequence of) knowing Him; and when they worship Him they would lack the need of adoring any human being (or things) other than Him because of that worship.""","Safinat-ul-Bihar, vol. 2, p. 180",0,
"Knowing Allah, His Greatness and His Grace ","The fourth Imam, Ali ibn Husayn [a] said","""There is no destruction (Hell) for a believer having three qualities:Confessing that there is no god besides Allah, the One Who has no partner; the intercession of the Messenger of Allah and the vastness of the Grace of Allah.","Safinat-ul-Bihar, p. 517",0,
Prayer and Its Effects ,The Holy Prophet [s] said,"""The one who takes prayer light is not of me. No, by Allah such a person will not reach the Haud, Pond of abundant.""","Man La Yahduruhul Faqih, vol. 1, p. 206",0,
Prayer and Its Effects ,Imam Sadiq [a] said,"""If there be a stream at the house of one of you in which the one washes himself five times a day, will there remain anything from the dirt over his body? Verily, the likeness of prayers is the same as the stream. The person who establishes ritual prayers clears out his sins thereby, except for the sin that takes him out from Faith he believes in.""","Bihar-ul-Anwar, vol. 82, p. 236",0,
Prayer and Its Effects ,The Holy Prophet [s] said,"An obligatory prayer, with Allah, is equivalent to one thousand Hajj pilgrimages and one thousand Umrah performances (voluntary pilgrimages to Ka'ba) which are right and accepted.""","Bihar-ul-Anwar, vol. 99, p. 14",0,
Prayer and Its Effects ,The Holy Prophet [s] said,"""Do not waste your prayers, because, surely, the person who wastes them will be raised with Croesus (Qarun) and Haman so that it is rightfully certain for Allah to put the one in Hell with hypocrites.""","Bihar-ul-Anwar, vol. 83, p. 14",0,
Prayer and Its Effects ,The Holy Prophet [s] said,"""Say each of your prayer as if it were your last prayer.""","Bihar-ul-Anwar, vol. 69, p. 408",0,
Prayer and Its Effects ,Imam Amir ul Mu'mineen Ali [a] said,"""If a praying person knew to what extent he was surrounded by His Mercy, he would never raise his head from (the state of) prostration.","Tasnif-I-Ghurar-ul-Hikam, p. 175",0,
Prayer and Its Effects ,Imam Baqir [a] said,"""On the Reckoning Day, the first thing that a servant will be reckoned for is the prayer; therefore, if it is accepted, the rest (good actions) will be accepted, too, (otherwise, his other good deeds will not avail him).""","Bihar-ul-Anwar, vol. 7, p. 267",0,
Prayer and Its Effects ,"At the last moments of his life, Imam Sadiq [a] called his relations and companions and told them","""Verily, our intercession never reaches the one who takes prayers lightly.""","Bihar-ul-Anwar, vol. 82, p. 236",0,
Prayer and Its Effects ,"Imam Baqir, the fifth Imam, [a] said","""There are ten things that when a person meets Allah the Almighty and Glorious, with them, he will enter Heaven 
1.   Confessing that there is no god besides Allah
2.   And that Muhammad is the Messenger of Allah
3.   Acknowledging what has come down to the Prophet [s] from Allah (the Qur'an).
4.   Establishing regular prayers.
5.   Giving alms.
6.   Fasting in Ramadan.
7.   Performing the Pilgrimage (Hajj) to the Sacred House.
8.   Kindness to the lovers of Allah
9.   Detachment from the enemies of Allah
10. And, avoiding any alcoholic beverage.""","Khisal by Saduq, p.432",0,
