ID,PARENT_ID,LTEXT,LTRANSLATE,ORDER_BY,LTYPE
1,1,این باب مشتمل بر یک مقدّمه و چند فصل و یک خاتمه‏ مقدّمه: در بیان آداب سفر است‏ چون اراده سفر مى‏کنى، شایسته است، روز چهارشنبه، و پنجشنبه، و جمعه را روزه بدارى، و براى سفر کردن، روز شنبه، یا روز سه‏شنبه یا روز پنجشنبه را اختیار کنى، و از سفر کردن در روز دوشنبه و چهارشنبه، و پیش از ظهر روز جمعه اجتناب کن و از سفر کردن در این ایام که در این نظم واقع شده بپرهیز:,0,1,2
2,1,هفت روزى نحسن باشد در مهى زان حذر کن تا نیابى هیچ رنج,0,2,2
3,1,سه و پنج و سیزده با شانزده بیست‏ویک با بیست‏وچهار و بیست‏وپنج,0,3,2
4,1,[در بعضى از روایات نقل شده که در بیست‏ویکم ماه سفر کردن مطلوب است، و در روز هشتم و بیست‏وسوم خوب نیست، عباس قمى] در ایام محاق و در حالى که ماه در برج عقرب است به سفر مرو، و اگر در این اوقات براى سفر کردن ضرورتى پیش آمد، دعاى‏ سفر را بخوان و صدقه بده، آنگاه به سفر برو. روایت شده: مردى از اصحاب حضرت باقر علیه السّلام اراده سفر کرد و براى وداع خدمت آن جناب رسید، حضرت فرمود: پدرم‏ على بن الحسین علیهما السلام هرگاه اراده مى‏گرد که به سوى بعضى از املاک خود بریون رود، سلامتى خود را از خدا به آنچه آسان بود مى‏خرید، یعنى به صدقه دادن به هرچه که ممکن بود و این عمل زمانى بود که پاى خویش را در رکاب مى‏گذاشت. و چون به سلام از سفر بازمى‏گشت، خدا را شکر مى‏کرد و به آنچه که ممکن بود صدقه مى‏داد، آن مرد حضرت را وداع گفت و رفت و آنچه را حضرت‏ فرموده بود بجا نیاورد، در نتیجه در مسیر سفر هلاک شد این خبر به حضرت باقر علیه السّلام رسید، حضرت فرمود: این مرد پند داده شد اگر مى‏پذیرفت. سزاوار است پیش از روى آوردن به سفر، غسل کنى، و اهل و عیال خود را گرد آورى، و دو ر کعت نماز بگذارى، و از خدا خیر خود را طلب نمایى و آیة الکرسى خوانده و حمد و ثانى الهى را بجا آورى، و بر رسول خدا و آلش‏ صلوات فرستى و بگویى:,0,4,2
5,1,اللهُمَّ إِنِّی أَسْتَوْدِعُکَ الْیَوْمَ نَفْسِی وَ أَهْلِی وَ مَالِی وَ وُلْدِی وَ مَنْ کَانَ مِنِّی بِسَبِیلٍ الشَّاهِدَ مِنْهُمْ وَ الْغَائِبَ اللهُمَّ احْفَظْنَا بِحِفْظِ الْإِیمَانِ وَ احْفَظْ عَلَیْنَا اللهُمَّ اجْعَلْنَا [اجْمَعْنَا] فِی رَحْمَتِکَ وَ لا تَسْلُبْنَا فَضْلَکَ إِنَّا إِلَیْکَ رَاغِبُونَ اللهُمَّ إِنَّا نَعُوذُ بِکَ مِنْ وَعْثَاءِ السَّفَرِ وَ کَآبَةِ الْمُنْقَلَبِ وَ سُوءِ الْمَنْظَرِ فِی الْأَهْلِ وَ الْمَالِ وَ الْوَلَدِ فِی الدُّنْیَا وَ الْآخِرَةِ اللهُمَّ إِنِّی أَتَوَجَّهُ إِلَیْکَ هَذَا التَّوَجُّهَ طَلَبا لِمَرْضَاتِکَ وَ تَقَرُّبا إِلَیْکَ [اللهُمَ‏] فَبَلِّغْنِی مَا أُؤَمِّلُهُ وَ أَرْجُوهُ فِیکَ وَ فِی أَوْلِیَائِکَ یَا أَرْحَمَ الرَّاحِمِینَ,خداى امروز به تو مى‏سپارم خودم و خاندانم و مال و فرزندانم و هرکه را به طریقى از من است، حاضر و غایبشان را. خدایا ما را به حفظ ایمان حافظ باش و از ما محافظت فرما. خدایا ما را در حمایت رحمتت‏ قرار ده، و فضلت را از ما مگیر، ما تنها به جانب تو راغبیم. خدایا از رنج سفر، و اندوه بازگشت، و بدى دیدار، در خاندان و مال و فرزند در دنیا و آخرت به تو پناه مى‏بریم‏ خدایا به تو رو مى‏کنم و در این رونمودن، خواستار خشنودى و تقرّب به سوى توام، پس مرا به آنچه از تو و اولیایت آرزو مى‏کنم، و امید دارم برسان، اى مهربان‏‌ترین مهربانان,5,1
6,1,پس از این، خاندان خود را وداع کن، و بر در خانه بایست، و تسبیح حضرت فاطمه علیها السلام را بخوان، و از پیش رو و طرف راست، و جانب چش سوره «حمد» و «آیة الکرسى» را قرائت کن و بگو:,0,6,2
7,1,اللهُمَّ إِلَیْکَ وَجَّهْتُ وَجْهِی وَ عَلَیْکَ خَلَّفْتُ أَهْلِی وَ مَالِی وَ مَا خَوَّلْتَنِی وَ قَدْ وَثِقْتُ بِکَ فَلا تُخَیِّبْنِی یَا مَنْ لا یُخَیِّبُ مَنْ أَرَادَهُ وَ لا یُضَیِّعُ مَنْ حَفِظَهُ اللهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِهِ وَ احْفَظْنِی فِیمَا غِبْتُ عَنْهُ وَ لا تَکِلْنِی إِلَى نَفْسِی یَا أَرْحَمَ الرَّاحِمِین,خداى رویم را متوجه تو کردم، و در حفظ تو قرار دادم خاندان و مالم، و آنچه که به من عطا فرمودى را من به تو اطمینان کردم، پس مرا محرومم مکن، اى که محرومم نمى‏کند کسى‏که او را اراده کرده است، و ضایع‏ نمى‏کند هرکه را او محافظت نماید، خدایا بر محمّد و خاندانش درود فرست، و مرا در آنچه از آن غایبم محافظت فرما، و مرا به خویشتن وامگذار اى مهربان‏‌ترین مهربانان,7,1
8,1,سپس سوره «توحید» را یازده مرتبه بخوان، و سوره «قدر» و آیة الکرسى و سوره‏هاى (فلق) و (ناس) را قرائت‏ کن، پس با دست خود همه بدنت را مسح کن، و به هرچه می‌ّسر باشد صدقه بده و بگو:,0,8,2
9,1,اللهُمَّ إِنِّی اشْتَرَیْتُ بِهَذِهِ الصَّدَقَةِ سَلامَتِی وَ سَلامَةَ سَفَرِی وَ مَا مَعِی اللهُمَّ احْفَظْنِی وَ احْفَظْ مَا مَعِیَ وَ سَلِّمْنِی وَ سَلِّمْ مَا مَعِیَ وَ بَلِّغْنِی وَ بَلِّغْ مَا مَعِیَ بِبَلاغِکَ الْحَسَنِ الْجَمِیلِ,خدایا من با این صدقه سلامت خود، و سفرم، و آنچه با من است را خریدم. خدایا مرا و آنچه با من است حفظ کن، مرا و آنچه با من است سالم بدار، و برسان مرا و آنچه با من است به رساندن‏ نیکوى زیبایت,9,1
10,1,و عصایى از چوب درخت بادام تلخ با خود بردار، که روایت شده: هرکه به سفرى رود، و با خود عصاى بادام‏ تلخ بردارد، و این سوره (قصص) را بخواند: (و لمّا توجّه تلقأ مدیین) تا (و الله على ما نقول وکیل) خدا او را از هر حیوان درنده و از هر دزد ستمگر و از هر حیوان صاحب زهر، ایمن گرداند، تا به خانه خود بازگردد، و هفتادوهفت فرشته با او باشند، که تا به وطن برگردد و عصا را بگذارد، براى او طلب آمرزش کنند و مستحبّ است با عمامه بیرون روى، و سر عمامه را زیر گلو بگردانى. تا از دزد و غرغ شدن و سوختن آسیبى به تو نرسد، و کمى از تربت حضرت سید الشّهدا علیه السّلام را با خود بردار، و در وقت برداشتن چنین بگو:,0,10,2
11,1,اللهُمَّ هَذِهِ طِینَةُ قَبْرِ الْحُسَیْنِ علیه السلام وَلِیِّکَ وَ ابْنِ وَلِیِّکَ اتَّخَذْتُهَا حِرْزا لِمَا أَخَافُ وَ مَا لا أَخَافُ,خدایا این تربت قبر حسین (درود بر او باد) ولىّ تو و پسر ولىّ تو است، که آن را پناهگاه خود از آنچه مى‏ترسم و نمى‏ترسم قرار دادم,11,1
12,1,و با خود انگش‌تر عقیق و فیروزه بردار، به ویژه انگشترى که عقیقش زرد باشد و یک طرفش منقوش به (ما شاء الله لا قوّة الا بالله استغفر الله) و طرف دیگرش (محمّد و على) باشد,0,12,2
13,2,سیّد ابن طاووس در کتاب امان الاخطار از ابو محمّد قاسم بن علا از صافى‏ خادم حضرت هادى علیه السّلام روایت کرده: از آن حضرت اجازه خواستمبه زیارت جدّش حضرت رضا علیه السّلام بروم، فرمود: با خود انگشترى داشته باش، داراى نگین زرد و نقش نگین آن (ما شاء الله لا قوة الا بالله استغفر الله) و نقش طرف دیگرش «محمّد و على» چون این انگش‌تر را بردارى، از شرّ دزدان و راهزنان امان یابى، و براى سلامت تو تمام‌تر و نسبت به دین تو حفظ- کننده‏‌تر است، خادم گوید: بیرون آمدم و انگشترى که حضرت فرموده بود تهیه کردم، سپس خدمت ایشان بازگشتم که براى‏ سفرم با آن جناب وداع کنم، چون وداع کردم و دور شدم، دستور داد مرا برگردانند، وقتى برگشتم فرمود: اى صافى. عرض‏ کردم: لبیّک اى آقاى من: فرمود: انگش‌تر فیروزه هم باید همراه داشته باشى، زیرا میان طوس و نیشابور شیرى به تو برخواهد خودر، که قافله را از ادامه سفر منع خواهد کرد، تو پیش برو، و این انگش‌تر را به شیر بنما و بگو مولاى من مى‏گوید از راه. دور شو، باید بر یک طرف نگین فیروزه «اللّ الملک» و بر طرف دیگرش الملک لله الواحد القهّار نقش کنى، زیرا نقش انگش‌تر فیروزه امیر المؤمنین علیه السّلام‏ الله الملک بود، چون خلافت به آن حضرت برگشت الملک لله الواحد القهّار را نقش کرد، و چنین نگینى انسان را از حیوانات‏ درنده امان مى‏بخشد، و در جنگها باعث پیروزى و غلبه مى‏شود. صافى مى‏گوید: به سفر رفتم، به خدا سوگند در‌‌ همان مکان که حضرت‏ فرموده بود شیر بر سر راه آمد، و آنچه فرموده بود انجام دادم، شیر برگشت، چون از زیارت بازگشتم، آنچه واقع شده بود خدمت‏ آن حضرت عرض کردم، فرمودند یک چیز ماند که نگفتى، اگر مى‏خواهى من بگویم، گفتم آقاى من شاید فراموش کرده باشم، فرمود شبى در طوس شب را نزدیک قبر شریف به سر مى‏بردى، گروهى از جنیّان به زیارت قبر آن حضرت آمده بودند، آن نگین را در دست تو دیدند و نقش آن را خواندند، پس آن را از دستت بیرون آوردند و به نزد بیمارى که داشتند بردند، انگش‌تر را در آبى‏ شسته آن آب را به بیمار خود دادند، بیمارشان صحّت یافت، انگش‌تر را برگرداندند، درحالى‏که تو در دست راست داشتى، آنان در دست چپ تو کردند، تو از این امر بسیار تعجّب کردى و سببش را ندانستى، آنگاه نزدیک سر خود یاقوتى یافتى و آن را برداشتى‏ اکنون همراه توست آن را به بازار ببر، که به هشتاد اشرفى خواهى فروخت و این یاقوت هدیه آن جنیّان است که براى تو آورده‏ بودند، خادم مى‏گوید: یاقوت را به بازار بردم و به هشتاد اشرفى فروختم همانطور که آقایم فرموده بود. از حضرت صادق علیه السّلام روایت شده: کسى‏که هر شب در سفر «آیة الکرسى» را بخواند سالم بماند و آنچه با اوست نیز سالم بماند و در سفر بگوید:,0,1,2
14,2,اللهُمَّ اجْعَلْ مَسِیرِی عِبَرا وَ صَمْتِی تَفَکُّرا وَ کَلامِی ذِکْرا,خداى مسیرم را عبرت، و لب فرو بستنم را فکرت، و سخنم را ذکر قرار ده,2,1
15,2,از حضرت سجاد علیه السّلام روایت شده: اگر براى ضرر زدن به من جنّ و انس جمع شوند پروا نمى‏کنم، هرگاه این کلمات را بگویم:,0,3,2
16,2,بِسْمِ اللهِ وَ بِاللهِ وَ مِنَ اللهِ وَ إِلَى اللهِ وَ فِی سَبِیلِ اللهِ اللهُمَّ إِلَیْکَ أَسْلَمْتُ نَفْسِی وَ إِلَیْکَ وَجَّهْتُ وَجْهِی وَ إِلَیْکَ فَوَّضْتُ أَمْرِی فَاحْفَظْنِی بِحِفْظِ الْإِیمَانِ مِنْ بَیْنِ یَدَیَّ وَ مِنْ خَلْفِی وَ عَنْ یَمِینِی وَ عَنْ شِمَالِی وَ مِنْ فَوْقِی وَ مِنْ تَحْتِی وَ ادْفَعْ عَنِّی بِحَوْلِکَ وَ قُوَّتِکَ فَإِنَّهُ لا حَوْلَ وَ لا قُوَّةَ اِلّا بِاللهِ الْعَلِیِّ الْعَظِیمِ,به نام خدا، و با خدا، و از خدا و به سوى خدا و در راه خدا. پروردگارا خود را به تو تسلیم‏ کردم، و رویم را به جانب تو نمودم، و کارم را به تو واگذار کردم، مرا به حفظ ایمان حفظ کن‏ از پیش رویم، و از پشت سرم، و از جانب راستم، و از طرف چپم، و از بالاى سرم، و زیر پایم، و به حول و قوّه‏ات از من دفاع کن، چرا که قدرت و نیرویى نیست، مگر به خداى والاى بزرگ,4,1
